"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
11,"NCT04208620","Safety and Tolerability Study of Cotadutide in Japanese Obese Subjects With Type 2 Diabetes Melitus",,"Active, not recruiting","No Results Available","Type 2 Diabetes","Drug: Placebo|Drug: Cotadutide","Incidence of treatment-emergent adverse events (TEAEs)|Incidence of treatment-emergent serious adverse events (TESAEs)|Clinically important changes in 12-lead electrocardiogram (ECG)|Vital signs as measured by pulse rate (bpm)|Vital signs as measured by blood pressure (mmHg)|ABPM (Ambulatory blood pressure monitoring) to measure pulse rate (bpm) and blood pressure (mmHg)|Physical examination (abnormality to be reported as part of adverse events)|Clinical laboratory evaluations|Area under the concentration-time curve (AUC) during the dosing interval (AUCtau)|Maximum observed concentration (Cmax)|Time to Cmax (tmax)|Trough plasma concentration (Ctrough)|Anti-drug antibodies (ADAs) to Cotadutide|Change in average glucose levels (mg/dL)|Change in coefficient of variation|Change in percentage time spent in hyperglycemia (> 140 mg/dL)|Change in percentage time spent in normoglycemia (70 -140 mg/dL)|Change in percentage time spent in clinically significant hypoglycemia (< 54 mg/dL)|Change in estimated hemoglobin A1c (HbA1c)|Change in fasting plasma glucose (mg/dL)|Change in HbA1c|Percentage change in body weight|Absolute change in body weight (kg)|Proportion of subjects achieving > 5% body weight loss","AstraZeneca|MedImmune LLC","All","20 Years to 74 Years   (Adult, Older Adult)","Phase 1","16","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","D5671C00003","January 21, 2020","July 27, 2020","July 27, 2020","December 23, 2019",,"April 24, 2020","Research Site, Shinjuku-ku, Japan|Research Site, Shinjuku-ku, Japan|Research Site, Suita-shi, Japan",,"https://ClinicalTrials.gov/show/NCT04208620"
12,"NCT04196231","Durability of Combination of Insulin and GLP-1 Receptor Agonist or SGLT-2 Inhibitors Versus Basal Bolus Insulin Regimen in Type 2 Diabetes (BEYOND)","BEYOND","Recruiting","No Results Available","Type 2 Diabetes","Drug: IDegLira|Drug: IGlarLixi|Drug: Insulin/Canaglifozin|Drug: Insulin/Dapaglifozin|Drug: Insulin/Empaglifozin|Drug: Basal Bolus","Hba1c variability change|Proportions of patients with significant HbA1c change|Weight Change|BMI Change|Waist circumference change|Blood pressure change|Fasting glycemia change|Post-prandial glycemia change|C-peptide change|Change in total daily insulin dose|Change in lipide profile|Change in eGFR|Diabetes treatment satisfaction","University of Campania ""Luigi Vanvitelli""","All","35 Years to 75 Years   (Adult, Older Adult)","Phase 4","105","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BEYOND Protocol","January 1, 2020","December 31, 2021","January 31, 2023","December 12, 2019",,"March 18, 2020","Unit of Endocrinology and Metabolic Diseases, Naples, Italy",,"https://ClinicalTrials.gov/show/NCT04196231"
13,"NCT04023539","Effect of Cinnamomum Zeylanicum on Glycemic Levels of Adult Patients With Type 2 Diabetes",,"Completed","No Results Available","Type 2 Diabetes","Dietary Supplement: Cinnamomum zeylanicum|Other: Placebo","Glycated hemoglobin|Fasting plasma glucose|Total cholesterol|HDL|LDL|Triglycerides|Weight|Waist circumference|Body Mass Index|Blood pressure","Universidad de Sonora","All","18 Years and older   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","Cinnamon-T2D-MEX-2019","September 4, 2019","March 20, 2020","April 23, 2020","July 17, 2019",,"May 28, 2020","C.A.A.P.S., Hermosillo, Sonora, Mexico|ISSSTE Family Medicine Clinic, Hermosillo, Sonora, Mexico",,"https://ClinicalTrials.gov/show/NCT04023539"
14,"NCT03932084","Effects of Glucose Fluctuation Intervention on the Prognosis of Patients With Type 2 Diabetes and Cerebral Infarction",,"Recruiting","No Results Available","Type 2 Diabetes and Cerebral Infarction","Behavioral: Control group|Behavioral: Glucose fluctuation targeted intervention","Stroke severity|Glycemic variability|Glucose fluctuation|Disability and health-related quality of life after stroke|Independent living skills|Glycemic control|Blood lipids","Nanjing University of Traditional Chinese Medicine","All","18 Years and older   (Adult, Older Adult)","Not Applicable","104","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","N2017003","February 1, 2017","May 25, 2019","June 18, 2019","April 30, 2019",,"April 30, 2019","Affiliated Hospital of Integrated Traditional Chinese and Western Medicine, Nanjing University of Chinese Medicine, Nanjing, Jiangsu, China",,"https://ClinicalTrials.gov/show/NCT03932084"
15,"NCT04213547","Sleep and Glycemic Control in Type 2 Diabetes Adolescents",,"Not yet recruiting","No Results Available","Type 2 Diabetes","Behavioral: Loss frame sleep extension intervention","Sleep duration|Glycemic control|BMI","Children's Hospital of Philadelphia|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","All","12 Years to 20 Years   (Child, Adult)","Not Applicable","15","Other|NIH","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","19-016599|2T32DK063688-16","June 2020","January 1, 2021","January 1, 2021","December 30, 2019",,"March 16, 2020",,,"https://ClinicalTrials.gov/show/NCT04213547"
16,"NCT03997331","Chronicare for Type 2 Diabetes (Chronicare-T2D)","CRX-T2D","Not yet recruiting","No Results Available","Type 2 Diabetes","Other: CRx Health|Other: Chronicare","Change in HbA1c|Fasting Blood Glucose|Mean Duration of Time to Reach Optimal Insulin Glargine Dose|Proportion of Patients Reaching Optimal Insulin Glargine Dose|Median Adherence to Insulin Glargine|Median Adherence to Metformin","QuiO|SHL Medical|MidMichigan Health","All","18 Years to 75 Years   (Adult, Older Adult)","Not Applicable","100","Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Supportive Care","1433742-2","May 2020","December 2020","February 2021","June 25, 2019",,"March 31, 2020","Clinical Research Department, Midland, Michigan, United States",,"https://ClinicalTrials.gov/show/NCT03997331"
17,"NCT03979768","Risk Assessment of Type 2 Diabetes in Pharmacies",,"Completed","No Results Available","Type2 Diabetes","Other: Diabetes risk assessment service in Norwegian community pharmacies","Number of Participants with undiagnosed type 2 diabetes|Explore if there was any difference in the number of participants with a high risk of developing type 2 diabetes in the risk test only (RTO)- group and the group that also offered a HbA1c-measurement (HbA1c-group)","University of Bergen","All","45 Years and older   (Adult, Older Adult)","Not Applicable","368","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","2016/808","September 15, 2016","June 30, 2017","May 30, 2019","June 7, 2019",,"October 16, 2019",,,"https://ClinicalTrials.gov/show/NCT03979768"
18,"NCT04107259","IRAPe, Irisin and IL-34 in Patients With Type 2 Diabetes",,"Completed","No Results Available","Type2 Diabetes Mellitus","Diagnostic Test: Blood sample","Fasting blood glucose (FBG) levels|Fasting plasma insulin (FPI)|HOMA-IR index|plasma IL-34|serum visfatin|IRAPe","Damanhour University|Tanta University","All","35 Years to 65 Years   (Adult, Older Adult)",,"120","Other","Observational","Observational Model: Case-Control|Time Perspective: Cross-Sectional","IRAPe, Irisin and IL-34","January 19, 2019","June 30, 2019","July 20, 2019","September 27, 2019",,"September 27, 2019","Tanta University, Tanta, El-Gharbia, Egypt",,"https://ClinicalTrials.gov/show/NCT04107259"
19,"NCT04004793","Remission of Type 2 Diabetes With Dapagliflozin (READ Trial)",,"Not yet recruiting","No Results Available","Type 2 Diabetes","Behavioral: Intensive lifestyle intervention|Drug: Dapagliflozin 10 MG|Drug: Placebo oral tablet","Incidence of patients with diabetes remission|Proportion of patients with diabetes remission|Net change in body weight|Net change in waist circumference|Net change in HOMA-IR|Net change in serum lipids|Net change in HbA1c|Net change in body fat|Net change in SBP|Net change in Serum Creatine|Net change in Albuminuria","Shanghai Zhongshan Hospital","All","20 Years to 70 Years   (Adult, Older Adult)","Phase 4","328","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","B2019-043R","August 1, 2019","October 30, 2021","October 30, 2021","July 2, 2019",,"July 9, 2019",,,"https://ClinicalTrials.gov/show/NCT04004793"
20,"NCT04014582","Taking Action: a Care for Type 2 Diabetes Intervention for Couples","TACTIC","Completed","No Results Available","Type 2 Diabetes","Behavioral: Communal Coping Intervention|Behavioral: Diabetes Education","Change in depressive symptoms|Change in life satisfaction|Change in perceived stress|Change in relationship satisfaction--QMI|Change in relationship satisfaction--PAIR|Change in diabetes self-care|Change in perceived emotional responsiveness|Change in generalized self-efficacy|Change in diabetes specific self-efficacy","Carnegie Mellon University","All","Child, Adult, Older Adult","Not Applicable","42","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment","STUDY2019_00000227","July 20, 2019","April 14, 2020","April 14, 2020","July 10, 2019",,"May 1, 2020","Carnegie Mellon Universityl, Pittsburgh, Pennsylvania, United States",,"https://ClinicalTrials.gov/show/NCT04014582"
21,"NCT03887416","Effect of Dapagliflozin on Nighttime Blood Pressure in Type 2 Diabetes",,"Recruiting","No Results Available","Type2 Diabetes","Drug: Dapagliflozin 10 MG Oral Tablet [Farxiga]|Drug: Placebo Oral Tablet","Changes in nighttime blood pressure|Changes in office blood pressure. Both systolic and diastolic blood pressure will be assessed|Changes in albuminuria|Changes in HBA1C","LM Diagnósticos S.L.|AstraZeneca","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 4","225","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment","DAPA-ESR-16-12460|2017-002125-38","April 12, 2019","February 2020","February 2020","March 25, 2019",,"September 3, 2019","Hospital Clínico San Carlos, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain","""Study Protocol and Statistical Analysis Plan"", https://ClinicalTrials.gov/ProvidedDocs/16/NCT03887416/Prot_SAP_000.pdf","https://ClinicalTrials.gov/show/NCT03887416"
22,"NCT04108299","Family Intervention for Chinese Americans With Type 2 Diabetes",,"Not yet recruiting","No Results Available","Type 2 Diabetes","Behavioral: Wait-list control group|Behavioral: SMS intervention","Feasibility of study intervention|Acceptability|HbA1c|Self-efficacy measured using Diabetes Management Self-Efficacy Scale (DMSES)|Diabetes Self-Management Questionnaire (DSMQ)|23-item Michigan Diabetes Knowledge Test","NYU Langone Health","All","18 Years to 80 Years   (Adult, Older Adult)","Not Applicable","30","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Care Provider)|Primary Purpose: Supportive Care","19-01275","October 19, 2019","November 2019","November 2020","September 30, 2019",,"September 30, 2019","NYU Langone Health, New York, New York, United States",,"https://ClinicalTrials.gov/show/NCT04108299"
23,"NCT03870724","Women and Risk of Type 2 Diabetes",,"Enrolling by invitation","No Results Available","Type 2 Diabetes Mellitus",,"Type 2 diabetes","University of Oslo|Norwegian Diabetes Association","Female","27 Years to 60 Years   (Adult)",,"500","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","2018/2517","August 27, 2019","December 2020","December 2021","March 12, 2019",,"January 21, 2020","University of Oslo, Faculty of Medicine, Institute of Health and Society, Oslo, Norway",,"https://ClinicalTrials.gov/show/NCT03870724"
24,"NCT03944616","Study Of Drinks With Artificial Sweeteners in People With Type 2 Diabetes","SODAS","Recruiting","No Results Available","Type 2 Diabetes","Behavioral: Diet Beverage|Behavioral: Water","HbA1c|Time In Range|Glycemic Variability|Other CGM metrics|Lipid panel (Total cholesterol, LDL cholesterol, HDL cholesterol, Fasting Triglycerides), all mg/dL|Kidney function|Fasting glucose and Insulin|Fructosamine/Glycated Albumin|Blood pressure|Weight (kg)|Dietary Quality (Healthy Eating Index)|DHP-18|Food Craving Inventory|Sleep Quality and Patterns|Physical activity|Serotonin|Leptin|Thyroid Stimulating Hormone (TSH)|Neuropeptide Y|cholecystokinin (CCK)|Gut Microbiome|Comprehensive metabolomics|Dietary Practices","University of California, Irvine|University of Minnesota|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)","All","35 Years and older   (Adult, Older Adult)","Not Applicable","200","Other|NIH","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention","R01DK117028|1R01DK117028-01A1","June 6, 2019","July 31, 2022","July 31, 2022","May 9, 2019",,"October 3, 2019","University of California, Irvine, Irvine, California, United States|University of Minnesota, Minneapolis, Minnesota, United States",,"https://ClinicalTrials.gov/show/NCT03944616"
25,"NCT04003194","Pinto Beans and Glycemic Control in Adults With Type 2 Diabetes",,"Completed","No Results Available","Type 2 Diabetes","Other: Pinto Beans|Other: Green Beans - control","Change in Glucose|Postprandial glucose|Change in Hemoglobin A1c","University of Colorado, Colorado Springs|Iowa State University","All","20 Years to 75 Years   (Adult, Older Adult)","Not Applicable","13","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","UCCS09-028","March 1, 2009","December 31, 2010","December 31, 2010","July 1, 2019",,"July 1, 2019",,,"https://ClinicalTrials.gov/show/NCT04003194"
26,"NCT04005261","C-peptide Concentrations in Type 2 Diabetes Treated With Insulin; is it Time to Revise the Treatment of Type 2 Diabetes",,"Completed","No Results Available","Type 2 Diabetes Treated With Insulin","Diagnostic Test: C-peptide concentrations","The incidence of adequate, borderline and insufficient beta cell reserves assessed by the fasting C-peptide concentrations|Correlations of fasting C-peptide concentrations with patients characteristics and biochemical findings","Goztepe Training and Research Hospital","All","18 Years and older   (Adult, Older Adult)",,"249","Other","Observational","Observational Model: Case-Only|Time Perspective: Prospective","C-peptide2019","November 1, 2018","February 1, 2019","March 1, 2019","July 2, 2019",,"July 2, 2019","IMU Goztepe Education and Research Hospital, Istanbul, Turkey",,"https://ClinicalTrials.gov/show/NCT04005261"
27,"NCT03893526","Effect of Neprilysin on Glucagon-Like Peptide-1 in Patients With Type 2 Diabetes","NEPT2D","Recruiting","No Results Available","Type2 Diabetes","Drug: Entresto|Drug: Sitagliptin|Drug: Valsartan|Drug: Placebo","Blood Glucose|Plasma Concentrations of GLP-1|Plasma Concentrations of GIP|Plasma Concentrations of Glucagon|Plasma Concentrations of Insulin|Plasma Concentrations of C-Peptide|Plasma Concentrations of Amino Acids","University of Copenhagen|Hvidovre University Hospital","Male","30 Years to 70 Years   (Adult, Older Adult)","Phase 4","10","Other","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","NEPT2D","January 25, 2019","January 1, 2021","September 1, 2021","March 28, 2019",,"March 24, 2020","Hvidovre Hospital, Hvidovre, RegionH, Denmark",,"https://ClinicalTrials.gov/show/NCT03893526"
28,"NCT04164784","Effect of ""Therapeutic Monitoring"" on Blood Glucose Control in Type 2 Diabetes",,"Not yet recruiting","No Results Available","Type2 Diabetes","Behavioral: therapeutic monitoring","HbA1c|TIR|Fasting glucose levels|Fasting c-peptide levels|Serum Triglycerides|Serum total Cholesterol|Serum HDL-c|Serum LDL-c|Body weight|Height|Blood pressure|Creatinine|Uric acid|UCAR","Shanghai Jiao Tong University School of Medicine","All","18 Years to 70 Years   (Adult, Older Adult)","Not Applicable","480","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","Ruijin-20191101","December 10, 2019","August 15, 2020","November 15, 2020","November 15, 2019",,"December 13, 2019","Ruijin hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China",,"https://ClinicalTrials.gov/show/NCT04164784"
