"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","First Posted","Locations","URL"
11,"NCT04431674","Novel MRI-Guided Ultrasound Stimulated Microbubble Radiation Treatment for Patients With Chest-wall and Locally-Advanced Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: Definity Suspension for Injection","June 16, 2020","Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada","https://ClinicalTrials.gov/show/NCT04431674"
12,"NCT04302415","Metabolomics Explores Biomarkers for Metastatic Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: There is no other intervention, only clinical treatment.","March 10, 2020","Shandong Cancer Hospital and Institute, Jinan, Shandong, China","https://ClinicalTrials.gov/show/NCT04302415"
13,"NCT04270149","Cancer Peptides Plus GM-CSF and Adjuvant in Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer","Biological: ESR1 peptide vaccine","February 17, 2020",,"https://ClinicalTrials.gov/show/NCT04270149"
14,"NCT04250818","Predicting Response of Metastatic Triple Negative Breast Cancer to Immunotherapy Based on Patients Cytokine Profile","Recruiting","No Results Available","Metastatic Triple-Negative Breast Cancer",,"January 31, 2020","Texas Tech University HSC El Paso, El Paso, Texas, United States","https://ClinicalTrials.gov/show/NCT04250818"
15,"NCT04215003","A Clinical Trial of Breast Cancer Neo-adjuvant Therapy Based on Molecular Pathway in FUSCC","Not yet recruiting","No Results Available","Breast Cancer","Drug: A|Drug: B|Drug: CL1|Drug: CL2|Drug: CLH1|Drug: CLH2|Drug: CH1|Drug: CH2|Drug: CT1","January 2, 2020",,"https://ClinicalTrials.gov/show/NCT04215003"
16,"NCT04365790","Investigation of Gene Mutations in Patients With Triple-negative and Patients With HER2+ Breast Cancer Adenocarcinoma","Recruiting","No Results Available","Breast Cancer",,"April 28, 2020","George Fountzilas, Athens, Greece","https://ClinicalTrials.gov/show/NCT04365790"
17,"NCT04277338","Molecular Imaging of HER2 Expression in Breast Cancer Using Technetium-99m-labelled DARPin HE3-G3 (99mTc-HE3-G3)","Enrolling by invitation","No Results Available","Primary Breast Cancer","Diagnostic Test: SPECT","February 20, 2020","TomskNRMC, Tomsk, Russian Federation","https://ClinicalTrials.gov/show/NCT04277338"
18,"NCT04223492","Liquid Biopsies and Imaging in Breast Cancer","Recruiting","No Results Available","Breast Cancer","Diagnostic Test: Liquid biopsy|Diagnostic Test: Multi-parametric MRI","January 10, 2020","Universitair Medisch Centrum Utrecht, Utrecht, Netherlands","https://ClinicalTrials.gov/show/NCT04223492"
19,"NCT04289935","Vacuum Assisted Biopsy Immediately Before Surgery as an Intra- or Pre-Operative Surrogate for Patient Response to Neoadjuvant Chemotherapy for Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer","Procedure: Vacuum assisted biopsy (VAB)","February 28, 2020","Kantonsspital Baden, Baden, Switzerland|Universitätsspital Basel, Basel, Switzerland|Bethesda Spital, Basel, Switzerland|IOSI - Istituto Oncologico della Svizzera Italiana, Bellinzona, Switzerland|Inselspital - Universitätsklinik für Frauenklinik, Bern, Switzerland|Hirslanden Brustzentrum Bern Biel, Bern, Switzerland|Kantonsspital Graubünden, Chur, Switzerland|Brustzentrum Thurgau, Frauenfeld, Switzerland|Clinique de Genolier, Genolier, Switzerland|Luzerner Kantonsspital, Luzern, Switzerland|Hirslanden Klinik St. Anna, Luzern, Switzerland|Gesundheitszentrum Fricktal, Rheinfelden, Switzerland|Tumor- und Brustzentrum ZeTuP St. Gallen, St. Gallen, Switzerland|Kantonsspital St. Gallen, St. Gallen, Switzerland|Brustzentrum Ostschweiz, St. Gallen, Switzerland|Brust-Zentrum Seefeld, Zürich, Switzerland","https://ClinicalTrials.gov/show/NCT04289935"
20,"NCT04320979","Postmastecomy Internal Mammary Nodal Irradiation for High-risk Breast Cancer Patients","Recruiting","No Results Available","Breast Cancer","Radiation: internal mammary nodal irradiation|Radiation: no internal mammary nodal irradiation","March 25, 2020","Cancer Hospital, Chinese Academy of Medical Sciences, Beijing, China","https://ClinicalTrials.gov/show/NCT04320979"
21,"NCT04411966","Early Interim 18F-FDG-PET and 18F-FLT-PET for Predicting Treatment Response and Survival in Metastatic Breast Cancer","Completed","No Results Available","Metastatic Breast Cancer","Diagnostic Test: 18F-fluorothymidine","June 2, 2020",,"https://ClinicalTrials.gov/show/NCT04411966"
22,"NCT04429269","A Comparative Study of Mammography and Ultrasound for Breast Cancer Screening and Early Diagnosis","Recruiting","No Results Available","Breast Cancer Diagnosis|Breast Cancer Screening","Diagnostic Test: mammography and ultrasound screening","June 12, 2020","Peking Union Medical College Hospital, Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04429269"
23,"NCT04419181","Feasibility of Chemotherapy De-escalation in Early-Stage HER2 Positive Breast Cancer","Not yet recruiting","No Results Available","HER2-positive Breast Cancer","Drug: Docetaxel|Drug: Carboplatin|Drug: Trastuzumab|Drug: Pertuzumab|Drug: Trastuzumab emtansine","June 5, 2020",,"https://ClinicalTrials.gov/show/NCT04419181"
24,"NCT04315012","Training With Mobile Application in Breast Cancer","Completed","No Results Available","Breast Cancer","Other: receive mobile app-based education","March 19, 2020","İzmir Bakırçay University, İzmir, Turkey","https://ClinicalTrials.gov/show/NCT04315012"
25,"NCT04292821","BIOPSY SCANNER LLTECH© Technology for Diagnosis of Breast Cancer","Recruiting","No Results Available","Breast Cancer",,"March 3, 2020","Hôpital de la Pitié Salpêtrière, Paris, France","https://ClinicalTrials.gov/show/NCT04292821"
26,"NCT04220476","CIMER: Combined Immunotherapies in Metastatic ER+ Breast Cancer","Recruiting","No Results Available","Breast Cancer","Radiation: Stereotactic Body Radiation Therapy (SBRT) (50GY in 5 fractions)|Drug: Letrozole 2.5Mg Tab|Drug: Palbociclib 125mg","January 7, 2020","Weill Cornell Medicine, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04220476"
27,"NCT04261244","NeoRad Breast Cancer Study","Not yet recruiting","No Results Available","Breast Cancer","Radiation: preoperative radiotherapy|Radiation: postoperative radiotherapy","February 7, 2020","Heinrich Heine University Hospital Duesseldorf, Duesseldorf, Germany","https://ClinicalTrials.gov/show/NCT04261244"
28,"NCT04374825","Optimizing Quality of Life in Women Living With Metastatic Breast Cancer","Active, not recruiting","No Results Available","Metastatic Breast Cancer","Behavioral: Acceptance and Commitment Therapy (ACT)|Behavioral: Cognitive Behavioral Stress Management (CBSM)","May 5, 2020","Northwestern University Feinberg School of Medicine, Chicago, Illinois, United States","https://ClinicalTrials.gov/show/NCT04374825"
29,"NCT04307407","Exercise in Breast Cancer Survivors","Enrolling by invitation","No Results Available","Breast Cancer","Behavioral: Aerobic Exercise","March 13, 2020","Norwegian School of Sport Sciences, Oslo, Norway","https://ClinicalTrials.gov/show/NCT04307407"
30,"NCT04353557","ctDNA Monitoring in Early Breast Cancer","Recruiting","No Results Available","Breast Cancer",,"April 20, 2020","Army Medical Center of PLA, China, Chongqing, Chongqing, China","https://ClinicalTrials.gov/show/NCT04353557"
31,"NCT04437160","Adjuvant Chemotherapy for Triple Negative Breast Cancer Patients With Residual Disease After Neoadjuvant Chemotherapy","Recruiting","No Results Available","Triple Negative Breast Cancer","Drug: Epirubicin or Pirarubicin|Drug: Cyclophosphamide","June 18, 2020","Cancer Hospital & Institute Chinese Academy of Medical Sciences (CAMS), Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04437160"
32,"NCT04312347","Tamoxifen Dose Adjustment on Indonesian Female ER+ Breast Cancer Patients Based on CYP2D6 Genotype and Endoxifen Levels","Recruiting","No Results Available","ER+ Breast Cancer","Drug: Tamoxifen dose adjustment","March 18, 2020","MRCCC Siloam Hospital Semanggi, Jakarta, DKI Jakarta, Indonesia","https://ClinicalTrials.gov/show/NCT04312347"
33,"NCT04328194","Autotaxin (ATX) as a Marker for Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer","Diagnostic Test: Serum Autotaxin|Radiation: chest x-ray|Diagnostic Test: Breast ultrasound or mammography|Diagnostic Test: Histopathological examination of breast mass specimens|Radiation: Magnetic Resonance Imaging ( MRI) and Bone scan|Diagnostic Test: Peripheral haemogram|Diagnostic Test: Renal and liver functions|Diagnostic Test: Prothrombin time and concentration|Diagnostic Test: Cancer Antigen 15-3 (CA15-3).|Other: Full medical history|Other: Full clinical examination","March 31, 2020",,"https://ClinicalTrials.gov/show/NCT04328194"
34,"NCT04430595","Multi-4SCAR-T Therapy Targeting Breast Cancer","Recruiting","No Results Available","Breast Cancer","Biological: 4SCAR T cells","June 12, 2020","The Seventh Affilliated Hospital, Sun Yat-Sen University, Shenzhen, Guangdong, China","https://ClinicalTrials.gov/show/NCT04430595"
35,"NCT04296175","Carboplatin Intensified Chemotherapy for TRIple NEgative Breast Cancer(CITRINE)","Recruiting","No Results Available","Triple-negative Breast Cancer","Drug: Epirubicin|Drug: CTX|Drug: Paclitaxel|Drug: ddEpirubicin|Drug: ddCTX|Drug: Paclitaxel(with carbo)|Drug: Carboplatin","March 5, 2020","Fudan University Shanghai Cancer Center, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT04296175"
36,"NCT04298333","Dose-finding Study of BP-C1 in Patients With Stage IV Breast Cancer","Completed","No Results Available","Metastatic Breast Cancer|Stage IV Breast Cancer","Drug: BP-C1","March 6, 2020","Sanglah University Hospital, Bali, Indonesia|National Taiwan University Hospital, Taipei, Taiwan|Siriraj Hospital, Mahidol University, Bangkok, Thailand","https://ClinicalTrials.gov/show/NCT04298333"
37,"NCT04258163","Association of Survival With Maintenance Therapy in Patients With Metastatic Breast Cancer After First-line Chemotherapy","Completed","No Results Available","Metastatic Breast Cancer","Drug: Capecitabine|Drug: Liposomal doxorubicin|Drug: Gemcitabine|Drug: Fulvestrant|Drug: Anastrozole|Drug: Letrozole","February 6, 2020","First People's Hospital of Foshan, Foshan, Guangdong, China|Sun Yat-sen Memorial Hospital,Sun Yat-sen University, Guangzhou, Guangdong, China|Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, China","https://ClinicalTrials.gov/show/NCT04258163"
38,"NCT04305496","Capivasertib+Fulvestrant vs Placebo+Fulvestrant as Treatment for Locally Advanced (Inoperable) or Metastatic HR+/HER2− Breast Cancer","Recruiting","No Results Available","Locally Advanced (Inoperable) or Metastatic Breast Cancer","Drug: Fulvestrant|Drug: Capivasertib|Drug: Placebo","March 12, 2020","Research Site, Gilbert, Arizona, United States|Research Site, Tucson, Arizona, United States|Research Site, Tucson, Arizona, United States|Research Site, Orange, California, United States|Research Site, Redlands, California, United States|Research Site, San Francisco, California, United States|Research Site, Santa Maria, California, United States|Research Site, Thousand Oaks, California, United States|Research Site, Whittier, California, United States|Research Site, Fort Myers, Florida, United States|Research Site, Orlando, Florida, United States|Research Site, Marietta, Georgia, United States|Research Site, Westwood, Kansas, United States|Research Site, Baltimore, Maryland, United States|Research Site, Boston, Massachusetts, United States|Research Site, Royal Oak, Michigan, United States|Research Site, Kansas City, Missouri, United States|Research Site, Saint Louis, Missouri, United States|Research Site, Henderson, Nevada, United States|Research Site, Paramus, New Jersey, United States|Research Site, Farmington, New Mexico, United States|Research Site, Lake Success, New York, United States|Research Site, New York, New York, United States|Research Site, New York, New York, United States|Research Site, Rochester, New York, United States|Research Site, Charlotte, North Carolina, United States|Research Site, Greensboro, North Carolina, United States|Research Site, Cleveland, Ohio, United States|Research Site, Oklahoma City, Oklahoma, United States|Research Site, Chattanooga, Tennessee, United States|Research Site, Nashville, Tennessee, United States|Research Site, Dallas, Texas, United States|Research Site, Midlothian, Virginia, United States|Research Site, Puyallup, Washington, United States|Research Site, Madison, Wisconsin, United States|Research Site, Berazategui, Argentina|Research Site, Ciudad Autonoma De Buenos Aire, Argentina|Research Site, La Rioja, Argentina|Research Site, Rosario, Argentina|Research Site, Viedma, Argentina|Research Site, Adelaide, Australia|Research Site, Ballarat, Australia|Research Site, Birtinya, Australia|Research Site, Box Hill, Australia|Research Site, Concord, Australia|Research Site, East Albury, Australia|Research Site, Kurralta Park, Australia|Research Site, North Sydney, Australia|Research Site, Orange, Australia|Research Site, Ringwood East, Australia|Research Site, South Brisbane, Australia|Research Site, Waratah, Australia|Research Site, Wendouree, Australia|Research Site, Brussels, Belgium|Research Site, Bruxelles, Belgium|Research Site, Charleroi, Belgium|Research Site, Edegem, Belgium|Research Site, Namur, Belgium|Research Site, Wilrijk, Belgium|Research Site, Winnipeg, Manitoba, Canada|Research Site, Kingston, Ontario, Canada|Research Site, Mississauga, Ontario, Canada|Research Site, North York, Ontario, Canada|Research Site, Toronto, Ontario, Canada|Research Site, Toronto, Ontario, Canada|Research Site, Toronto, Ontario, Canada|Research Site, Montreal, Quebec, Canada|Research Site, Montreal, Quebec, Canada|Research Site, Saskatoon, Saskatchewan, Canada|Research Site, Besancon, France|Research Site, Brest, France|Research Site, Metz Cedex 03, France|Research Site, Montpellier, France|Research Site, Pierre Benite CEDEX, France|Research Site, Plerin SUR MER, France|Research Site, Pringy, France|Research Site, Rouen, France|Research Site, STRASBOURG Cedex, France|Research Site, Toulouse cedex 9, France|Research Site, Berlin, Germany|Research Site, Cottbus, Germany|Research Site, Dresden, Germany|Research Site, Erlangen, Germany|Research Site, Essen, Germany|Research Site, Frankfurt am Main, Germany|Research Site, Frankfurt, Germany|Research Site, Gelsenkirchen, Germany|Research Site, Hamburg, Germany|Research Site, Hamburg, Germany|Research Site, Hamburg, Germany|Research Site, Hannover, Germany|Research Site, Heidelberg, Germany|Research Site, Jena, Germany|Research Site, Kiel, Germany|Research Site, Magdeburg, Germany|Research Site, Mannheim, Germany|Research Site, Minden, Germany|Research Site, Muenchen, Germany|Research Site, München, Germany|Research Site, München, Germany|Research Site, Münster, Germany|Research Site, Paderborn, Germany|Research Site, Potsdam, Germany|Research Site, Sömmerda, Germany|Research Site, Budapest, Hungary|Research Site, Budapest, Hungary|Research Site, Debrecen, Hungary|Research Site, Kecskemét, Hungary|Research Site, Pécs, Hungary|Research Site, Szekszárd, Hungary|Research Site, Szolnok, Hungary|Research Site, Afula, Israel|Research Site, Be'er Sheva, Israel|Research Site, Haifa, Israel|Research Site, Jerusalem, Israel|Research Site, Jerusalem, Israel|Research Site, Kfar-Saba, Israel|Research Site, Petah Tikva, Israel|Research Site, Ramat Gan, Israel|Research Site, Bergamo, Italy|Research Site, Candiolo, Italy|Research Site, Catanzaro, Italy|Research Site, Genova, Italy|Research Site, Livorno, Italy|Research Site, Macerata, Italy|Research Site, Meldola, Italy|Research Site, Milano, Italy|Research Site, Milano, Italy|Research Site, Modena, Italy|Research Site, Napoli, Italy|Research Site, Prato, Italy|Research Site, Reggio Nell'emilia, Italy|Research Site, Roma, Italy|Research Site, Chiba-shi, Japan|Research Site, Chuo-ku, Japan|Research Site, Chuo-ku, Japan|Research Site, Fukuoka-shi, Japan|Research Site, Fukushima-shi, Japan|Research Site, Hidaka-shi, Japan|Research Site, Hiroshima-shi, Japan|Research Site, Kagoshima-shi, Japan|Research Site, Kitaadachi-gun, Japan|Research Site, Koto-ku, Japan|Research Site, Kumamoto-shi, Japan|Research Site, Kyoto-shi, Japan|Research Site, Matsuyama-shi, Japan|Research Site, Nagoya-shi, Japan|Research Site, Nagoya-shi, Japan|Research Site, Osaka-shi, Japan|Research Site, Osaka-shi, Japan|Research Site, Ota-shi, Japan|Research Site, Sapporo-shi, Japan|Research Site, Sapporo-shi, Japan|Research Site, Shinagawa-ku, Japan|Research Site, Sunto-gun, Japan|Research Site, Tsu-shi, Japan|Research Site, Yokohama-shi, Japan|Research Site, Daegu, Korea, Republic of|Research Site, Goyang-si, Korea, Republic of|Research Site, Incheon, Korea, Republic of|Research Site, Seo-Gu, Korea, Republic of|Research Site, Seongnam-si, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Suwon-si, Korea, Republic of|Research Site, Suwon-si, Korea, Republic of|Research Site, Arequipa, Peru|Research Site, Lima, Peru|Research Site, Bydgoszcz, Poland|Research Site, Krakow, Poland|Research Site, Olsztyn, Poland|Research Site, Warszawa, Poland|Research Site, Moscow, Russian Federation|Research Site, Moscow, Russian Federation|Research Site, Saint Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Samara, Russian Federation|Research Site, Sochi, Russian Federation|Research Site, A Coruña, Spain|Research Site, Barcelona, Spain|Research Site, Barcelona, Spain|Research Site, Barcelona, Spain|Research Site, Córdoba, Spain|Research Site, Hosp de Llobregat(Barcelona), Spain|Research Site, Jaén, Spain|Research Site, La Laguna (Tenerife), Spain|Research Site, Lérida, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Majadahonda, Spain|Research Site, Malaga, Spain|Research Site, Pamplona, Spain|Research Site, Reus,Tarragona, Spain|Research Site, Santiago de Compostela, Spain|Research Site, Sevilla, Spain|Research Site, Valencia, Spain|Research Site, Valencia, Spain|Research Site, Kaohsiung City, Taiwan|Research Site, Taichung, Taiwan|Research Site, Tainan City, Taiwan|Research Site, Tainan City, Taiwan|Research Site, Tainan, Taiwan|Research Site, Taipei, Taiwan|Research Site, Taipei, Taiwan|Research Site, Taipei, Taiwan|Research Site, Taoyuan, Taiwan|Research Site, Aberdeen, United Kingdom|Research Site, Bangor, United Kingdom|Research Site, Blackpool, United Kingdom|Research Site, Bournemouth, United Kingdom|Research Site, Bristol, United Kingdom|Research Site, Cardiff, United Kingdom|Research Site, Cheltenham, United Kingdom|Research Site, Derby, United Kingdom|Research Site, Huddersfield, United Kingdom|Research Site, Lancaster, United Kingdom|Research Site, Leeds, United Kingdom|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, Manchester, United Kingdom|Research Site, Sutton, United Kingdom|Research Site, York, United Kingdom","https://ClinicalTrials.gov/show/NCT04305496"
39,"NCT04267900","99mTc-HPArk2 SPECT/CT for the Detection of HER2-positive Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: 99mTc-HPArk2","February 13, 2020","Peking Union Medical College Hospital, Chinese Academy of Medical Science and Peking Union Medical College, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04267900"
40,"NCT04225741","Theory-based Training to Promote Breast Cancer Screening","Completed","No Results Available","Breast Cancer|Breast Cancer Female","Behavioral: Training group","January 13, 2020",,"https://ClinicalTrials.gov/show/NCT04225741"
41,"NCT04274946","Sentinel Lymph Node Biopsy With Hybrid Technique in Breast Cancer","Recruiting","No Results Available","Breast Cancer","Procedure: Sentinel lymph node biopsy","February 18, 2020","Bülent Ecevit University, Zonguldak, Turkey","https://ClinicalTrials.gov/show/NCT04274946"
42,"NCT04272801","Neoadjuvant Endocrine Therapy Tolerance in Geriatric Early Stage ER+ Breast Cancer","Recruiting","No Results Available","Breast Cancer Female","Drug: tamoxifen, letrozole, anastrozole, or exemestane|Behavioral: Patient reported outcomes","February 17, 2020","University of Virginia, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT04272801"
43,"NCT04307329","Monalizumab and Trastuzumab In Metastatic HER2-pOSitive breAst Cancer: MIMOSA-trial","Not yet recruiting","No Results Available","Breast Cancer","Biological: Monalizumab|Biological: Trastuzumab","March 13, 2020","NKI-AVL, Amsterdam, Netherlands","https://ClinicalTrials.gov/show/NCT04307329"
44,"NCT04307147","NX in Luminal B Breast Cancer Patients After Neoadjuvant Chemotherapy","Recruiting","No Results Available","Breast Cancer","Drug: Capecitabine|Drug: Vinorelbine","March 13, 2020","Cancer Hospital/ Institute, Fudan University, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT04307147"
45,"NCT04427215","Complementary and Alternative Medicine on Mental Health in Breast Cancer Patients","Not yet recruiting","No Results Available","Breast Cancer","Other: Complementary and alternative medicines","June 11, 2020","Cesar Agostinis-Sobrinho, Klaipeda, Lithuania","https://ClinicalTrials.gov/show/NCT04427215"
46,"NCT04234386","GammaPod Dose Escalation Radiation for Early Stage Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer","Radiation: GammaPod Radiation","January 21, 2020",,"https://ClinicalTrials.gov/show/NCT04234386"
47,"NCT04434677","Hypofractionation And Ultra-Hypofractionation In Adjuvant Radiotherapy For Breast Cancer","Recruiting","No Results Available","Breast Cancer","Radiation: Hypofractionation|Radiation: ultraHypofractionation","June 17, 2020","ACOD, Alexandria, Egypt","https://ClinicalTrials.gov/show/NCT04434677"
48,"NCT04215146","A Study to Assess Overall Response Rate by Inducing an Inflammatory Phenotype in Metastatic BReast cAnCEr With the Oncolytic Reovirus PeLareorEp in CombinaTion With Anti-PD-L1 Avelumab and Paclitaxel - BRACELET-1 Study","Recruiting","No Results Available","Breast Cancer Metastatic","Drug: Paclitaxel|Biological: Pelareorep|Drug: Avelumab","January 2, 2020","Indiana University Melvin and Bren Simon Comprehensive Cancer Center, Indianapolis, Indiana, United States|West Virginia University, Morgantown, West Virginia, United States","https://ClinicalTrials.gov/show/NCT04215146"
49,"NCT04339517","Postoperative Identification of Tumor Cells at the Lumpectomy Site of Patients With Early Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer","Procedure: Aspiration of seroma fluid","April 9, 2020",,"https://ClinicalTrials.gov/show/NCT04339517"
50,"NCT04303988","A Multi-cohort Phase II Study of HER2-positive and Triple-negative Breast Cancer Brain Metastases.","Not yet recruiting","No Results Available","Breast Cancer","Drug: Pyrotinib|Drug: Temozolomide Injection|Drug: SHR-1316|Drug: Bevacizumab|Drug: Cisplatin/Carboplatin","March 11, 2020",,"https://ClinicalTrials.gov/show/NCT04303988"
51,"NCT04383275","Stage I HER2 Positive Invasive Breast Cancer De-escalation Study(IRIS)","Not yet recruiting","No Results Available","Breast Cancer","Drug: capecitabine and trastuzumab|Drug: endocrine therapy and trastuzumab","May 12, 2020",,"https://ClinicalTrials.gov/show/NCT04383275"
52,"NCT04334785","Evaluation for the Effectiveness and Safety of Cryo-ablation in the Treatment of Early Invasive Breast Cancer","Recruiting","No Results Available","Breast Cancer","Device: cryo-ablation","April 6, 2020","Fudan University Shanghai Cancer Center, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT04334785"
53,"NCT04255056","Pyrotinib in Breast Cancer Patients With Poor Response to the Neoadjuvant Treatment of Trastuzumab and Pertuzumab","Not yet recruiting","No Results Available","Breast Cancer","Drug: Pyrotinib","February 5, 2020","Sun Yat-sen University Cancer Center, Guangzhou, Guangdong, China","https://ClinicalTrials.gov/show/NCT04255056"
54,"NCT04394325","Digi-Do - a Digital Information Tool to Help Patients Diagnosed With Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer","Behavioral: Digital information tool","May 19, 2020",,"https://ClinicalTrials.gov/show/NCT04394325"
55,"NCT04289974","Predicted Biomarkers of CDK4/6 Inhibitors (Palbociclib) in ER-positive Metastasis Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: Palbociclib","February 28, 2020","Cancer Hospital, ChineseAMS, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04289974"
56,"NCT04362826","Study to Investigate Efficacy of a Novel Probiotic on the Bacteriome and Mycobiome of Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer","Biological: Novel probiotic|Other: Placebo","April 27, 2020","Cleveland Clinic, Case Comprehensive Cancer Center, Cleveland, Ohio, United States","https://ClinicalTrials.gov/show/NCT04362826"
