"Rank","NCT Number","Title","Status","Study Results","Conditions","Interventions","First Posted","Locations","URL"
11,"NCT04433988","Efficacy of Pentoxifylline as Add on Therapy in COVID19 Patients","Not yet recruiting","No Results Available","COVID","Drug: Pentoxifylline|Drug: Placebo","June 16, 2020","Faculty of Medicine, Shibīn Al Kawm, Egypt","https://ClinicalTrials.gov/show/NCT04433988"
12,"NCT04345419","A Real-life Experience on Treatment of Patients With COVID 19","Recruiting","No Results Available","COVID","Drug: Chloroquine|Drug: Favipiravir|Drug: Nitazoxanide|Drug: Ivermectin|Drug: Niclosamide|Drug: Other drugs","April 14, 2020","Tanta university hospital, Tanta, Egypt","https://ClinicalTrials.gov/show/NCT04345419"
13,"NCT04334291","International COVID19 Clinical Evaluation Registry,","Recruiting","No Results Available","COVID 19","Combination Product: Observational (registry)","April 6, 2020","Hospital Lclinico San Carlos, Madrid, Spain","https://ClinicalTrials.gov/show/NCT04334291"
14,"NCT04354753","AiM COVID for Covid 19 Tracking and Prediction","Completed","No Results Available","COVID 19","Other: No Intervention","April 21, 2020","Aarogyam (UK), Leicester, United Kingdom","https://ClinicalTrials.gov/show/NCT04354753"
15,"NCT04408157","A Research Study to Evaluate the Benefits of a Self-management Booklet to Promote Wellbeing During the COVID-19 Pandemic","Not yet recruiting","No Results Available","COVID","Behavioral: Self-management booklet (SWitCh: Stay well during COVID-19)","May 29, 2020",,"https://ClinicalTrials.gov/show/NCT04408157"
16,"NCT04404218","The Açaí Berry COVID-19 Anti-Inflammation Trial","Not yet recruiting","No Results Available","COVID","Dietary Supplement: Açaí palm berry extract - natural product|Other: Placebo","May 27, 2020",,"https://ClinicalTrials.gov/show/NCT04404218"
17,"NCT04347460","Establishing a COVID-19 Prospective Cohort for Identification of Secondary HLH","Recruiting","No Results Available","COVID",,"April 15, 2020","Department of nephrology, Klinikum rechts der Isar, München, Bavaria, Germany","https://ClinicalTrials.gov/show/NCT04347460"
18,"NCT04366271","Clinical Trial of Allogeneic Mesenchymal Cells From Umbilical Cord Tissue in Patients With COVID-19","Recruiting","No Results Available","COVID","Biological: Mesenchymal cells|Drug: Standard of care","April 28, 2020","Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Universitario de Cruces, Barakaldo, Spain|Hospital Universitario de La Princesa, Madrid, Spain|Hospital Infantil Universitario Niño Jesus, Madrid, Spain|Hospital Ramón Y Cajal, Madrid, Spain|Complejo Universitario La Paz, Madrid, Spain","https://ClinicalTrials.gov/show/NCT04366271"
19,"NCT04373824","Max Ivermectin- COVID 19 Study Versus Standard of Care Treatment for COVID 19 Cases. A Pilot Study","Recruiting","No Results Available","COVID","Drug: Ivermectin","May 4, 2020","Max Super Speciality hospital, Saket (A unit of Devki Devi Foundation), New Delhi, Delhi, India","https://ClinicalTrials.gov/show/NCT04373824"
20,"NCT04343092","Efficacy of Ivermectin as Add on Therapy in COVID19 Patients","Completed","No Results Available","COVID 19","Drug: Ivermectin (IVM)","April 13, 2020","General Directorate of Medical City, Bagdad, Baghdad, Iraq","https://ClinicalTrials.gov/show/NCT04343092"
21,"NCT04338126","Tranexamic Acid (TXA) and Corona Virus 2019 (COVID19) in Inpatients","Not yet recruiting","No Results Available","COVID19","Drug: Tranexamic acid|Drug: Placebo oral tablet","April 8, 2020","University of Alabama at Birmingham, Birmingham, Alabama, United States","https://ClinicalTrials.gov/show/NCT04338126"
22,"NCT04433039","COVID19 Versus H1N1: Radiological Challenge During Next Influenza Season Rising","Completed","No Results Available","COVID",,"June 16, 2020","Faculty of Medicine, University of Alexandria, Alexandria, Egypt","https://ClinicalTrials.gov/show/NCT04433039"
23,"NCT04401098","Changing Of Egyptian Population Behaviour Towards COVID 19 Outbreak","Recruiting","No Results Available","COVID 19",,"May 26, 2020","Damanhour University, Damanhūr, Beheira, Egypt","https://ClinicalTrials.gov/show/NCT04401098"
24,"NCT04363008","COVID 19 Biomarkers","Recruiting","No Results Available","COVID 19","Diagnostic Test: serum inflammatory biomarkers","April 27, 2020","Vancouver General Hospital, Vancouver, British Columbia, Canada","https://ClinicalTrials.gov/show/NCT04363008"
25,"NCT04379297","COvid-19 National Survey for Assessing VIral Spread by Nonaffected CarriErs (CON-VINCE)","Active, not recruiting","No Results Available","COVID19",,"May 7, 2020","Luxembourg Institute of Health, Strassen, Luxembourg","https://ClinicalTrials.gov/show/NCT04379297"
26,"NCT04353154","The RAPID COVID TRIAGE Algorithm","Not yet recruiting","No Results Available","COVID","Diagnostic Test: Spartan Cube Point-of Care Covid-19 test","April 20, 2020",,"https://ClinicalTrials.gov/show/NCT04353154"
27,"NCT04419610","RAS and Coagulopathy in COVID19","Not yet recruiting","No Results Available","COVID","Biological: TRV027|Other: sodium chloride 0.9%","June 5, 2020",,"https://ClinicalTrials.gov/show/NCT04419610"
28,"NCT04359537","Efficacy of Various Doses of Hydroxychloroquine in Pre-Exposure Prophylaxis for COVID 19","Recruiting","No Results Available","COVID 19","Drug: Hydroxychloroquine Sulfate 200 MG|Other: Placebo","April 24, 2020","Shaheed Zulfiaqar Ali Bhutto Medical University, Islamabad, Federal Capital, Pakistan","https://ClinicalTrials.gov/show/NCT04359537"
29,"NCT04438863","Daily Home Spirometry for Early Detection of Pulmonary Complications in Patients With COVID19","Not yet recruiting","No Results Available","COVID 19","Diagnostic Test: home spirometry","June 19, 2020",,"https://ClinicalTrials.gov/show/NCT04438863"
30,"NCT04407299","COVID-19 Impact on Rheumatic Patients","Completed","No Results Available","COVID","Behavioral: self-administered structured questionnaire","May 29, 2020","Kasr Alainy Hospital, Cairo, Non-US/Non-Canadian, Egypt","https://ClinicalTrials.gov/show/NCT04407299"
31,"NCT04381871","Potential Role of Gum Arabic as Immunomodulatory Agent Among COVID 19 Patients","Not yet recruiting","No Results Available","COVID 19","Dietary Supplement: Acacia Senegal|Dietary Supplement: Pectin","May 11, 2020","Omdurman Teaching Hospital, Khartoum, Omdurman, Sudan|Jabra Hospital,, Khartoum, Sudan","https://ClinicalTrials.gov/show/NCT04381871"
32,"NCT04328272","Effectiveness of Hydroxychloroquine in Covid-19 Patients","Not yet recruiting","No Results Available","COVID19","Drug: Hydroxychloroquine 200 Mg Oral Tablet|Drug: Azithromycin 500Mg Oral Tablet|Dietary Supplement: Glucose tablets","March 31, 2020","Ayub Teaching Institution, Abbottābād, K.p.k, Pakistan","https://ClinicalTrials.gov/show/NCT04328272"
33,"NCT04426344","Core Warming of COVID-19 Patients","Not yet recruiting","No Results Available","COVID 19","Device: ensoETM device","June 11, 2020","Barnes-Jewish Hospital, Saint Louis, Missouri, United States","https://ClinicalTrials.gov/show/NCT04426344"
34,"NCT04345679","Anti COVID-19 Convalescent Plasma Therapy","Not yet recruiting","No Results Available","COVID 19","Biological: anti-SARS-CoV-2 convalescent plasma","April 14, 2020",,"https://ClinicalTrials.gov/show/NCT04345679"
35,"NCT04365582","OUTpatient Treatment of COVID-19 in Patients With Risk Factor for Poor Outcome","Recruiting","No Results Available","COVID","Drug: Azithromycin|Drug: Hydroxychloroquine|Drug: Lopinavir 200Mg/Ritonavir 50Mg Tab","April 28, 2020","Hôpital Privé d'Antony, Antony, France|Hôpital Avicenne, Bobigny, France|Centre Hospitalier Intercommunal de Créteil, Créteil, France|Groupe Hospitalier Paris Saint-Joseph, Paris, France|Institut Mutualiste Montsouris, Paris, France","https://ClinicalTrials.gov/show/NCT04365582"
36,"NCT04349540","Role of Immune and Inflammatory Response in Recipients of Allogeneic Haematopoietic Stem Cell Transplantation (SCT) Affected by Severe COVID19","Active, not recruiting","No Results Available","COVID19","Other: no intervention","April 16, 2020","Great Ormond Street Hospital NHS Foundation Trust, London, United Kingdom","https://ClinicalTrials.gov/show/NCT04349540"
37,"NCT04393402","Lung Ultrasound Score in Covid 19 Infectious Disease in Critical Care (LUS-COVID19)","Recruiting","No Results Available","COVID","Procedure: lung ultrasound (LUS)","May 19, 2020","CHU de Nice, Nice, France","https://ClinicalTrials.gov/show/NCT04393402"
38,"NCT04338906","Combination Therapy With Camostat Mesilate + Hydroxychloroquine for COVID-19","Not yet recruiting","No Results Available","COVID","Drug: Camostat Mesilate|Drug: Placebo|Drug: Hydroxychloroquine","April 8, 2020",,"https://ClinicalTrials.gov/show/NCT04338906"
39,"NCT04359329","Estrogen Patch for COVID-19 Symptoms","Recruiting","No Results Available","COVID","Drug: Estradiol patch","April 24, 2020","Stony Brook University Hospital, Stony Brook, New York, United States","https://ClinicalTrials.gov/show/NCT04359329"
40,"NCT04383626","Fear Among Dentists During COVID-19 Pandemic","Completed","No Results Available","COVID",,"May 12, 2020","Cairo University, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT04383626"
41,"NCT04447469","Study of Mavrilimumab (KPL-301) in Participants Hospitalized With Severe Corona Virus Disease 2019 (COVID-19) Pneumonia and Hyper-inflammation","Not yet recruiting","No Results Available","COVID","Drug: mavrilimumab|Other: Placebo","June 25, 2020","Tulane Medical Center, New Orleans, Louisiana, United States","https://ClinicalTrials.gov/show/NCT04447469"
42,"NCT04383548","Clinical Study for Efficacy of Anti-Corona VS2 Immunoglobulins Prepared From COVID19 Convalescent Plasma Prepared by VIPS Mini-Pool IVIG Medical Devices in Prevention of SARS-CoV-2 Infection in High Risk Groups as Well as Treatment of Early Cases of COVID19 Patients","Not yet recruiting","No Results Available","COVID19","Other: hyper immunoglobulins containing anti-Corona VS2 immunoglobulin","May 12, 2020",,"https://ClinicalTrials.gov/show/NCT04383548"
43,"NCT04407390","Effects of Nicotinamide Riboside on the Clinical Outcome of Covid-19 in the Elderly","Recruiting","No Results Available","COVID","Dietary Supplement: Nicotinamide riboside|Dietary Supplement: Placebo","May 29, 2020","Bispebjerg Hospital, Copenhagen NV, Denmark","https://ClinicalTrials.gov/show/NCT04407390"
44,"NCT04411446","Cholecalciferol to Improve the Outcomes of COVID-19 Patients","Not yet recruiting","No Results Available","COVID","Drug: Vitamin D|Drug: Placebo","June 2, 2020","Hospital de Alta Complejidad en Red El Cruce, Florencio Varela, Buenos Aires, Argentina","https://ClinicalTrials.gov/show/NCT04411446"
45,"NCT04435795","Inhaled Ciclesonide for Outpatients With COVID19","Not yet recruiting","No Results Available","COVID 19","Drug: Ciclesonide","June 17, 2020",,"https://ClinicalTrials.gov/show/NCT04435795"
46,"NCT04428073","Therapeutic Vaccine Trial of COVID-19 for Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Infection","Not yet recruiting","No Results Available","COVID","Biological: Covax-19™","June 11, 2020",,"https://ClinicalTrials.gov/show/NCT04428073"
47,"NCT04444687","COVID 19: Is SARS-CoV-2 Contaminating Surgical Aerosols From Laparoscopy and Open Abdominal Surgery?","Not yet recruiting","No Results Available","COVID","Diagnostic Test: Test for SARS-CoV-2","June 23, 2020",,"https://ClinicalTrials.gov/show/NCT04444687"
48,"NCT04403828","Impact of COVID-19 on Personal Protection Among Dentist in Egypt","Active, not recruiting","No Results Available","COVID 19","Other: Survey","May 27, 2020","Faculty of Dentistry, Fayoum, Egypt","https://ClinicalTrials.gov/show/NCT04403828"
49,"NCT04414657","USZ BioResource COVID","Recruiting","No Results Available","COVID19","Other: blood sampling for biobank","June 4, 2020","University Hospital Zurich, Clinical Trials Center, Zurich, Switzerland","https://ClinicalTrials.gov/show/NCT04414657"
50,"NCT04397796","Study of the Safety of Therapeutic Tx With Immunomodulatory MSC in Adults With COVID-19 Infection Requiring Mechanical Ventilation","Not yet recruiting","No Results Available","COVID","Biological: BM-Allo.MSC|Biological: Placebo","May 21, 2020",,"https://ClinicalTrials.gov/show/NCT04397796"
51,"NCT04348500","Clazakizumab (Anti-IL- 6 Monoclonal) Compared to Placebo for COVID19 Disease","Recruiting","No Results Available","COVID19","Drug: Clazakizumab","April 16, 2020","Cedars-Sinai Medical Center, Los Angeles, California, United States","https://ClinicalTrials.gov/show/NCT04348500"
52,"NCT04422574","COVID 19 Serology in Pulmonologists","Completed","No Results Available","Covid 19",,"June 9, 2020","Uh Montpellier, Montpellier, France","https://ClinicalTrials.gov/show/NCT04422574"
53,"NCT04335188","COVID-19 Registry Rhineland-Palatinate (Germany)","Recruiting","No Results Available","COVID","Other: Prospective oberservational registry","April 6, 2020","Klinikum der Stadt Ludwigshafen am Rhein GmbH, Klinik für Herzchirurgie, Ludwigshafen, RLP, Germany","https://ClinicalTrials.gov/show/NCT04335188"
54,"NCT04402944","Pulmozyme to Improve COVID-19 ARDS Outcomes","Not yet recruiting","No Results Available","COVID","Drug: Pulmozyme|Drug: Placebo","May 27, 2020",,"https://ClinicalTrials.gov/show/NCT04402944"
55,"NCT04374123","COVID-19 Serology Screening and Strict Protocol in the Endoscopy Unit","Recruiting","No Results Available","COVID","Diagnostic Test: Serological screening for IgG and IgM antibodies against COVID-19","May 5, 2020","Ecuadorian Institute of Digestive Diseases, Guayaquil, Guayas, Ecuador","https://ClinicalTrials.gov/show/NCT04374123"
56,"NCT04343976","Pegylated Interferon Lambda Treatment for COVID-19","Enrolling by invitation","No Results Available","COVID-19|COVID","Drug: Pegylated interferon lambda","April 14, 2020","Massachusetts General Hospital, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04343976"
57,"NCT04392713","Efficacy of Ivermectin in COVID-19","Recruiting","No Results Available","COVID","Drug: Ivermectin 6 MG Oral Tablet (2 tablets)","May 19, 2020","Combined Military Hospital Lahore, Lahore, Punjab, Pakistan","https://ClinicalTrials.gov/show/NCT04392713"
58,"NCT04357431","COVID-19 Among Egyptian Health Care Providers","Recruiting","No Results Available","COVID","Other: self-administered questionnaire","April 22, 2020","Ahmed Abbas, Assiut, Cairo, Egypt","https://ClinicalTrials.gov/show/NCT04357431"
59,"NCT04357444","Low Dose of IL-2 In Acute Respiratory DistrEss Syndrome Related to COVID-19","Not yet recruiting","No Results Available","COVID 19","Drug: 1: ILT101|Drug: 2: Placebo Comparator","April 22, 2020","Service Anesthésie Réanimation - Groupe Hospitalier Pitié-Salpêtrière, Paris, France","https://ClinicalTrials.gov/show/NCT04357444"
60,"NCT04352491","An Online Survey to Understand Feelings Related to COVID-19 Among ILBS Patients With Liver Disease","Completed","No Results Available","COVID 19","Other: No intervention","April 20, 2020","Institute of Liver and Biliary Sciences, New Delhi, Delhi, India","https://ClinicalTrials.gov/show/NCT04352491"
61,"NCT04445311","Ivermectin in Treatment of COVID-19","Recruiting","No Results Available","COVID","Drug: Ivermectin","June 24, 2020","Waheed Shouman, Zagazig, Sharkia, Egypt","https://ClinicalTrials.gov/show/NCT04445311"
62,"NCT04430322","Covid-19 at the Regional Medical Center Metz-Thionville: a Descriptive Study","Recruiting","No Results Available","COVID",,"June 12, 2020","CHR Metz Thionville, Metz, France","https://ClinicalTrials.gov/show/NCT04430322"
63,"NCT04436458","Niclosamide In Moderate COVID-19","Not yet recruiting","No Results Available","COVID","Drug: Niclosamide Oral Tablet|Drug: Placebo","June 18, 2020",,"https://ClinicalTrials.gov/show/NCT04436458"
64,"NCT04389294","HSS Covid-19 Antibody Serology Among Surgeons & Anesthesiologists","Recruiting","No Results Available","COVID","Diagnostic Test: SARS-CoV2 serum antibody testing","May 15, 2020","Hospital for Special Surgery, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04389294"
65,"NCT04403555","Ivermectin and Doxycycine in COVID-19 Treatment","Not yet recruiting","No Results Available","COVID","Drug: Ivermectin|Drug: Doxycycline|Drug: Chloroquine","May 27, 2020","Sherief Abd-Elsalam, Tanta, Egypt","https://ClinicalTrials.gov/show/NCT04403555"
66,"NCT04420637","Impact of the Covid-19 Pandemic on Gastrointestinal and Liver Diseases","Not yet recruiting","No Results Available","COVID",,"June 9, 2020","Department of Internal Medicine, Medical University of Graz, Graz, Austria","https://ClinicalTrials.gov/show/NCT04420637"
67,"NCT04361786","Acral Cutaneous Thrombotic Vasculopathy and Covid-19 Infection","Recruiting","No Results Available","COVID 19",,"April 24, 2020","Uh Montpellier, Montpellier, France","https://ClinicalTrials.gov/show/NCT04361786"
68,"NCT04383652","Collection of Coronavirus COVID-19 Outbreak Samples in New South Wales","Recruiting","No Results Available","COVID","Other: Biological sample and clinical data collection","May 12, 2020","NSW Health Pathology, Randwick, New South Wales, Australia|Prince of Wales Hospital, Randwick, New South Wales, Australia|Sydney Children's Hospital, Randwick, New South Wales, Australia|Blacktown Hospital, Blacktown, Australia|Royal Prince Alfred Hospital, Camperdown, Australia|St Vincent's Hospital, Darlinghurst, Australia|Northern Beaches Hospital, Frenchs Forest, Australia|Royal North Shore Hospital, Saint Leonards, Australia|Westmead Hospital, Westmead, Australia","https://ClinicalTrials.gov/show/NCT04383652"
69,"NCT04422561","Prophylactic Ivermectin in COVID-19 Contacts","Recruiting","No Results Available","COVID","Drug: Ivermectin Tablets","June 9, 2020","Zagazig University, Zagazig, Sharkia, Egypt","https://ClinicalTrials.gov/show/NCT04422561"
70,"NCT04425720","Use of Remote Monitoring for COVID-19 Patient","Not yet recruiting","No Results Available","COVID","Device: LifeSignals Biosensor 1AX*|Other: Standard of Care","June 11, 2020","Montefiore Medical Center, Bronx, New York, United States","https://ClinicalTrials.gov/show/NCT04425720"
71,"NCT04351295","Efficacy of Faviprevir in COVID-19 Treatment","Not yet recruiting","No Results Available","COVID","Drug: Favipiravir|Drug: Placebos","April 17, 2020","Tanta University, Tanta, Egypt","https://ClinicalTrials.gov/show/NCT04351295"
72,"NCT04409327","Phase 3 Study to Determine if RTB101 Reduces the Severity of COVID-19 in Older Adults Residing in Nursing Homes","Recruiting","No Results Available","COVID19","Drug: RTB101|Drug: Placebo","June 1, 2020","Nursing Home, Middletown, Rhode Island, United States","https://ClinicalTrials.gov/show/NCT04409327"
73,"NCT04362969","COVID-EC Study: Clinical Characteristics of Patients With COVID-19 in Guayaquil, Ecuador","Not yet recruiting","No Results Available","COVID",,"April 27, 2020","GastroMuñoz, Guayaquil, Guayas, Ecuador","https://ClinicalTrials.gov/show/NCT04362969"
74,"NCT04345406","Angiotensin Converting Enzyme Inhibitors in Treatment of Covid 19","Not yet recruiting","No Results Available","COVID","Drug: ACEIs|Drug: Conventional treatment","April 14, 2020","Tanta University, Tanta, Egypt","https://ClinicalTrials.gov/show/NCT04345406"
75,"NCT04406038","Study of the Spread of COVID-19 in Saint Petersburg, Russia","Recruiting","No Results Available","COVID19",,"May 28, 2020","Clinic ""Scandinavia"", Saint Petersburg, Russian Federation","https://ClinicalTrials.gov/show/NCT04406038"
76,"NCT04403607","Cardiac Imaging in SARS-CoV-2 (COVID-19)","Recruiting","No Results Available","COVID",,"May 27, 2020","Royal Alexandra Hospital, Paisley, Renfrewshire, United Kingdom|Royal Infirmary, Glasgow, United Kingdom|Queen Elizabeth University Hospital, Glasgow, United Kingdom","https://ClinicalTrials.gov/show/NCT04403607"
77,"NCT04352400","Efficacy of Nafamostat in Covid-19 Patients (RACONA Study)","Not yet recruiting","No Results Available","COVID19","Drug: Nafamostat Mesilate|Drug: Placebo","April 20, 2020",,"https://ClinicalTrials.gov/show/NCT04352400"
78,"NCT04359901","Sarilumab for Patients With Moderate COVID-19 Disease","Recruiting","No Results Available","COVID","Biological: SARILUMAB","April 24, 2020","VA Boston Healthcare System, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04359901"
79,"NCT04425915","Efficacy of Convalescent Plasma Therapy in Patients With COVID-19","Recruiting","No Results Available","COVID","Biological: Convalescent Plasma|Other: Standard of Care","June 11, 2020","Maulana Azad Medical College, New Delhi, Delhi, India|Institute of Liver & Biliary Sciences, New Delhi, Delhi, India|Rajiv Gandhi Super Speciality Hospital, New Delhi, Delhi, India","https://ClinicalTrials.gov/show/NCT04425915"
80,"NCT04365231","Hydroxychloroquine Azithromycin COVID-19 Pregnancy Trial","Not yet recruiting","No Results Available","COVID19","Drug: Hydroxychloroquine and azithromycin treatment|Other: conventional management of patients","April 28, 2020","Hopital Saint Joseph, Marseille, Paca, France","https://ClinicalTrials.gov/show/NCT04365231"
81,"NCT04338945","Impact of Pandemic COVID-19 on Surgical Specialities Residents in Italy","Completed","No Results Available","COVID","Behavioral: COVID-surgRES questionaire","April 8, 2020","U.O.C. Chirurgia Generale Universitaria ""V. Bonomo"", Bari, Italy|Ospedale Perrino Asl Brindisi, Brindisi, Italy|Dipartimento di scienze mediche e chirurgiche, Università di Catanzaro, Catanzaro, Italy|Ospedale Policlinico San Martino, Genova, Italy|Azienda Ospedaliera San Camillo-Forlanini, Roma, Italy|IRCCS Fondazione Policlinico Universitario Agostino Gemelli, Roma, Italy|Ospedale Cristo re, Roma, Italy","https://ClinicalTrials.gov/show/NCT04338945"
82,"NCT04408040","Use of Convalescent Plasma for COVID-19","Not yet recruiting","No Results Available","COVID","Biological: Convalescent Plasma","May 29, 2020","Northside Hospital, Atlanta, Georgia, United States","https://ClinicalTrials.gov/show/NCT04408040"
83,"NCT04351347","The Efficacy of Ivermectin and Nitazoxanide in COVID-19 Treatment","Recruiting","No Results Available","COVID","Drug: Ivermectin|Drug: Nitazoxanide with ivermectin|Drug: Ivermectin wth chloroquine","April 17, 2020","Tanta University, Tanta, Egypt","https://ClinicalTrials.gov/show/NCT04351347"
84,"NCT04346186","COVID-19: Investigation of Transmission and Immunisation Among Hospital Staff","Not yet recruiting","No Results Available","COVID","Diagnostic Test: IgM and IgG diagnostic kits to SARS-CoV-2|Diagnostic Test: Elisa-test for IgM and IgG to SARS-CoV-2","April 15, 2020","Herlev Hospital, Herlev, Region Hovedstaden, Denmark|Bispebjerg Hospital, København NV, Region Hovedstaden, Denmark|Psykiatrisk Center Ballerup, Ballerup, Denmark|Psykiatrisk Center København, Copenhagen, Denmark|Rigshospitalet, Copenhagen, Denmark|Psykiatrisk Center Amager, Copenhagen, Denmark|Psykiatrisk Center Stolpegaard, Gentofte, Denmark|Børne- og Ungdomspsykiatrisk Center, Glostrup, Denmark|Psykiatrisk Center Glostrup, Glostrup, Denmark|Nordsjaellands Hospital, Hillerød, Denmark|Psykiatrisk Center Nordsjælland, Hillerød, Denmark|Psykiatrisk Center Sankt Hans, Roskilde, Denmark|Bornholms Hospital, Rønne, Denmark|Psykiatrisk Center Bornholm, Rønne, Denmark","https://ClinicalTrials.gov/show/NCT04346186"
85,"NCT04394390","Do Vitamin D Levels Really Correlated With Disease Severity in COVID-19 Patients?","Enrolling by invitation","No Results Available","COVID","Dietary Supplement: vitamin d","May 19, 2020","Bursa City Hospital, Bursa, Dogankoy, Turkey","https://ClinicalTrials.gov/show/NCT04394390"
86,"NCT04447534","Zinc With Chloroquine/Hydroxychloroquine in Treatment of COVID-19","Recruiting","No Results Available","COVID","Drug: Chloroquine|Drug: zinc","June 25, 2020","Tanta university hospital, Tanta, Egypt","https://ClinicalTrials.gov/show/NCT04447534"
87,"NCT04386850","Oral 25-hydroxyvitamin D3 and COVID-19","Recruiting","No Results Available","COVID 19","Drug: Oral 25-Hydroxyvitamin D3","May 13, 2020","Tehran University of Medical Sciences, Tehran, Iran, Islamic Republic of","https://ClinicalTrials.gov/show/NCT04386850"
88,"NCT04399746","Ivermectin-Azithromycin-Cholecalciferol (IvAzCol) Combination Therapy for COVID-19","Recruiting","No Results Available","COVID","Drug: Ivermectin|Drug: Azithromycin|Drug: Cholecalciferol","May 22, 2020","Outpatient treatment, Mexico City, Mexico","https://ClinicalTrials.gov/show/NCT04399746"
89,"NCT04445467","An Adaptive Randomised Placebo Controlled Phase II Trial of Antivirals for COVID-19 Infection","Not yet recruiting","No Results Available","COVID","Drug: Favipiravir","June 24, 2020",,"https://ClinicalTrials.gov/show/NCT04445467"
90,"NCT04416061","The Role of a Private Hospital in Hong Kong Amid COVID-19 Pandemic","Active, not recruiting","No Results Available","COVID","Diagnostic Test: COVID 19 Diagnostic Test","June 4, 2020","Hong Kong Sanatorium & Hospital, Hong Kong, Hong Kong","https://ClinicalTrials.gov/show/NCT04416061"
91,"NCT04420260","Primary Prevention of Infection by COVID-19 in Health Providers","Not yet recruiting","No Results Available","COVID","Dietary Supplement: Group A: oropharygeal spray and immunostimulant|Dietary Supplement: Group B: Placebo oropharyngeal spray + Active principle immunostimulant|Dietary Supplement: Group C:Active principle oropharyngeal spray + Placebo taken PO|Dietary Supplement: Group D:Placebo oropharyngeal spray + Placebo taken PO","June 9, 2020",,"https://ClinicalTrials.gov/show/NCT04420260"
92,"NCT04407169","Prevalence of Critical Forms of CoVid-19 in Patients With Chronic Respiratory Disease","Not yet recruiting","No Results Available","COVID","Other: no intervention","May 29, 2020",,"https://ClinicalTrials.gov/show/NCT04407169"
93,"NCT04420676","Synbiotic Therapy of Gastrointestinal Symptoms During Covid-19 Infection","Not yet recruiting","No Results Available","COVID","Dietary Supplement: Omnibiotic AAD|Dietary Supplement: Placebo","June 9, 2020","Department of Internal Medicine, Medical University of Graz, Graz, Austria","https://ClinicalTrials.gov/show/NCT04420676"
