"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Other IDs","First Posted","Locations","URL"
11,"Pyrotinib Plus Fulvestrant in Patients With HR+/HER2+ Metastatic Breast Cancer (Pyrotinib+Fulvestrant )","Recruiting","No Results Available","Breast Cancer|HER2-positive Breast Cancer","Drug: Pyrotinib Plus Fulvestrant","Chinese Academy of Medical Sciences","NCC2018M-042","July 25, 2019","Cancer Institute and Hospital, Chinese Academy of Medical Sciences, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT04033172"
12,"Endostar in Combination With Chemotherapy in HER-2 Negative Advanced Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: Endostar|Drug: Chemotherapy","Zhejiang Cancer Hospital","ZJCHBC008","April 8, 2019","Zhejiang Cancer Hospital, Hangzhou, Zhejiang, China","https://ClinicalTrials.gov/show/NCT03907098"
13,"Paclitaxel Injection (Albumin-bound) for Neoadjuvant Treatment of Breast Cancer","Not yet recruiting","No Results Available","Breast Cancer Stage","Drug: nab-paclitaxel","Jilin University","CSPC-KAL-BC-12","May 22, 2019","the first hospital of Jilin University, Jilin, Changchun, China","https://ClinicalTrials.gov/show/NCT03959397"
14,"COX Inhibition and Biomarkers During Neoadjuvant Chemoendocrine Therapy for ER+, HER2- Stage I-III Breast Cancer","Active, not recruiting","No Results Available","Breast Cancer|Estrogen Receptor-positive Breast Cancer","Drug: Aspirin|Drug: Tamoxifen Pill|Drug: Doxorubicin|Drug: Cyclophosphamide|Drug: Paclitaxel","University of Virginia","21822","July 30, 2019","University of Virginia, Charlottesville, Virginia, United States","https://ClinicalTrials.gov/show/NCT04038489"
15,"Pembrolizumab And Tamoxifen Among Women With Advanced Hormone Receptor Positive Breast Cancer And Esr1 Mutation","Not yet recruiting","No Results Available","Breast Cancer Female","Drug: Pembrolizumab + Tamoxifen","Mediclinic Middle East","AN.MCME.CR.12|MISP # 55574","March 18, 2019","Mediclinic City Hospital, Dubai, United Arab Emirates","https://ClinicalTrials.gov/show/NCT03879174"
16,"99mTc-ADAPT6-based HER2 Imaging in Breast Cancer","Enrolling by invitation","No Results Available","Breast Cancer","Diagnostic Test: SPECT","Tomsk National Research Medical Center of the Russian Academy of Sciences|KTH Royal Institute of Technology|Uppsala University","99mTc-ADAPT6|99mTc-ADAPT6 [TomskNRMC]","June 19, 2019","TomskNRMC, Tomsk, Russian Federation","https://ClinicalTrials.gov/show/NCT03991260"
17,"Hypofractionated Radiation Therapy in Patients With Breast Cancer","Enrolling by invitation","No Results Available","Breast Cancer","Radiation: Hypofractionated Radiation therapy","Postgraduate Institute of Medical Education and Research","HRBC","August 30, 2019","Dr Budhi Singh Yadav, Chandigarh, N/A = Not Applicable, India","https://ClinicalTrials.gov/show/NCT04075058"
18,"The Effects of Short-term Preoperative Treatment With Hormonal Therapy on Gene Profiles in Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: Tamoxifen Citrate|Drug: Letrozole|Drug: Exemestane|Diagnostic Test: Blueprint|Diagnostic Test: Mammaprint","Johns Hopkins University|Agendia","IRB00130428","October 16, 2019","Johns Hopkins Bayview Hospital, Baltimore, Maryland, United States","https://ClinicalTrials.gov/show/NCT04129216"
19,"Study on Bisphosphonates Targeting Triple-negative Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: Zoledronic Acid","Shengjing Hospital|Liaoning Tumor Hospital & Institute|The People's Hospital of Liaoning Province","Shengjing_001","August 5, 2019","Shengjing Hospital of China Medical University, Shenyang, Liaoning, China|Liaoning Tumor Hospital & Institute, Shenyang, Liaoning, China|People's Hospital of Liaoning Province, Shenyang, Liaoning, China","https://ClinicalTrials.gov/show/NCT04045522"
20,"Breast Cancer and Its Relationship With the Microbiota","Recruiting","No Results Available","Breast Cancer",,"Universidad de Granada","PI-0538-2017","March 21, 2019","Unit of Mammary Pathology, General Surgery Service, University Hospital Campus de la Salud, Granada, Spain","https://ClinicalTrials.gov/show/NCT03885648"
21,"Randomized Clinical Trial Comparing Rehabilitation Robotic Versus Conventional After Breast Cancer Surgery","Not yet recruiting","No Results Available","Breast Cancer","Device: Armeo®Power|Other: Conventional rehabilitation protocol","Barretos Cancer Hospital","1563/2018","July 18, 2019",,"https://ClinicalTrials.gov/show/NCT04025112"
22,"Combination Neoadjuvant Chemotherapy With or Without Apatinib for HER2 Negative Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: Apatinib|Drug: Paclitaxel|Drug: Cisplatin|Procedure: Surgery","RenJi Hospital","SHPD005","June 11, 2019","Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, Shanghai, China","https://ClinicalTrials.gov/show/NCT03982485"
23,"Survival Benefits of Statins in Breast Cancer Patients","Recruiting","No Results Available","Breast Cancer Female","Drug: statins|Behavioral: Dietary intervention group (control group)","Peking Union Medical College Hospital","PUMCH-SBSBC","June 3, 2019","PUMCH, Beijing, Beijing, China","https://ClinicalTrials.gov/show/NCT03971019"
24,"Personalised Risk-based Breast Cancer Prevention and Screening","Recruiting","No Results Available","Breast Cancer","Diagnostic Test: Mammography outside official screening","Tartu University Hospital|University of Tartu|North Estonia Medical Centre","estPerMed 1, Breast","June 18, 2019","Tartu University Hospital, Tartu, Tartumaa, Estonia|The North Estonia Medical Centre, Tallinn, Estonia","https://ClinicalTrials.gov/show/NCT03989258"
25,"Clinical Application of CTC in Operable Breast Cancer Patients","Recruiting","No Results Available","Breast Cancer","Procedure: Neoadjuvant chemotherapy before surgery|Procedure: Surgery followed by adjuvant chemotherapy","Peking Union Medical College Hospital","PUMCH-BREAST-CTC","February 15, 2019","Peking Union Medical College Hospital, Beijing, China","https://ClinicalTrials.gov/show/NCT03842176"
26,"TAC Chemotherapy and Pembrolizumab Plus Interleukin-12 Gene Therapy and L-NMMA in Triple Negative Breast Cancer","Not yet recruiting","No Results Available","Triple Negative Breast Cancer","Drug: Docetaxel|Drug: Doxorubicin|Drug: Cyclophosphamide|Drug: Pembrolizumab|Drug: IL-12 gene therapy|Drug: L-NMMA","The Methodist Hospital System|Merck Sharp & Dohme Corp.","Merck IIS","September 19, 2019","Houston Methodist Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04095689"
27,"Nab-paclitaxel Dose Schedual for HER-2 Negative Advanced Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: nab-paclitaxel regimen1|Drug: nab-paclitaxel regimen2","Beijing Cancer Hospital","CABC012","December 10, 2019","BeijingCancerH, Haidian, Beijing, China","https://ClinicalTrials.gov/show/NCT04192331"
28,"NOSTRA-Feasibility Study: A Study Looking at Ultrasound Guided Biopsies for Breast Cancer","Recruiting","No Results Available","Breast Cancer","Procedure: Tumour bed core biopsy","University of Birmingham|Roche Pharma AG|Cancer Research UK","RG_16-108","October 8, 2019","Bailsdon Hospital, Basildon, Essex, United Kingdom|Blackpool Teaching Hospitals NHS Trust, Blackpool, United Kingdom|University Hospital of Llandough, Cardiff, United Kingdom|Cheltenham General hospital, Cheltenham, United Kingdom|Borders General Hospital, Melrose, United Kingdom|Royal Victoria Infirmary, Newcastle Upon Tyne, United Kingdom|Nottingham City Hospital, Nottingham, United Kingdom|Peterborough City Hospital, Peterborough, United Kingdom|Poole Hospital, Poole, United Kingdom|Southampton General Hospital, Southampton, United Kingdom|Arrowe Park Hospital, Upton, United Kingdom","https://ClinicalTrials.gov/show/NCT04118192"
29,"Comorbidities and Health Care Services Utilisation Among Long-term Breast Cancer Survivors","Completed","No Results Available","Breast Cancer",,"Parc de Salut Mar|Fondo de Investigacion Sanitaria|European Regional Development Fund|Red de Investigación en Servicios de Salud y Enfermedades Crónicas (REDISSEC)","SURBCAN Project","February 20, 2019",,"https://ClinicalTrials.gov/show/NCT03846999"
30,"Study of ISB 1302 (CD3 Bispecific Ab) in HER2-positive Metastatic Breast Cancer","Recruiting","No Results Available","Breast Cancer","Biological: ISB 1302 250 ng/kg|Biological: ISB 1302 325 ng/kg|Biological: ISB 1302 325 ng/kg-D1;425 ng/kg -D8,D15,D22|Biological: ISB 1302 325 ng/kg-D1;550 ng/kg -D8,D15,D22|Biological: ISB 1302 325ng/kgD1;550 ng/kg D8;700 ng/kgD15,22|Biological: ISB 1302 325ng/kg D1;550 ng/kg D8;900 ng/kg D15,22|Biological: ISB 1302 escalating doses,1200 ng/kg D15,22|Biological: ISB 1302 at the MTD and/or RP2D dose","Ichnos Sciences SA|Glenmark Pharmaceuticals S.A.","ISB 1302-103|IND Number 131316","June 12, 2019","Glenmark Investigational Site 1, Gilbert, Arizona, United States|Glenmark Investigational Site 5, Los Angeles, California, United States|Glenmark Investigational Site 4, Louisville, Kentucky, United States|Glenmark Investigational Site 2, Detroit, Michigan, United States|Glenmark Investigational Site 3, Philadelphia, Pennsylvania, United States","https://ClinicalTrials.gov/show/NCT03983395"
31,"Breast Cancer Liquid Biopsy Stratification","Active, not recruiting","No Results Available","Breast Cancer","Genetic: Nucleosome positioning","Medical University of Graz","BreastctDNA01","June 20, 2019","Medical University of Graz, Graz, Austria","https://ClinicalTrials.gov/show/NCT03992521"
32,"Pegylated Liposomal Doxorubicin or Epirubicin in Neoadjuvant or Adjuvant Chemotherapy for Breast Cancer.","Not yet recruiting","No Results Available","Breast Cancer",,"Tianjin Medical University Cancer Institute and Hospital|CSPC Ouyi Pharmaceutical Co., Ltd.","CSPC-DMS-BC-13","June 12, 2019","Jin Zhang, Tianjin, China","https://ClinicalTrials.gov/show/NCT03983096"
33,"Evaluating and Following Breast Cancer Patients in a Better Way","Not yet recruiting","No Results Available","Breast Cancer Female","Diagnostic Test: clinical and physical assessment","Centro Hospitalar Lisboa Ocidental|University of Lisbon","CentroHLO_EFBreastCancer","February 5, 2019",,"https://ClinicalTrials.gov/show/NCT03831308"
34,"Evaluation of the Effect of Metformin on Metastatic Breast Cancer as Adjuvant Treatment","Completed","No Results Available","Metastatic Breast Cancer","Drug: Metformin plus chemotherapy|Drug: Chemotherapy","Hager salah el din|Beni-Suef University","FWA00015574/6-01-2019/korany","October 29, 2019","Beni-Seuf University Hospital, Banī Suwayf, Egypt","https://ClinicalTrials.gov/show/NCT04143282"
35,"Effect of a Program of Physical Activity and Nutritional Therapeutic Education in Breast Cancer Patients","Completed","No Results Available","Breast Cancer","Other: APAD","Institut du Cancer de Montpellier - Val d'Aurelle","VA2012/39|2012-A01648-35","September 30, 2019","Institut Sainte Catherine, Avignon, France|Centre Oscar Lambret, Lille, France|Centre Léon Bérard, Lyon, France|CH Ambroise Paré, Marseille, France|ICM, Montpellier, France|CH Montélimar, Montélimar, France|Centre Eugène Marquis, Rennes, France|Institut de Cancéologie de l'Ouest, Saint-Herblain, France","https://ClinicalTrials.gov/show/NCT04109326"
36,"A Window-of-opportunity Study of Pelareorep in Early Breast Cancer","Recruiting","No Results Available","Breast Cancer","Biological: Pelareorep|Drug: Letrozole|Drug: Atezolizumab|Drug: Trastuzumab","Oncolytics Biotech|SOLTI Breast Cancer Research Group","REO 027","September 25, 2019","ICO Badalona, Badalona, Spain|Hospital Clínic de Barcelona, Barcelona, Spain|Hospital Quirón Dexeus, Barcelona, Spain|Hospital Moisés Broggi, Esplugues De Llobregat, Spain|Hospital Fuenlabrada, Madrid, Spain|Hospital La Paz, Madrid, Spain|Hospital Puerta de Hierro de Majadahonda, Madrid, Spain|Hospital Universitario 12 de Octubre, Madrid, Spain|Hospital Universitario Fundación Jiménez Díaz, Madrid, Spain|Hospital Clínico Universitario Virgen Arrixaca, Murcia, Spain|Hospital Universitario Virgen Macarena, Sevilla, Spain|Consorci Sanitari de Terrassa, Terrassa, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Instituto Valenciano de Oncología, Valencia, Spain|Hospital Clínico Lozano Blesa, Zaragoza, Spain","https://ClinicalTrials.gov/show/NCT04102618"
37,"Long-term Effects of Breast Cancer Treatment","Not yet recruiting","No Results Available","Breast Cancer",,"Cancer Registry of Norway|Extrastiftelsen","2019/FO244363","March 15, 2019",,"https://ClinicalTrials.gov/show/NCT03877029"
38,"Next-Generation Sequencing-based Germline and Somatic Genetic Testing in Triple-negative Breast Cancer","Recruiting","No Results Available","Triple Negative Breast Cancer",,"European Institute of Oncology","IEO 0761/","April 19, 2019","Istituto Europeo di Oncologia, Milan, Italy","https://ClinicalTrials.gov/show/NCT03920488"
39,"Automated Method for Breast Cancer Detection","Recruiting","No Results Available","Breast Cancer Diagnosis","Procedure: Fine needle aspiration|Device: Cancer Detection cartridge","Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins","J18138|IRB00172441","March 5, 2019","Johns Hopkins Hospital Outpatient Center, Baltimore, Maryland, United States|Johns Hopkins Medical Imaging at Green spring Station, Lutherville-Timonium, Maryland, United States","https://ClinicalTrials.gov/show/NCT03863522"
40,"Using Imaging Data and Genomic Data to Predict Metastasis of Breast Cancer After Treatment","Recruiting","No Results Available","Breast Cancer",,"Chinese University of Hong Kong|Department of Electronic and computer engineering, HKUST|Department of clinical oncology, CUHK|Department of Anatomical and Cellular Pathology,PWH|Department of Surgery, North District Hospital","2019.089","May 8, 2019","The Chinese University of Hong Kong, Prince of Wale Hospital, Hong Kong, Shatin, Hong Kong","https://ClinicalTrials.gov/show/NCT03941639"
41,"TALAVE: Induction Talazoparib Followed by Combination of Talazoparib and Avelumab in Advanced Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: Talazoparib|Drug: Avelumab","Georgetown University|Pfizer","STUDY00000023","May 28, 2019","MedStar Georgetown University Hospital, Washington, District of Columbia, United States|Levine Cancer Institute, Charlotte, North Carolina, United States","https://ClinicalTrials.gov/show/NCT03964532"
42,"Study on the Progress of Breast Cancer Cases in Males and the Assessment of Relapse Risk","Recruiting","No Results Available","Breast Cancer, Male",,"Spanish Breast Cancer Research Group","GEICAM/2016-04","January 11, 2019","Complejo Hospitalario Universitario de Ferrol, Ferrol, A Coruña, Spain|Hospital Virgen de los Lirios, Alcoy, Alicante, Spain|Hospital Universitario San Agustín, Avilés, Asturias, Spain|Hospital General de Granollers, Granollers, Barcelona, Spain|Instituto Catalán de Oncología de L'Hospitalet, L'Hospitalet De Llobregat, Barcelona, Spain|Consorci Corporació Sànitari Parc Taulí, Sabadell, Barcelona, Spain|Consorci Sanitari de Terrassa, Terrassa, Barcelona, Spain|Hospital Universitario Basurto, Bilbao, Bizcaia, Spain|Consorcio Hospitalario Provincial de Castellón, Castellón De La Plana, Castellón, Spain|Hospital General La Mancha Centro, Alcázar De San Juan, Ciudad Real, Spain|Hospital Universitario Donostia, Donostia-San Sebastián, Guipúzcoa, Spain|Onkologikoa, Donostia-San Sebastián, Guipúzcoa, Spain|Hospital Universitario de Fuenlabrada, Fuenlabrada, Madrid, Spain|Hospital Universitario de Getafe, Getafe, Madrid, Spain|Hospital Universitario Severo Ochoa, Leganés, Madrid, Spain|Hospital Universitario de Móstoles, Móstoles, Madrid, Spain|Hospital Universitario Quirónsalud Madrid, Pozuelo De Alarcón, Madrid, Spain|Hospital Clínico Universitario Virgen de la Arrixaca, El Palmar, Murcia, Spain|Clínica Universidad de Navarra, Pamplona, Navarra, Spain|Hospital Álvaro Cunqueiro, Vigo, Pontevedra, Spain|Hospital de Tortosa Verge de la Cinta, Tortosa, Tarragona, Spain|Complejo Hospitalario Universitario A Coruña, A Coruña, Spain|Hospital del Mar, Barcelona, Spain|Hospital Universitari Dexeus-Grupo Quirónsalud-Instituto Oncológico Dr. Rosell, Barcelona, Spain|Hospital Universitari Vall D´Hebrón, Barcelona, Spain|IDOC Centre Médic, Barcelona, Spain|Hospital Virgen de la Luz, Cuenca, Spain|Instituto Catalán de Oncología de Girona, Girona, Spain|Hospital Universitario Virgen de las Nieves, Granada, Spain|Hospital Juan Ramón Jiménez, Huelva, Spain|Complejo Hospitalario de Jaén, Jaén, Spain|Complejo Hospitalario Universitario Insular-Materno Infantil, Las Palmas De Gran Canaria, Spain|Hospital Universitario Lucus Augusti, Lugo, Spain|GenesisCare Madrid Hospital La Milagrosa, Madrid, Spain|Hospital Central de la Defensa Gómez Ulla, Madrid, Spain|Hospital Quirón Madrid, Madrid, Spain|Hospital Universitario Infanta Leonor, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Universitario La Zarzuela, Madrid, Spain|Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital General Universitario Morales Meseguer, Murcia, Spain|Hospital Regional Universitario, Málaga, Spain|Hospital Universitari Son Espases, Palma De Mallorca, Spain|Hospital Universitario Nuestra Señora De Candelaria, Santa Cruz De Tenerife, Spain|Hospital de Sant Pau i Santa Tecla, Tarragona, Spain|Hospital Virgen de la Salud, Toledo, Spain|Fundación Instituto Valenciano de Oncología, Valencia, Spain|Hospital Arnau de Vilanova, Valencia, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital General Universitario de Valencia, Valencia, Spain|Hospital Universitario La Fe, Valencia, Spain|Hospital Universitario Río Hortega, Valladolid, Spain|Hospital Clínico Universitario Lozano Blesa, Zaragoza, Spain|Hospital Universitario de Araba, Vitoria-Gasteiz, Álava, Spain","https://ClinicalTrials.gov/show/NCT03800355"
43,"Improving Pre-operative Systemic Therapy for Human Epidermal Growth Factor Receptor 2 (HER2) Amplified Breast Cancer","Recruiting","No Results Available","Early-stage Breast Cancer|HER2-positive Breast Cancer","Drug: Docetaxel|Drug: Carboplatin|Drug: Trastuzumab|Drug: Pertuzumab|Drug: Epirubicin|Drug: Cyclophosphamide|Drug: Atezolizumab|Drug: Trastuzumab emtansine","Renske Altena|Karolinska University Hospital","PREDIX II HER2|2018-004457-24","March 28, 2019","Sahlgrenska universitetssjukhuset, Göteborg, Sweden|Skånes universitetssjukhus, Malmö, Sweden|Karolinska universitetssjukhuset, Stockholm, Sweden|Länssjukhuset Sundsvall, Sundsvall, Sweden|Norrlands universitetssjukhus, Umeå, Sweden|Örebro universitetssjukhus, Örebro, Sweden","https://ClinicalTrials.gov/show/NCT03894007"
44,"Safety, Tolerability, and Pharmacokinetics of Proxalutamide Therapy in Women With Metastatic Breast Cancer","Active, not recruiting","No Results Available","Metastatic Breast Cancer","Drug: Proxalutamide","Suzhou Kintor Pharmaceutical Inc,|Beijing Cancer Hospital|Tianjin Medical University Cancer Institute and Hospital|Sun Yat-sen University|Ruijin Hospital|The First Affiliated Hospital with Nanjing Medical University|Hebei Medical University Fourth Hospital|Hunan Cancer Hospital","GT0918-CN-2001","September 26, 2019","Beijing Cancer Hospital, Beijing, Beijing, China|Sun-Yat-sen University Cancer center, Guangzhou, Fujian, China|The Fourth Hospital of Hebei Medical University, Shijiazhuang, Hebei, China|Hunan Cancer Hospital, Changsha, Hunan, China|Jiangsu Province Hospital, Nanjing, Jiangsu, China|Ruijin Hospital, Shanghai Jiaotong University School of Medicine, Shanghai, Shanghai, China|Tianjin Medical University Cancer Institute and Hospital, Tianjin, Tianjin, China","https://ClinicalTrials.gov/show/NCT04103853"
45,"KN035 in Combination With Trastuzumab and Docetaxel in HER2-positive Breast Cancer","Not yet recruiting","No Results Available","HER2-positive Breast Cancer","Biological: KN035|Biological: Trastuzumab|Drug: Docetaxel","Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University","KN035-TH-HER2","July 26, 2019",,"https://ClinicalTrials.gov/show/NCT04034823"
46,"Clinical Trial of ARV-471 in Patients With ER+/HER2- Locally Advanced or Metastatic Breast Cancer","Recruiting","No Results Available","Breast Cancer","Drug: ARV-471","Arvinas Inc","ARV-471-mBC-101","August 28, 2019","UCLA Medical Center, Santa Monica, California, United States|Norwalk Hospital, Norwalk, Connecticut, United States|Moffitt Cancer Center, Tampa, Florida, United States|Sarah Cannon, Nashville, Tennessee, United States","https://ClinicalTrials.gov/show/NCT04072952"
47,"Adjuvant Radiotherapy on Circulating Cells in Breast Cancer Patients","Recruiting","No Results Available","Breast Cancer","Other: blood samples collection","Clinica Luganese Moncucco|Curzio Rüegg, MD, Head of Department, University of Fribourg|Swiss National Science Foundation|Tsoutsou Pelagia MD, Head of Radation Therapy Department","CirculatingCellsBreast-RT","June 28, 2019","Clinica Luganese Moncucco, Lugano, Ticino, Switzerland","https://ClinicalTrials.gov/show/NCT04002570"
48,"Evaluating a Digital Tool for Supporting Breast Cancer Patients","Not yet recruiting","No Results Available","Breast Cancer","Device: OWise","Royal Marsden NHS Foundation Trust|Innovate UK","CCR4965","March 7, 2019",,"https://ClinicalTrials.gov/show/NCT03866655"
49,"TCHP Versus EC -THP as Neoadjuvant Treatment for HER2-Positive Breast Cancer","Recruiting","No Results Available","HER2-Positive Breast Cancer","Drug: TCHP","Guangdong Provincial People's Hospital","2018396H","September 19, 2019","Guangdong General Hospital, Guangzhou, China","https://ClinicalTrials.gov/show/NCT04094896"
50,"Study of the Imaging Agent 18F-Var3 in Patients With Breast Cancer","Recruiting","No Results Available","Breast Cancer","Diagnostic Test: F-Var3 PET/CT|Other: Blood draw","Memorial Sloan Kettering Cancer Center","19-147","August 13, 2019","Memorial Sloan-Kettering Cancer Center, New York, New York, United States","https://ClinicalTrials.gov/show/NCT04054986"
51,"Infrared Imaging for Breast Cancer Modeling","Active, not recruiting","No Results Available","Breast Cancer","Procedure: IR Imaging|Procedure: 3D Scanning","University of Texas Southwestern Medical Center","STU-2018-0370","June 18, 2019","Parkland Memorial Hospital, Dallas, Texas, United States","https://ClinicalTrials.gov/show/NCT03990012"
52,"Clinico-biological Data Collection Study of Metastatic Breast Cancer","Recruiting","No Results Available","Breast Cancer","Procedure: Metastasis biopsy|Biological: Biomarkers blood, urine and microbiota samples|Behavioral: Patient Reported Outcome (PRO)","Institut Cancerologie de l'Ouest|European Regional Development Fund|AstraZeneca|Novartis|Eli Lilly and Company","ICO-N-2017-12","May 21, 2019","Institut de Cacerologie de l'ouest - site Paul Papin, Angers, France|Institut de cancerologie de l'Ouest, Saint Herblain, France","https://ClinicalTrials.gov/show/NCT03958136"
53,"Analysis of Circulating Epithelial Tumor Cells in Peripheral Blood in Patients With Primary Non-metastatic Breast Cancer Under Adjuvant Radiotherapy","Completed","No Results Available","Breast Cancer Female","Radiation: radiation","University of Jena","CETC 001","May 2, 2019","Department of Radiooncology, Jena, Jena, Germany","https://ClinicalTrials.gov/show/NCT03935802"
