role,name,affiliation,address,trial_id,processed_name,first_name
Principal Investigator,"Weichuan Yu, Ph.D","Department of Electronic and computer engineering, HKUST",,NCT03941639,weichuan yu,weichuan
Principal Investigator,"Renske Altena, MD, PhD",Karolinska University Hospital,,NCT03894007,renske altena,renske
Study Director,"Jonas Bergh, MD, PhD",Karolinska Institutet,,NCT03894007,jonas bergh,jonas
Study Director,Ke Chen,"Suzhou Kintor Pharmaceuticals,inc",,NCT04103853,ke chen,ke
Principal Investigator,"Alessandra Franzetti Pellanda, MD",Clinica Luganese Moncucco,,NCT04002570,alessandra franzetti pellanda,alessandra
Principal Investigator,"Olga Husson, PhD","Institute of Cancer Research, United Kingdom",,NCT03866655,olga husson,olga
Principal Investigator,"Christopher Riedle, MD, PhD",Memorial Sloan Kettering Cancer Center,,NCT04054986,christopher riedle,christopher
Principal Investigator,"Jody Hayes, MD",UT Southwestern Medical Center,,NCT03990012,jody hayes,jody
Principal Investigator,"Mario CAMPONE, MD, PhD",Institut de Cancerologie de l'Ouest,,NCT03958136,mario campone,mario
Study Director,Bristol-Myers Squibb,Bristol-Myers Squibb,,NCT04109066,bristol-myers squibb,bristol-myers
Study Chair,"Ching-Hung Lin, Ph.D",National Taiwan University Hospital,,NCT04011085,ching-hung lin,ching-hung
Study Chair,"Liang-Chih Liu, Ph.D",China Medical University Hospital,,NCT04011085,liang-chih liu,liang-chih
Study Chair,"Ming-Feng Hou, M.D.",Kaohsiung Medical University,,NCT04011085,ming-feng hou,ming-feng
Principal Investigator,"Anne-Sophie HAMY-PETIT, MD",Institut Curie,,NCT03884413,anne-sophie hamy-petit,anne-sophie
Principal Investigator,"Heather McArthur, MD, MPH",Cedars-Sinai,,NCT03872505,heather mcarthur,heather
Principal Investigator,"Joanna D Davies, PhD",San Diego Biomedical Research Institute,,NCT04208074,joanna d davies,joanna
Study Director,Novartis Pharmaceuticals,Novartis Pharmaceuticals,,NCT03822468,novartis pharmaceuticals,novartis
Principal Investigator,"Ivana L Ribeiro, PhD",Catholic University of Maule,,NCT04116281,ivana l ribeiro,ivana
Study Director,"Adam Ostrowski, MD Medical Director",Immunicom Inc,,NCT04004910,adam ostrowski,adam
Principal Investigator,"ZhiMin Shao, MD, PhD",Fudan University,,NCT04193059,zhimin shao,zhimin
Principal Investigator,"Jami Fukui, MD",University of Hawaii Cancer Research Center,,NCT04013568,jami fukui,jami
Principal Investigator,"Woo Kyung Moon, MD PhD",Professor,,NCT03835897,woo kyung moon,woo
Study Chair,"Hans Wildiers, prof. dr.",UZ Gasthuisberg,,NCT03956654,hans wildiers,hans
Principal Investigator,"ATTIER-ZMUDKA Dr Jadwiga, PI",Saint Quentin Hospital,,NCT04038606,attier-zmudka dr jadwiga,attier-zmudka
Principal Investigator,"Javier Cortés, PhD",MedSIR,,NCT03795012,javier cortés,javier
Principal Investigator,"Hans Tesch, Prof. Dr. med.",Onkologie Bethanien Frankfurt,,NCT04030728,hans tesch,hans
Principal Investigator,"Manfred Welslau, Dr. med.",Onkologie Aschaffenburg,,NCT04030728,manfred welslau,manfred
Principal Investigator,Sarah Tevis,"University of Colorado, Denver",,NCT03995082,sarah tevis,sarah
Study Chair,"Lorenzo Livi, MD,Prof","University of Florence, Florence, Italy",,NCT04134598,lorenzo livi,lorenzo
Study Chair,"Philip M Poortmans, MD,PhD,Prof","Institut Curie, Paris, France",,NCT04134598,philip m poortmans,philip
Principal Investigator,"Icro Meattini, MD,Prof","University of Florence, Florence, Italy",,NCT04134598,icro meattini,icro
Principal Investigator,"Silvia Formenti, M.D.",Weill Cornell Medicine - New York Presbyterian Hospital,,NCT03804944,silvia formenti,silvia
Principal Investigator,"Gal-Yam, MD",Sheba Medical Center,,NCT04079270,gal-yam,gal-yam
Principal Investigator,"Ritse Mann, PhD",Radboud University,,NCT04107636,ritse mann,ritse
Principal Investigator,"Isabelle THOMASSIN-NAGGARA, PU-PH",Assistance Publique - Hôpitaux de Paris,,NCT04020523,isabelle thomassin-naggara,isabelle
Principal Investigator,"Carlos A Parra-Lopez, MD PhD",Full Professor School of Medicine. Microbiology Department.,,NCT04105582,carlos a parra-lopez,carlos
Study Chair,"Fengxi Su, MD",Sun Yat-sen Menorial Hospital,,NCT04076111,fengxi su,fengxi
Study Chair,"Qiang liu, MD",Sun Yat-sen Menorial Hospital,,NCT04076111,qiang liu,qiang
Study Director,"Musheng Zeng, MD",Sun Yat-sen University,,NCT04076111,musheng zeng,musheng
Study Director,"Qianjun Chen, MD",Guuangdong Province Hospital of Chinese Medicine,,NCT04076111,qianjun chen,qianjun
Principal Investigator,"Nur Aishah Taib, MBBS",University of Malaya,,NCT03847623,nur aishah taib,nur
Principal Investigator,"JEEHYUN KIM, MD,PhD",Seoul National University Bundang Hospital,,NCT04061863,jeehyun kim,jeehyun
Principal Investigator,"William Carson, MD",Ohio State Comprehensive Cancer Center,,NCT04022616,william carson,william
Principal Investigator,"Xavier DURANDO, Pr",Centre Jean Perrin,,NCT04068623,xavier durando,xavier
Principal Investigator,"Adamantia Nikolaidi, MD","Oncology Department, MITERA Hospital",,NCT04033965,adamantia nikolaidi,adamantia
Study Chair,Peng Yuan,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT04194684,peng yuan,peng
Study Chair,David Cescon,"University Health Network, PMH, Toronto ON",,NCT04176848,david cescon,david
Study Chair,Andrew Robinson,"Cancer Centre of Southeastern Ontario at Kingston, ON",,NCT04176848,andrew robinson,andrew
Principal Investigator,"Tae H Kim, Ph.D","National Cancer Center, Korea",,NCT04203849,tae h kim,tae
Principal Investigator,"Jinhua Zhao, PhD",Shanghai General Hospital Nuclear Medicine Dept,,NCT04040686,jinhua zhao,jinhua
Study Director,Novartis Pharmaceuticals,Novartis Pharmaceuticals,,NCT03839823,novartis pharmaceuticals,novartis
Principal Investigator,"Desiree van den Bongard, MD PhD",UMC Utrecht,,NCT03863301,desiree van den bongard,desiree
Study Director,"Mieke Ptaszynski, MD",Zeno Alpha Inc.,,NCT04176757,mieke ptaszynski,mieke
Principal Investigator,"Asal Rahimi, MD",UT Southwestern Medical Center,,NCT04040569,asal rahimi,asal
Study Director,"Maged W Helmy, PhD","Professor of Pharmacology, Faculty of pharmacy, Damanhour University",,NCT04166253,maged w helmy,maged
Study Director,"Gehan A Khedr, PhD","Assistant Professor of Oncology, Faculty of Medicine, Alexandria University",,NCT04166253,gehan a khedr,gehan
Study Director,"Noha A El Bassiouny, PhD","Lecturer of Clinical Pharmacy, Faculty of Pharmacy, Damanhour University",,NCT04166253,noha a el bassiouny,noha
Principal Investigator,"Mostafa A Mahmoud, PharmD",Clinical Pharmacy Specialist,,NCT04166253,mostafa a mahmoud,mostafa
Principal Investigator,"Nancy DeMore, MD, FACS",Medical University of South Carolina,,NCT03980509,nancy demore,nancy
Principal Investigator,Qifeng Yang,"Qilu Hospital, Shandong University",,NCT03857932,qifeng yang,qifeng
Principal Investigator,"Carla Prado, PhD",University of Alberta,,NCT03795493,carla prado,carla
Principal Investigator,"Richard Thompson, PhD",University of Alberta,,NCT03795493,richard thompson,richard
Principal Investigator,"Folke Sjöberg, MD, Prof",CTC Clinical Trial Consultants,,NCT04080024,folke sjöberg,folke
Principal Investigator,"Dan Curiac, MD, PhD",Gothia Forum Clinical Trial Center,,NCT04080024,dan curiac,dan
Study Director,"Ahmed T. Awad, MD","professor of surgical oncology,Alexandria university",,NCT03900299,ahmed t. awad,ahmed
Principal Investigator,"Mostafa M. Elsayed, Msc","Surgical oncology registrar,Alexandria university",,NCT03900299,mostafa m. elsayed,mostafa
Study Director,"Elaine Caldeira de Oliveira Guirro, PhD",University of São Paulo,,NCT04076033,elaine caldeira de oliveira guirro,elaine
Principal Investigator,"Caigang Liu, M.D., Ph.D.",Shengjing Hospital,,NCT04137653,caigang liu,caigang
Principal Investigator,"John Mackey, MD",Cross Cancer Institute,,NCT03831178,john mackey,john
Principal Investigator,"Karen Wonders, PhD, FACSM",Maple Tree Cancer Alliance,,NCT04106609,karen wonders,karen
Principal Investigator,"Raffaele LONGO, Dr",CHR Metz-Thionville,,NCT03898453,raffaele longo,raffaele
Principal Investigator,Anne Armstrong,The Christie NHS Foundation Trust,,NCT04188119,anne armstrong,anne
Study Chair,"Elisabetta Munzone, MD",European Institute of Oncology,,NCT03820830,elisabetta munzone,elisabetta
Principal Investigator,"Seock-Ah Im, MD PhD",Seoul National University Hospital,,NCT04098640,seock-ah im,seock-ah
Study Director,Wei Zhao,"Shiyao Group Ouyi Pharmaceutical Co., Ltd.",,NCT04060290,wei zhao,wei
Principal Investigator,"Biyun Wang, Professor",Fudan University,,NCT03894410,biyun wang,biyun
Principal Investigator,"Leigh Leibel, MSc",Columbia University,,NCT04042870,leigh leibel,leigh
Principal Investigator,"Neill Patani, MD",University College London Hospitals,,NCT03880097,neill patani,neill
Principal Investigator,"Jayant Vaidya, MD",The Whittington Hospital,,NCT03880097,jayant vaidya,jayant
Principal Investigator,"Michael Douek, MD",Guy's and St Thomas' NHS Foundation Trust,,NCT03880097,michael douek,michael
Principal Investigator,"Amna Sherri, MD",Royal Free London NHS Foundation Trust,,NCT03880097,amna sherri,amna
Principal Investigator,"Laura Johnson, MD",Barts & The London NHS Trust,,NCT03880097,laura johnson,laura
Principal Investigator,"Robert Price, MD",King's College Hospital NHS Trust,,NCT03880097,robert price,robert
Principal Investigator,"Fiona Gilbert, FRCR",University of Cambridge,,NCT03940092,fiona gilbert,fiona
Principal Investigator,Caigang Liu,Shengjing Hospital,,NCT04047758,caigang liu,caigang
Principal Investigator,"Stephen Chia, MD",BCCA,,NCT03790813,stephen chia,stephen
Principal Investigator,Qiao I Li,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT03923179,qiao i li,qiao
Principal Investigator,Binghe Xu,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT03923179,binghe xu,binghe
Principal Investigator,"Budhi S Yadav, MD",Postgraduate Institute of Medical Education & Research,,NCT04072718,budhi s yadav,budhi
Principal Investigator,"Joanna J Arch, PhD","University of Colorado, Boulder",,NCT03980093,joanna j arch,joanna
Principal Investigator,"Paul K Marcom, MD",Duke University,,NCT04197999,paul k marcom,paul
Principal Investigator,"Dorothy A Sipkins, MD, PhD",Duke University,,NCT04197999,dorothy a sipkins,dorothy
Principal Investigator,"Umut Bahcacı, MSc","Florence Nightingale Hospital, Istanbul",,NCT04163692,umut bahcacı,umut
Principal Investigator,"Zeynep Erdoğan İyigün, Asst. Prof.","Florence Nightingale Hospital, Istanbul",,NCT04163692,zeynep erdoğan i̇yigün,zeynep
Principal Investigator,"Songul Atasavun Uysal, Asst. Prof.",Hacettepe University,,NCT04163692,songul atasavun uysal,songul
Study Chair,"Çetin Ordu, Asst. Prof.","Florence Nightingale Hospital, Istanbul",,NCT04163692,çetin ordu,çetin
Study Chair,"Vahit Özmen, Prof.","Florence Nightingale Hospital, Istanbul",,NCT04163692,vahit özmen,vahit
Principal Investigator,"Jiabao He, PhD",University of Aberdeen,,NCT03949946,jiabao he,jiabao
Principal Investigator,"Jenny Chang, M.D.",Houston Methodist Cancer Center,,NCT03820141,jenny chang,jenny
Principal Investigator,"Olivier Rigal, MD",Centre Henri Becquerel,,NCT03946579,olivier rigal,olivier
Principal Investigator,Yali Xu,,,NCT04145960,yali xu,yali
Principal Investigator,Huiping Li,Beijing Cancer Hospital,,NCT03792529,huiping li,huiping
Principal Investigator,Anne Armstrong,The Christie NHS Foundation Trust,,NCT03794596,anne armstrong,anne
Study Director,"Mahmoud M El-Mas, PhD","Professor in Pharmacology, Faculty of Pharmacy, Alexandria University",,NCT04170465,mahmoud m el-mas,mahmoud
Study Director,"Yasser M El-Kerm, PhD","Professor in Clinical Oncology, Medical Research Institute,Alexandria University",,NCT04170465,yasser m el-kerm,yasser
Study Chair,"Maged W Helmy, PhD","Professor in Pharmacology, Faculty of pharmacy, Damanhour University",,NCT04170465,maged w helmy,maged
Study Chair,"Amira B Kassem, PhD","Lecturer in Clinical Pharmacy, Faculty of Pharmacy, Damanhour University",,NCT04170465,amira b kassem,amira
Study Chair,"Noha A El-Bassiouny, PhD","Lecturer in Clinical Pharmacy, Faculty of Pharmacy, Damanhour University",,NCT04170465,noha a el-bassiouny,noha
Principal Investigator,"Manar A Serageldin, Bachelor","Teaching assistant in Pharmacology, Faculty of Pharmacy, Alexandria University",,NCT04170465,manar a serageldin,manar
Principal Investigator,"Caigang Liu, M.D., Ph.D.",Shengjing Hospital,,NCT04136782,caigang liu,caigang
Principal Investigator,Qiao Li,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT03923166,qiao li,qiao
Principal Investigator,Binghe Xu,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT03923166,binghe xu,binghe
Principal Investigator,"Anthony Yu, MD",Memorial Sloan Kettering Cancer Center,,NCT03983382,anthony yu,anthony
Principal Investigator,"Peter Schmid, MD PhD FRCP",Queen Mary University of London,,NCT03841747,peter schmid,peter
Principal Investigator,Aleix Prat,Hospital Clínic de Barcelona,,NCT03802604,aleix prat,aleix
Principal Investigator,"Jinli Ma, MD, PhD",Fudan University,,NCT03856372,jinli ma,jinli
Principal Investigator,"Ursa Brown-Glaberman, MD",University of New Mexico Cancer Center,,NCT03983538,ursa brown-glaberman,ursa
Principal Investigator,Zhi-Ming Shao,Fudan University,,NCT04031703,zhi-ming shao,zhi-ming
Principal Investigator,Navita Somaiah,The Institute of Cancer Research & The Royal Marsden NHS Foundation Trust,,NCT03946202,navita somaiah,navita
Principal Investigator,"Isabelle DESMOULINS, MD",Georges François Leclerc Centre,,NCT04176809,isabelle desmoulins,isabelle
Study Director,"Audrey MAILLIEZ, MD",Centre Oscar Lambret,,NCT03795246,audrey mailliez,audrey
Study Director,"Christine DECANTER, MD",Centre Hopsitalier Regional Universitaire de Lille - Hôpital Jeanne de Flandre,,NCT03795246,christine decanter,christine
Principal Investigator,"Kunwei Shen, MD",Ruijin Hospital,,NCT04066790,kunwei shen,kunwei
Principal Investigator,"Fei Ma, MD",Cancer Hospital Chinese Academy of Medical Science,,NCT03994107,fei ma,fei
Principal Investigator,Wonshik Han,Seoul National University Hospital,,NCT03900637,wonshik han,wonshik
Study Chair,Jia-Yi Chen,Ruijin Hospital,,NCT03829553,jia-yi chen,jia-yi
Study Chair,Zhimin Shao,Fudan University,,NCT03980054,zhimin shao,zhimin
Study Director,Study Director,Hospital General Universitario Gregorio Marañón,,NCT03860740,study director,study
Study Director,Study Director,Fundación Jimenez Díaz,,NCT03860740,study director,study
Principal Investigator,"Enoch Huang, MD",Legacy Health System,,NCT03916068,enoch huang,enoch
Study Chair,"Oreste D Gentilini, MD","Breast Unit, San Raffaele University and Research Hospital, Milan, Italy",,NCT04101851,oreste d gentilini,oreste
Study Chair,"Toralf Reimer, Prof.","Department of Obstetrics and Gynecology, University of Rostock, Germany",,NCT04101851,toralf reimer,toralf
Principal Investigator,"Catherine E Mosher, Ph.D.",Indiana University,,NCT03998618,catherine e mosher,catherine
Principal Investigator,"Anja Welt, Dr.",Essen University Hospital,,NCT03811418,anja welt,anja
Principal Investigator,"Laura M Kenny, MD FRCP PhD",Imperial College London,,NCT03827317,laura m kenny,laura
Principal Investigator,"Chien-Ting Liu, MD","Division of Oncology, Department of Internal Medicine",,NCT03797248,chien-ting liu,chien-ting
Principal Investigator,"Zhimin Shao, MD, PhD",Fudan University,,NCT03926091,zhimin shao,zhimin
Principal Investigator,"Arif Awan, MD",Ottawa Hospital Research Institute,,NCT04131933,arif awan,arif
Principal Investigator,Wenjin Yin,RenJi Hospital,,NCT04126525,wenjin yin,wenjin
Principal Investigator,Shi Na,Peking Union Medical College Hospital,,NCT04145986,shi na,shi
Principal Investigator,"Masakazu Toi, MD,PhD","Kyoto University, Professor of Breast Surgery Department",,NCT03969121,masakazu toi,masakazu
Principal Investigator,"Louis WC Chow, MD,PhD",Organisation for Oncology and Translational Research (OOTR),,NCT03969121,louis wc chow,louis
Principal Investigator,"Takayuki Ueno, MD,PhD","Cancer Institute Hospital of JFCR, Department Director, Breast Surgical Oncology Department",,NCT03969121,takayuki ueno,takayuki
Principal Investigator,"Kathleen Lyons, ScD, OTR",Dartmouth-Hitchcock Medical Center,,NCT03915548,kathleen lyons,kathleen
Principal Investigator,"Nur Aishah Taib, MBBS",University of Malaya,,NCT03855423,nur aishah taib,nur
Study Director,Marianne Keessen,Modra Pharmaceuticals,,NCT03890744,marianne keessen,marianne
Principal Investigator,Marwa M El Awadly,"National Cancer Institute, Cairo University, Egypt",,NCT04148586,marwa m el awadly,marwa
Study Chair,"Alex Molassiotis, PhD",The Hong Kong Polytechnic University,,NCT03836872,alex molassiotis,alex
Principal Investigator,"Hung-Wen Lai, MD, PhD",Changhua Christian Hospital,,NCT04049305,hung-wen lai,hung-wen
Principal Investigator,"Stephanie Fine, MD",University of New Mexico Comprehensive Cancer Center,,NCT03979729,stephanie fine,stephanie
Principal Investigator,"Anne May, PhD",UMC Utrecht Julius Center,,NCT04120298,anne may,anne
Principal Investigator,"Xavier DURANDO, Professor",Centre Jean Perrin,,NCT04133077,xavier durando,xavier
Principal Investigator,"Laura Biganzoli, MD",Hospital of Prato,,NCT03944434,laura biganzoli,laura
Principal Investigator,"Hung-Wen Lai, MD, PhD",Changhua Christian Hospital,,NCT04037852,hung-wen lai,hung-wen
Principal Investigator,"Melinda Stolley, PhD",Principal Investigator,,NCT03824145,melinda stolley,melinda
Principal Investigator,"Norman Wolmark, MD",NSABP Foundation Inc,,NCT04024800,norman wolmark,norman
Principal Investigator,Geok H Lim,KK Women's and Children's Hospital,,NCT03878017,geok h lim,geok
Study Chair,"Zhiyong Yu, PhD",Shandong Cancer Hospital and Institute,,NCT04143906,zhiyong yu,zhiyong
Principal Investigator,"Liang Zhang, MD",Shandong Cancer Hospital and Institute,,NCT04143906,liang zhang,liang
Principal Investigator,"Bapsi Chakravarthy, MD",Vanderbilt Medical Center,,NCT03958721,bapsi chakravarthy,bapsi
Principal Investigator,"Yen-Shen Lu, MD, PhD",National Taiwan University Hospital,,NCT04212702,yen-shen lu,yen-shen
Principal Investigator,"Leonel Hernandez-Aya, M.D.",Washington University School of Medicine,,NCT03982004,leonel hernandez-aya,leonel
Principal Investigator,"Marleen Kok, MD",NKI-AvL,,NCT04159818,marleen kok,marleen
Principal Investigator,"zhimin shao, doctor",Fudan University affiliated cancer hospital,,NCT03949634,zhimin shao,zhimin
Principal Investigator,Xichun Hu,Department of Oncology,,NCT04001621,xichun hu,xichun
Principal Investigator,"Jennifer M Specht, MD",Fred Hutchinson Cancer Research Center,,NCT04020575,jennifer m specht,jennifer
Study Director,Study director,"Hospital del Mar, Barcelona, Spain",,NCT03829306,study director,study
Study Director,Study director,"Fundación Jiménez-Díaz, Madrid, Spain",,NCT03829306,study director,study
Principal Investigator,"Tarah Ballinger, MD",Indiana University,,NCT04170920,tarah ballinger,tarah
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT03955939,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Principal Investigator,"Jonathan A. Haas, MD",NYU Winthrop Hospital,,NCT03946683,jonathan a. haas,jonathan
Principal Investigator,Jose Enrique Alés-Martínez,Complejo Hospitalario de Ávila,,NCT03931551,jose enrique alés-martínez,jose
Study Chair,"Gilmar M Santos, PhD",Universidade do Estado de Santa Catarina this account disabled,,NCT04084600,gilmar m santos,gilmar
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT03988114,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Study Chair,"WILLIAM JACOT, MD",Institut régional du cancer de Montpellier,,NCT04091178,william jacot,william
Principal Investigator,Chang Chen,Peking Union Medical College Hospital,,NCT04145973,chang chen,chang
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT04031885,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Principal Investigator,"Liv Veldeman, dr",University of Ghent,,NCT04091542,liv veldeman,liv
Principal Investigator,"Hesham Elghazaly, Professor",Ain Shams University,,NCT04012918,hesham elghazaly,hesham
Principal Investigator,"Antonio Forte, MD, PhD",Mayo Clinic,,NCT03981718,antonio forte,antonio
Principal Investigator,"Kathy Miller, MD",Indiana University,,NCT04134884,kathy miller,kathy
Principal Investigator,Zhi-Ming Shao,Fudan University,,NCT04127019,zhi-ming shao,zhi-ming
Principal Investigator,"Corrado Tinterri, MD",Istituto Clinico Humanitas,,NCT04019678,corrado tinterri,corrado
Principal Investigator,Xi Shen,Peking Union Medical College Hospital,,NCT04145947,xi shen,xi
Principal Investigator,Dr Patrick Morris,Beaumont Hospital,,NCT03843346,patrick morris,patrick
Principal Investigator,Jiujun Zhu,Henan Cancer Hospital,,NCT04199520,jiujun zhu,jiujun
Principal Investigator,"Zeina Nahleh, MD","Cleveland Clinic Taussig Cancer Center, Case Comprehensive Cancer Center",,NCT04205786,zeina nahleh,zeina
Principal Investigator,"ICing Hou, PhD",National Yang Ming University,,NCT04174248,icing hou,icing
Principal Investigator,"Jean Marc Bourque, MD",Ottawa Hospital Research Institute,,NCT03948568,jean marc bourque,jean
Principal Investigator,"Sharon McGee, MD",Ottawa Hospital Research Institute,,NCT03948568,sharon mcgee,sharon
Principal Investigator,"Olivier Tredan, MD",Centre Leon Berard,,NCT03818685,olivier tredan,olivier
Principal Investigator,Rajendra Badwe,"Director, tata Memorial Centre",,NCT03797482,rajendra badwe,rajendra
Principal Investigator,Tao Sun,Liaoning Tumor Hospital & Institute,,NCT03932526,tao sun,tao
Principal Investigator,Zhimin Shao,Fudan University,,NCT03799679,zhimin shao,zhimin
Principal Investigator,"Patricia Tang, MD",Tom Baker Cancer Centre,,NCT04149444,patricia tang,patricia
Principal Investigator,Yu Jiang,West China Hospital,,NCT03953833,yu jiang,yu
Principal Investigator,Yongsheng Wang,West China Hospital,,NCT03953833,yongsheng wang,yongsheng
Principal Investigator,Wang Shu,Peking University People's Hospital,,NCT03978754,wang shu,wang
Study Director,"Xiaobo Yan, MD",The Second Affiliated Hospital of Zhejiang University School of Medicidne,,NCT04158843,xiaobo yan,xiaobo
Principal Investigator,"Kent Hoskins, M.D.",University of Illinois at Chicago,,NCT04083963,kent hoskins,kent
Principal Investigator,"zhimin shao, MD,PHD",Fudan University,,NCT04129996,zhimin shao,zhimin
Study Chair,"Xuexin He, MD","Seaond Affiliated Hospital, Zhejiang University, School of Medicine",,NCT04158856,xuexin he,xuexin
Principal Investigator,peng yuan,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT03933319,peng yuan,peng
Principal Investigator,"Gwo Fuang Y Ho, FRCR",University of Malaya,,NCT03989089,gwo fuang y ho,gwo
Principal Investigator,"Pamela N Munster, MD","University of California, San Francisco",,NCT04190056,pamela n munster,pamela
Principal Investigator,"Michael Hurwitz, MD",Yale University,,NCT04111510,michael hurwitz,michael
Principal Investigator,xiuchun Chen,Study Principal Investigator Henan Cancer Hospital,,NCT03947242,xiuchun chen,xiuchun
Principal Investigator,"Yu Zhigang, DR.",The Second Hospital of Shandong University,,NCT03847818,yu zhigang,yu
Principal Investigator,Zhimin Shao,Fudan University,,NCT03799692,zhimin shao,zhimin
