role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,NCT Number,Title,Status,Study Results,Conditions,Interventions,First Posted,Locations,URL
Principal Investigator,Wei Li,First Hospital of Jilin University,,NCT04400695,wei li,wei,male,0.72,5779,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Yuee Teng,First Hospital of China Medical University,,NCT04400695,yuee teng,yuee,female,0.67,12,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Shu Wang,Peking University People's Hospital,,NCT04400695,shu wang,shu,female,0.57,1826,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Xiaojia Wang,Zhejiang Cancer Hospital,,NCT04400695,xiaojia wang,xiaojia,female,0.89,19,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Xichun Hu,Fudan University,,NCT04400695,xichun hu,xichun,male,0.67,3,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Min Yan,Henan Cancer Hospital,,NCT04400695,min yan,min,male,0.57,7493,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Jifeng Feng,Jiangsu Cancer Institute & Hospital,,NCT04400695,jifeng feng,jifeng,male,1.0,5,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Ying Cheng,Jilin Provincial Tumor Hospital,,NCT04400695,ying cheng,ying,female,0.86,3620,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Ying Wang,Sun Yat-Sen Memorial Hospital of Sun Yat-Sen University,,NCT04400695,ying wang,ying,female,0.86,3620,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Shusen Wang,"Cancer prevention and treatment center, sun yat-sen university",,NCT04400695,shusen wang,shusen,male,1.0,4,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Ning Liao,Guangdong Provincial People's Hospital,,NCT04400695,ning liao,ning,female,0.76,1681,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Haibo Wang,Affiliated Hospital of Qingdao University,,NCT04400695,haibo wang,haibo,male,0.98,83,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Yueyin Pan,Anhui Provincial Hospital,,NCT04400695,yueyin pan,yueyin,female,1.0,1,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Yingying Du,The First Affiliated Hospital of Anhui Medical University,,NCT04400695,yingying du,yingying,female,0.98,252,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Changlu Hu,Anhui Cancer Hospital,,NCT04400695,changlu hu,changlu,male,1.0,2,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Zhongsheng Tong,Tianjin Cancer Hospital,,NCT04400695,zhongsheng tong,zhongsheng,male,1.0,6,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Jin Yang,The First Affiliated Hospital of Xi'an Jiaotong University School of Medicine,,NCT04400695,jin yang,jin,male,0.7,7587,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Lihua Song,Shandong Cancer Hospital,,NCT04400695,lihua song,lihua,female,0.82,147,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Xiuwen Wang,Qilu Hospital of Shandong University,,NCT04400695,xiuwen wang,xiuwen,female,0.56,9,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Yunjiang Liu,The Fourth Hospital of Hebei Medical University,,NCT04400695,yunjiang liu,yunjiang,male,1.0,1,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Jing Cheng,"Wuhan Union Hospital, China",,NCT04400695,jing cheng,jing,female,0.75,2653,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Huihua Xiong,"Huazhong University of Science Tongji Hospital, Tongji Medical College",,NCT04400695,huihua xiong,huihua,female,0.85,13,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Xinhong Wu,Hubei Cancer Hospital,,NCT04400695,xinhong wu,xinhong,male,0.6,5,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Peng Shen,First Affiliated Hospital of Zhejiang University School of Medicine,,NCT04400695,peng shen,peng,male,0.84,1286,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Weimin Xie,Cancer Hospital Affiliated to Guangxi Medical University,,NCT04400695,weimin xie,weimin,male,1.0,57,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Xin Zhou,Chongqing University Cancer Hospital,,NCT04400695,xin zhou,xin,female,0.52,1592,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Li Ran,Cancer Hospital of Guizhou Province,,NCT04400695,li ran,li,female,0.63,5785,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Jinnan Gao,Bethune Hospital of Shanxi Province,,NCT04400695,jinnan gao,jinnan,male,0.8,5,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Jingfen Wang,Linyi Cancer Hospital,,NCT04400695,jingfen wang,jingfen,female,1.0,1,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Liangmin Zhang,Yantai Yuhuangding Hospital,,NCT04400695,liangmin zhang,liangmin,female,0.5,4,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Xianhe Xie,First Affiliated Hospital of Fujian Medical University,,NCT04400695,xianhe xie,xianhe,female,1.0,1,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Ru Zeng,The First Affiliated Hospital of Xiamen University,,NCT04400695,ru zeng,ru,male,0.63,605,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Airong Wang,Weihai Municipal Hospital,,NCT04400695,airong wang,airong,male,0.8,5,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Zhengqiu Zhu,Affiliated Hospital of Xuzhou Medical University,,NCT04400695,zhengqiu zhu,zhengqiu,male,1.0,2,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Sanyuan Sun,Xuzhou Central Hospital,,NCT04400695,sanyuan sun,sanyuan,male,1.0,6,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Qingshan Li,Affiliated Hospital of Chengde Medical College,,NCT04400695,qingshan li,qingshan,male,0.89,19,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Aimin Zang,Affiliated Hospital of Hebei University,,NCT04400695,aimin zang,aimin,male,0.84,19,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Liuzhong Yang,The First Affiliated Hospital of Xinxiang Medical College,,NCT04400695,liuzhong yang,liuzhong,male,1.0,1,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Yuping Sun,Jinan Central Hospital,,NCT04400695,yuping sun,yuping,female,0.58,38,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Liang Li,Zibo Central Hospital,,NCT04400695,liang li,liang,male,0.79,1211,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Guohua Yu,Weifang People's Hospital,,NCT04400695,guohua yu,guohua,male,0.56,61,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,Xujuan Wang,Neijiang Second People's Hospital,,NCT04400695,xujuan wang,xujuan,female,1.0,1,67,NCT04400695,A Study of RC48-ADC for the Treatment of Locally Advanced or Metastatic Breast Cancer With Low Expression of HER2,Not yet recruiting,No Results Available,Breast Cancer,Drug: RC48-ADC|Drug: Paclitaxel Injection|Drug: Docetaxel Injection|Drug: Vinorelbine Tartrate Injection|Drug: Capecitabine Tablets,"May 22, 2020",,https://ClinicalTrials.gov/show/NCT04400695
Principal Investigator,"yu Cao, Doctor",the study director of phase I clinical research center,,NCT04420871,yu cao,yu,male,0.54,4500,346,NCT04420871,Pharmacokinetic and Safety Comparison of Two Capecitabine Tablets in Patients With Colorectal or Breast Cancer,Completed,No Results Available,Patient Participation,Drug: 150 mg of Xeloda®|Drug: 150 mg of capecitabine,"June 9, 2020","Phase Ⅰ Clinical Research Center, Qingdao, Shandong, China",https://ClinicalTrials.gov/show/NCT04420871
Principal Investigator,"George Foutzilas, MD",Hellenic Cooperative Oncology Group,,NCT04365790,george foutzilas,george,male,0.98,65488,16,NCT04365790,Investigation of Gene Mutations in Patients With Triple-negative and Patients With HER2+ Breast Cancer Adenocarcinoma,Recruiting,No Results Available,Breast Cancer,,"April 28, 2020","George Fountzilas, Athens, Greece",https://ClinicalTrials.gov/show/NCT04365790
Principal Investigator,"George Fountzilas, MD",Hellenic Cooperative Oncology Group,,NCT04403984,george fountzilas,george,male,0.98,65488,173,NCT04403984,Investigation of Genomic Alteration in Patients With Luminal A or Luminal B Subtypes,Recruiting,No Results Available,Breast Cancer,,"May 27, 2020","George Fountzilas, Athens, Greece",https://ClinicalTrials.gov/show/NCT04403984
Principal Investigator,Vladimir I Chernov,Tomsk NRMC,,NCT04277338,vladimir i chernov,vladimir,male,0.99,24429,17,NCT04277338,Molecular Imaging of HER2 Expression in Breast Cancer Using Technetium-99m-labelled DARPin HE3-G3 (99mTc-HE3-G3),Enrolling by invitation,No Results Available,Primary Breast Cancer,Diagnostic Test: SPECT,"February 20, 2020","TomskNRMC, Tomsk, Russian Federation",https://ClinicalTrials.gov/show/NCT04277338
