role,name,affiliation,address,trial_id,processed_name,first_name
Principal Investigator,"Laura Antonietti, MD",Hospital de Alta Complejidad El Cruce - Universidad Nacional Arturo Jauretche,,NCT04411446,laura antonietti,laura
Principal Investigator,"León Ferder, MD",Universidad Maimónides,,NCT04411446,león ferder,león
Principal Investigator,"Felipe Inserra, MD",Universidad Maimónides - Hospital Universitario Austral,,NCT04411446,felipe inserra,felipe
Principal Investigator,"Javier Mariani, MD",Hospital de Alta Complejidad El Cruce - Universidad Nacional Arturo Jauretche,,NCT04411446,javier mariani,javier
Principal Investigator,Marco von Strauss und Torney,Clarunis University Centre for Gastrointestinal and Liver Diseases,,NCT04444687,marco von strauss und torney,marco
Study Director,"Regina Grossmann, Dr med",Head of Clinical Trials Center University Hospital Zurich,,NCT04414657,regina grossmann,regina
Study Director,"Arnaud Bourdin, MD PhD","University Hospital, Montpellier",,NCT04422574,arnaud bourdin,arnaud
Study Chair,"Anselm Gitt, MD",Stiftung IHF and Klinikum der Stadt Ludwigshafen,,NCT04335188,anselm gitt,anselm
Principal Investigator,"Raymond Chung, MD",Massachusetts General Hospital,,NCT04343976,raymond chung,raymond
Study Director,"Karamat Hu Bukhari, FCPS MED",Combined Military Hospital Lahore,,NCT04392713,karamat hu bukhari,karamat
Principal Investigator,Jean-Michel CONSTANTIN,Assistance Publique - Hôpitaux de Paris,,NCT04357444,jean-michel constantin,jean-michel
Study Director,"Dr Shiv Kumar Sarin, DM",Institute of Liver & Biliary Sciences,,NCT04352491,shiv kumar sarin,shiv
Principal Investigator,"sherief Abd-Elsalam, Ass. Prof.",ass. Prof. Tropical Medicine,,NCT04403555,sherief abd-elsalam,sherief
Principal Investigator,"Didier BESSIS, PhD",University Hospitals of Montpellier,,NCT04361786,didier bessis,didier
Principal Investigator,Marianne Martinello,"Kirby Institute, UNSW Sydney",,NCT04383652,marianne martinello,marianne
Principal Investigator,Rowena Bull,"School of Medical Sciences, UNSW Sydney",,NCT04383652,rowena bull,rowena
Principal Investigator,"Jonathan Leff, MD",Montefiore Medical Center,,NCT04425720,jonathan leff,jonathan
Principal Investigator,"sherief Abd-Elsalam, Ass. Prof.",Tanta University - Faculty of Medicine,,NCT04351295,sherief abd-elsalam,sherief
Principal Investigator,JORGE CARRIEL,"Hospital Clínico San Carlos, Madrid",,NCT04362969,jorge carriel,jorge
Principal Investigator,"Sherief Abd-Elsalam, ass. prof.",Tanta University Faculty of medicine,,NCT04345406,sherief abd-elsalam,sherief
Principal Investigator,"Lubov Barabanova, MD","Clinic ""Scandinavia""",,NCT04406038,lubov barabanova,lubov
Principal Investigator,"Colin Berry, MBChB/PhD",University of Glasgow / NHS Greater Glasgow & Clyde,,NCT04403607,colin berry,colin
Principal Investigator,"Gian Paolo Rossi, Prof.","University of Padova, Italy",,NCT04352400,gian paolo rossi,gian
Principal Investigator,"Westyn Branch-Elliman, MD",VA Boston Healthcare System,,NCT04359901,westyn branch-elliman,westyn
Principal Investigator,"Kent Holland, MD",Northside Hospital,,NCT04408040,kent holland,kent
Principal Investigator,"sherief Abd-Elsalam, Ass. Prof.",Tanta University - Faculty of Medicine,,NCT04351347,sherief abd-elsalam,sherief
Principal Investigator,"Kasper Iversen, Prof.",Herlev-Gentofte Hospital,,NCT04346186,kasper iversen,kasper
Principal Investigator,"Henning Bundgaard, Prof.","Rigshospitalet, Denmark",,NCT04346186,henning bundgaard,henning
Principal Investigator,"Henrik Ullum, Prof.","Rigshospitalet, Denmark",,NCT04346186,henrik ullum,henrik
Principal Investigator,"Thomas Benfield, Prof.",Hvidovre University Hospital,,NCT04346186,thomas benfield,thomas
Principal Investigator,"Susanne Dam Poulsen, Prof.","Rigshospitalet, Denmark",,NCT04346186,susanne dam poulsen,susanne
Principal Investigator,"Jørgen Rungby, Prof.",Bispebjerg Hospital,,NCT04346186,jørgen rungby,jørgen
Principal Investigator,"Fredrik Folke, Associate prof.",Akutberedskabet,,NCT04346186,fredrik folke,fredrik
Principal Investigator,Thea Kølsen Fischer,Nordsjællands Hospital,,NCT04346186,thea kølsen fischer,thea
Principal Investigator,"Ove Andersen, Prof.",Hvidovre University Hospital,,NCT04346186,ove andersen,ove
Principal Investigator,Ida Hageman,"Mental Health Services in the Capital Region, Denmark",,NCT04346186,ida hageman,ida
Principal Investigator,"sherief Abd-Elsalam, Ass. Prof.",ass. Prof. Tropical Medicine,,NCT04447534,sherief abd-elsalam,sherief
Study Chair,"Mohamadali Sahraian, MD",Tehran University of Medical Sciences,,NCT04386850,mohamadali sahraian,mohamadali
Principal Investigator,"zhila Maghbooli, PhD",Tehran University of Medical Sciences,,NCT04386850,zhila maghbooli,zhila
Principal Investigator,"Michael F Holick, PhD,MD",Boston University,,NCT04386850,michael f holick,michael
Principal Investigator,"Arash Shirvani, MD, PhD",Boston University,,NCT04386850,arash shirvani,arash
Principal Investigator,"Jonpaul Sze Tsing Zee, MBChB",Hong Kong Sanatorium & Hospital,,NCT04416061,jonpaul sze tsing zee,jonpaul
Principal Investigator,"Beatriz H Aristizabal, PhD",Unidad de Investigación Genética Molecular,,NCT04420260,beatriz h aristizabal,beatriz
Principal Investigator,"M.Sc. Mahmoud Elkazzaz, M.Sc.Biochemistry","Faculty of Science, Damietta University",,NCT04353180,mahmoud elkazzaz,mahmoud
Study Chair,"Dr.Tamer Hydara, Lecturer of Internal Medicine","Faculty of Medicine, Kafr Elshiekh University",,NCT04353180,tamer hydara,tamer
Principal Investigator,"Yvonne (Bonnie) A Maldonado, MD",Stanford University,,NCT04346628,yvonne (bonnie) a maldonado,yvonne
Study Director,Emilie Garrido-Pradalie,Assistance Publique Hôpitaux de Marseille,,NCT04371367,emilie garrido-pradalie,emilie
Principal Investigator,"Elliott Bennett-Guerrero, MD",Stony Brook Hospital,,NCT04344535,elliott bennett-guerrero,elliott
Principal Investigator,"Andreas Baranyi, Prof.",Medical University of Graz,,NCT04359121,andreas baranyi,andreas
Principal Investigator,"Nada Alachkar, MD",Johns Hopkins University,,NCT04363502,nada alachkar,nada
Principal Investigator,Dina Mounir Elkady,Lecturer at cairo ubiversity,,NCT04391881,dina mounir elkady,dina
Study Chair,"Francesco Franceschi, MD PhD","Fondazione Policlinico Universitario A. Gemelli, IRCCS, Roma",,NCT04371562,francesco franceschi,francesco
Principal Investigator,"Sandeep Budhiraja, MRCP, FACP",Max Healthcare,,NCT04367064,sandeep budhiraja,sandeep
Principal Investigator,Sze-Yuan Ooi,Prince of Wales Hospital,,NCT04399109,sze-yuan ooi,sze-yuan
Principal Investigator,"Karin Ried, PhD","National Institute of Integrative Medicine, Australia",,NCT04395768,karin ried,karin
Principal Investigator,"Benoit PILMIS, MD",Groupe Hospitalier Paris Saint Joseph,,NCT04365530,benoit pilmis,benoit
Principal Investigator,"Dean J Kereiakes, MD",The Christ Hospital,,NCT04355897,dean j kereiakes,dean
Principal Investigator,"M.Sc. Mahmoud Elkazzaz, M.Sc.Biochemistry",General Organization of Export and Import control system,,NCT04382950,mahmoud elkazzaz,mahmoud
Study Director,"Hélène Gros, MD",Robert Ballanger,,NCT04366206,hélène gros,hélène
Principal Investigator,"Frédéric COUTANT, MD",Hospices Civils de Lyon,,NCT04354766,frédéric coutant,frédéric
Principal Investigator,"Kristin Newby, MD",Duke University,,NCT04424004,kristin newby,kristin
Principal Investigator,"Massimo Galli, Professor",University of Milan,,NCT04386239,massimo galli,massimo
Principal Investigator,"Olga Sanchez Pernaute, MD, PhD",FUNDACION JIMENEZ DIAZ,,NCT04392531,olga sanchez pernaute,olga
Principal Investigator,"Ericka L Fink, MD",University of Pittsburgh,,NCT04379089,ericka l fink,ericka
Principal Investigator,"Michael Joyner, MD",Mayo Clinic,,NCT04338360,michael joyner,michael
Principal Investigator,"Kyle Kimura, MD",Vanderbilt University Medical Center,,NCT04347538,kyle kimura,kyle
Study Director,"Justin H. Turner, MD, PhD",Vanderbilt University Medical Center,,NCT04347538,justin h. turner,justin
Principal Investigator,"Frances Hall Hall, FRCP (UK), D.Phil",Cambridge University Hospitals NHS Foundation Trust,,NCT04390464,frances hall hall,frances
Principal Investigator,"Domingo A Pascual Figal, MD",HCUVA,,NCT04350320,domingo a pascual figal,domingo
Principal Investigator,"David Siu, MD FRCP",HKU,,NCT04343794,david siu,david
Principal Investigator,"Nasser Al Ansari, FRCPath",Hamad Medical Corporation (HMC),,NCT04437693,nasser al ansari,nasser
Principal Investigator,"Amy Mathers, MD",University of Virginia,,NCT04368260,amy mathers,amy
Principal Investigator,"Lars Wik, MD",Oslo University Hospital,,NCT04335097,lars wik,lars
Principal Investigator,"Pascal FASCIA, MD",Hospices Civils de Lyon,,NCT04441710,pascal fascia,pascal
Study Director,"François GUEYFFIER, MD",Hospices Civils de Lyon,,NCT04441710,françois gueyffier,françois
Study Director,Anya Loncaric,Bausch Health,,NCT04356677,anya loncaric,anya
Study Chair,"Jean-Jacques Garaud, MD",INOTREM SA,,NCT04429334,jean-jacques garaud,jean-jacques
Principal Investigator,"Sangeeta Pathak, MBBS,Diploma","Max Super Speciality Hospital, Saket (DDF)",,NCT04374487,sangeeta pathak,sangeeta
Principal Investigator,"Philippe Gaudard, MD","University Hospital, Montpellier",,NCT04355715,philippe gaudard,philippe
Principal Investigator,Samia Girgis,Vice Director of ASU Hospital,,NCT04443712,samia girgis,samia
Principal Investigator,"Latha Dulipsingh, MD",Saint Francis Hospital and Medical Centerr/Trinity Health Of New England,,NCT04343261,latha dulipsingh,latha
Principal Investigator,"Antoine Vieillard-Baron, MD, PhD",Hospital Ambroise Paré Paris,,NCT04414410,antoine vieillard-baron,antoine
Principal Investigator,"Giuseppe Curigliano, MD",European IO,,NCT04434417,giuseppe curigliano,giuseppe
Principal Investigator,"Antonio Marra, MD",European IO,,NCT04434417,antonio marra,antonio
Principal Investigator,"Ahmed Samir, MD",Department of Radio-diagnosis.,,NCT04382469,ahmed samir,ahmed
Principal Investigator,"Martine MAUGET FAYSSE, MD",Fondation A. de Rothschild,,NCT04387292,martine mauget faysse,martine
Principal Investigator,"Arjun Chandna, MD",Mahidol Oxford Tropical Medicine Research Unit,,NCT04441372,arjun chandna,arjun
Principal Investigator,"Sakib Burza, PhD","Medecins Sans Frontieres, Spain",,NCT04441372,sakib burza,sakib
Principal Investigator,"Hollis R O'Neal, Jr., MD, MSc","Pulmonary & Critical Care LSUHSC, Baton Rouge",,NCT04372472,hollis r o'neal,hollis
Principal Investigator,"Ory Wiesel, MD",Maimonides Medical Center,,NCT04409886,ory wiesel,ory
Principal Investigator,"Olivier EPAULARD, MD-PhD","University Hospital, Grenoble",,NCT04380662,olivier epaulard,olivier
Principal Investigator,"Philip A Chan, MD","Warren Alpert Medical School and School of Public Health, Brown University",,NCT04435522,philip a chan,philip
Principal Investigator,"John W Sanders, MD, MPH&TM",Wake Forest University Health Sciences,,NCT04342884,john w sanders,john
Principal Investigator,"Alex C Spyropoulos, MD",Northwell Health,,NCT04401293,alex c spyropoulos,alex
Study Chair,"Julia Barbado, MD, PhD","University Hospital Río Hortega, Valladolid, Spain",,NCT04361942,julia barbado,julia
Study Director,"Rosa Conde, MD, PhD","University Hospital Río Hortega, Valladolid, Spain",,NCT04361942,rosa conde,rosa
Principal Investigator,"Margarita González-Vallinas, PhD",University of Valladolid,,NCT04361942,margarita gonzález-vallinas,margarita
Principal Investigator,"Steven Deeks, MD","University of California, San Francisco",,NCT04362150,steven deeks,steven
Principal Investigator,"Sujeet Jha, MRCP (U.K)",Max Healthcare,,NCT04339608,sujeet jha,sujeet
Principal Investigator,"John DiPersio, M.D., Ph.D.",Washington University School of Medicine,,NCT04372602,john dipersio,john
Principal Investigator,"Paul E Wischmeyer, MD, EDIC, FASPEN, FCCM",Duke University,,NCT04350073,paul e wischmeyer,paul
Principal Investigator,"Nitin V Kolhe, MD",University Hospitals of Derby and Burton,,NCT04407156,nitin v kolhe,nitin
Principal Investigator,"Nathalie Ganne-Carrié, MD-PhD","AP-HP, Jean Verdier Hospital",,NCT04375670,nathalie ganne-carrié,nathalie
Principal Investigator,"Ivan FN Hung, MD FRCP",The University of Hong Kong,,NCT04350281,ivan fn hung,ivan
Principal Investigator,"Simon Bessis, MD","Infectious diseases department, Raymond Poincaré Hospital, APHP",,NCT04364698,simon bessis,simon
Study Director,"Aurelien Dinh, MD","Infectious diseases department, Raymond Poincaré Hospital, APHP",,NCT04364698,aurelien dinh,aurelien
Principal Investigator,"Marcus Schultz, MD, PhD","Department of Intensive Care, Academic Medical Center, University of Amsterdam",,NCT04346342,marcus schultz,marcus
Study Chair,"Frederique Paulus, PhD","Department of Intensive Care, Academic Medical Center, University of Amsterdam",,NCT04346342,frederique paulus,frederique
Study Chair,"Ary Serpa Neto, MD, PhD","Department of Intensive Care, Academic Medical Center, University of Amsterdam",,NCT04346342,ary serpa neto,ary
Study Director,"Anna Geke Algera, MD","Department of Intensive Care, Academic Medical Center, University of Amsterdam",,NCT04346342,anna geke algera,anna
Study Director,"Anissa Tsonas, MD","Department of Intensive Care, Academic Medical Center, University of Amsterdam",,NCT04346342,anissa tsonas,anissa
Study Director,"Michela Botta, MD","Department of Intensive Care, Academic Medical Center, University of Amsterdam",,NCT04346342,michela botta,michela
Study Director,"houssam ho masoud, MD",COVID sceintific comittee ministry of health and population,,NCT04425707,houssam ho masoud,houssam
Principal Investigator,"Luanne Metz, MD",University of Calgary,,NCT04329611,luanne metz,luanne
Study Director,"Michael D Hill, MD",University of Calgary,,NCT04329611,michael d hill,michael
Principal Investigator,"Paul Mathew, MD",Tufts Medical Center,,NCT04425538,paul mathew,paul
Principal Investigator,"Harry P Selker, MD",Tufts Medical Center,,NCT04399356,harry p selker,harry
Study Chair,"Jeffery S Kuo, MD",Ochsner Health System,,NCT04343183,jeffery s kuo,jeffery
Principal Investigator,"M.Sc. Mahmoud Elkazzaz, M.Sc.Biochemistry",General Organization of Export and Import control system,,NCT04375046,mahmoud elkazzaz,mahmoud
Study Chair,"DOMENICO GIRELLI, MD-PhD",Universita di Verona,,NCT04412382,domenico girelli,domenico
Principal Investigator,"Asser Ghoneim, phD","Professor in Pharmacology, Faculty of pharmacy, Damanhour University",,NCT04374513,asser ghoneim,asser
Principal Investigator,"Ercument Ovalı, MD",Acıbadem Labcell Cellular Therapy Laboratories,,NCT04432987,ercument ovalı,ercument
Study Director,"Yadollah Shakiba, MD, PhD","Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran",,NCT04333550,yadollah shakiba,yadollah
Principal Investigator,"Amir Kiani, PhD","Regenerative Medicine Research Center, Kermanshah University of Medical Sciences, Kermanshah, Iran",,NCT04333550,amir kiani,amir
Principal Investigator,"Guillaume Lemaire, MD",Cliniques universitaires Saint-Luc,,NCT04375774,guillaume lemaire,guillaume
Study Director,Novartis pharmaceuticals,Novartis Pharmaceuticals,,NCT04382053,novartis pharmaceuticals,novartis
Principal Investigator,"Eric J Lenze, MD",Washington University School of Medicine,,NCT04342663,eric j lenze,eric
Principal Investigator,"Timothy J Ness, MD PhD",University of Alabama at Birmingham,,NCT04338074,timothy j ness,timothy
Principal Investigator,"Manaf Al Qahtani, Dr.",Royal College of Surgeons in Ireland - Bahrain,,NCT04356534,manaf al qahtani,manaf
Principal Investigator,"Giuliano Rizzardini, Md",ASST Fatebenefratelli Sacco,,NCT04336904,giuliano rizzardini,giuliano
Principal Investigator,"Karine LACOMBE, PU-PH",Assistance Publique - Hôpitaux de Paris,,NCT04345991,karine lacombe,karine
Principal Investigator,Jose Antonio Pérez Molina,Hospital Universitario Ramón y Cajal,,NCT04445272,jose antonio pérez molina,jose
Principal Investigator,"Hernando Gaitán, MD",Universidad Nacional de Colombia,,NCT04359095,hernando gaitán,hernando
Principal Investigator,Mary Beth Graham,Medical College of Wisconsin,,NCT04354831,mary beth graham,mary
Principal Investigator,"Vivek Reddy, MD",Icahn School of Medicine at Mount Sinai,,NCT04358029,vivek reddy,vivek
Principal Investigator,"Martin Goldman, MD",Icahn School of Medicine at Mount Sinai,,NCT04358029,martin goldman,martin
Principal Investigator,"John P Corcoran, BMBCh MRCP",University Hospitals Plymouth NHS Trust,,NCT04351802,john p corcoran,john
Study Chair,"Antoine KIMMOUN, MD-PhD",CHRU de NANCY,,NCT04376879,antoine kimmoun,antoine
Study Chair,"Jean Damien RICARD, MD-PhD","AP-HP, Louis Mourier Hospital",,NCT04376879,jean damien ricard,jean
Study Chair,"Julie JOSSE, PhD",Ecole Polytechnique & INRIA,,NCT04376879,julie josse,julie
Study Chair,"Patrick ROSSIGNOL, MD-PhD",CHRU de NANCY,,NCT04376879,patrick rossignol,patrick
Study Chair,"yohanny andrade, researcher",Genesis Foundation,,NCT04343742,yohanny andrade,yohanny
Study Chair,"oswaldo leyva, researcher",Genesis Foundation,,NCT04343742,oswaldo leyva,oswaldo
Principal Investigator,"Carlos Ferrer Albiach, MD",Hospital Provincial de Castellon,,NCT04414293,carlos ferrer albiach,carlos
Study Chair,"Anil Avhad, MBBS",Cadila Pharmaceuticals Limited,,NCT04347174,anil avhad,anil
Study Chair,"Nomita Bhandari, MD",Cadila Pharmaceuticals Limited,,NCT04347174,nomita bhandari,nomita
Principal Investigator,"Ishtiaq Ahmed, DPT",Government College University,,NCT04445376,ishtiaq ahmed,ishtiaq
Principal Investigator,"Marion Plaze, MD, PHD",Service Hospitalo-Universitaire - GHU PARIS Psychiatrie & Neurosciences,,NCT04366739,marion plaze,marion
Study Chair,"ORLANDO CARILLO-TORRES, PHD",Hospital General de Mexico Dr Eduardo Liceaga,,NCT04405310,orlando carillo-torres,orlando
Principal Investigator,"Conceição Calhau, PhD",NOVA Medical School of Universidade NOVA de Lisboa,,NCT04355741,conceição calhau,conceição
Principal Investigator,"Pedro Póvoa, PhD",Hospital São Francisco Xavier,,NCT04355741,pedro póvoa,pedro
Principal Investigator,"Cristina Granja, PhD",Centro Hospitalar Universitário São João,,NCT04355741,cristina granja,cristina
Principal Investigator,"Maria JR Sousa, PhD","Centro de Medicina Laboratorial Germano de Sousa, S.A.",,NCT04355741,maria jr sousa,maria
Study Chair,"José Leal, PhD","Centro de Medicina Laboratorial Germano de Sousa, S.A.",,NCT04355741,josé leal,josé
Principal Investigator,"Marvin Konstam, MD",Tufts Medical Center,,NCT04388683,marvin konstam,marvin
Study Chair,"John E Fiadjoe, MD",Children's Hospital of Philadelphia,,NCT04449042,john e fiadjoe,john
Study Director,"Roman Chlíbek, Prof.",University of Defence in Brno,,NCT04401085,roman chlíbek,roman
Study Director,"Rastislav Maďar, Assoc. Prof.","University of Ostrava, Faculy of Medicine",,NCT04401085,rastislav maďar,rastislav
Study Director,"Marián Hajdúch, Assoc. Prof.",Institute of Molecular and Translational Medicine,,NCT04401085,marián hajdúch,marián
Study Director,"Ladislav Dušek, Prof.",Institute of Health Information and Statistics of the Czech Republic,,NCT04401085,ladislav dušek,ladislav
Study Chair,"Roman Prymula, Prof.","Ministry of Health, Czech Republic",,NCT04401085,roman prymula,roman
Study Chair,"Jarmila Rážová, M.D.; Ph.D.","Ministry of Health, Czech Republic",,NCT04401085,jarmila rážová,jarmila
Principal Investigator,"Věra Adámková, Prof.",Institute for Clinical and Experimental Medicine,,NCT04401085,věra adámková,věra
Principal Investigator,"Aleksi Šedo, Prof.","Charles University, First Faculty of Medicine",,NCT04401085,aleksi šedo,aleksi
Principal Investigator,"Vladimír Černý, Prof.","Charles University, Faculty of Medicine in Hradec Králové",,NCT04401085,vladimír černý,vladimír
Principal Investigator,"Jaroslav Štěrba, Prof.",Brno University Hospital,,NCT04401085,jaroslav štěrba,jaroslav
Principal Investigator,"David Feltl, Prof.","General University Hospital, Prague",,NCT04401085,david feltl,david
Principal Investigator,"Martin Repko, Prof.","Masaryk University, Faculty of Medicine",,NCT04401085,martin repko,martin
Principal Investigator,"Dalibor Valík, Prof.",Masaryk Memorial Cancer Institute,,NCT04401085,dalibor valík,dalibor
Principal Investigator,"Zdeněk Havel, Assoc. Prof.","J. E. Purkyně University in Ústí nad Labem, Faculty of Health Studies",,NCT04401085,zdeněk havel,zdeněk
Principal Investigator,"Marie-Anne RAMEIX-WELTI, MD, PhD","Laboratoire de Microbiologie Hygiène hospitalière, Hôpital Ambroise paré, APHP",,NCT04377763,marie-anne rameix-welti,marie-anne
Principal Investigator,"Susanne Arnold, MD",University of Kentucky,,NCT04374019,susanne arnold,susanne
Principal Investigator,"Julie Sanders, PhD",St. Bartholomew's Hospital,,NCT04366167,julie sanders,julie
Principal Investigator,"Woo-Joo Kim, M.D.,Ph.D.",Korea University Guro Hospital,,NCT04347915,woo-joo kim,woo-joo
Principal Investigator,"Derek W Guillory, MD.",Root Causes Medicine,,NCT04428801,derek w guillory,derek
Study Director,Hervé FOEHRENBACH,Direction Centrale du Service de Santé des Armées (DCSSA),,NCT04372979,hervé foehrenbach,hervé
Study Director,Catherine VERRET,Service de Santé des Armées-Direction de la Formation de la Recherche et de l'Innovation,,NCT04372979,catherine verret,catherine
Principal Investigator,Christophe MARTINAUD,Centre de Transfusion Sanguine des Armées,,NCT04372979,christophe martinaud,christophe
Principal Investigator,Jean-Luc BOSSON,Statistical and methodological investigator - Laboratoire TIMC UMR 5525 CNRS Equipe Themas,,NCT04372979,jean-luc bosson,jean-luc
Principal Investigator,"Prapa Kanagaratnam, FRCP, PhD",Imperial College Healthcare NHS Trust,,NCT04333407,prapa kanagaratnam,prapa
Principal Investigator,"Manaf Al Qahtani, Dr.",Royal College of Surgeons in Ireland - Bahrain,,NCT04387760,manaf al qahtani,manaf
Principal Investigator,"Cesare Perotti, MD",Foundation IRCCS San Matteo Hospital,,NCT04321421,cesare perotti,cesare
Principal Investigator,"Daryoush Hamidi Alamdari, Ph.D","Mashhad University of Medical Sciences, Mashhad, Iran",,NCT04370288,daryoush hamidi alamdari,daryoush
Principal Investigator,"Jawad Kirmani, MD",Hackensack Meridian Health Corporation,,NCT04345653,jawad kirmani,jawad
Study Chair,"Ahmad Ameri, Prof.",Shahid Beheshti University of Medical Sciences,,NCT04390412,ahmad ameri,ahmad
Principal Investigator,"Nazanin Rahnama, M.D.",Shahid Beheshti University of Medical Sciences,,NCT04390412,nazanin rahnama,nazanin
Study Director,Ahmad Alaskar,KAIMRC,,NCT04392973,ahmad alaskar,ahmad
Principal Investigator,"Scott Sigman, MD",Lowell General Hospital,,NCT04391712,scott sigman,scott
Principal Investigator,"Gailen D Marshall, Jr., MD, PhD",University of Mississippi Medical Center,,NCT04412486,gailen d marshall,gailen
Principal Investigator,"Maria T DeSancho, MD, MSc",Weill Medical College of Cornell University,,NCT04406389,maria t desancho,maria
Principal Investigator,"Julie CHASTANG, Dr",Department of General Medicine,,NCT04371406,julie chastang,julie
Principal Investigator,"Jérémie ZERBIT, PharmaD",Assistance Publique - Hôpitaux de Paris,,NCT04365725,jérémie zerbit,jérémie
