role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Other IDs,First Posted,Locations,URL
Principal Investigator,Jian Yue,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT04033172,jian yue,jian,male,0.9,1562,11,Pyrotinib Plus Fulvestrant in Patients With HR+/HER2+ Metastatic Breast Cancer (Pyrotinib+Fulvestrant ),Recruiting,No Results Available,Breast Cancer|HER2-positive Breast Cancer,Drug: Pyrotinib Plus Fulvestrant,Chinese Academy of Medical Sciences,NCC2018M-042,"July 25, 2019","Cancer Institute and Hospital, Chinese Academy of Medical Sciences, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT04033172
Study Chair,Peng Yuan,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT04194684,peng yuan,peng,male,0.84,1286,92,Nab-Paclitaxel in Patients With ER+/HER2- Recurrent Metastatic Breast Cancer,Not yet recruiting,No Results Available,Breast Cancer,Drug: nab-paclitaxel,Chinese Academy of Medical Sciences,NCC2129,"December 11, 2019",,https://ClinicalTrials.gov/show/NCT04194684
Principal Investigator,peng yuan,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT03933319,peng yuan,peng,male,0.84,1286,272,Phase Ⅱ Study of Pegylated Liposomal Doxorubicin（PLD）Plus Trastuzumab in HER-2 Positive Metastatic Breast Cancer,Recruiting,No Results Available,HER2-positive Breast Cancer,Drug: pegylated liposomal doxorubicin,"Chinese Academy of Medical Sciences|CSPC Ouyi Pharmaceutical Co., Ltd.",CSPC-DMS-BC-11,"May 1, 2019","Peng Yuan, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT03933319
Principal Investigator,Peng Yuan,"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT03939871,peng yuan,peng,male,0.84,1286,299,A Study of Fluvestrant Combined With Oral Vinorelbine in Hormone Receptor-positive Advanced Breast Cancer,Recruiting,No Results Available,Hormone Receptor Positive Advanced Breast Cancer,Drug: fluvestrant + oral vinorelbine,Chinese Academy of Medical Sciences,NCC1564,"May 7, 2019","National Cacner Center/ Cancer Hospital,Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT03939871
Study Chair,"Peng Yuan, M.D.","Cancer Institute and Hospital, Chinese Academy of Medical Sciences",,NCT03933982,peng yuan,peng,male,0.84,1286,310,A Study of Pyrotinib Plus Vinorelbine in Patients With Brain Metastases From HER2-positive Metastatic Breast Cancer,Recruiting,No Results Available,Breast Cancer|Brain Metastases,Drug: Pyrotinib Plus Vinorelbine,Chinese Academy of Medical Sciences,NCC1865,"May 1, 2019","Cancer Institute and Hospital, Chinese Academy of Medical Sciences, Beijing, China",https://ClinicalTrials.gov/show/NCT03933982
Principal Investigator,Peng Yuan,Chinese Academy of Medical Sciences,,NCT04002284,peng yuan,peng,male,0.84,1286,463,Anlotinib in Metastatic HER2 Negative Breast Cancer,Recruiting,No Results Available,Breast Neoplasm|Antineoplastic Agents|Anlotinib,Drug: Anlotinib Hydrochloride,Peng Yuan|Chinese Academy of Medical Sciences,NCC1692,"June 28, 2019","National Cacner Center/ Cancer Hospital,Chinese Academy of Medical Sciences and Peking Union Medical College, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT04002284
Study Director,"Jian Huang, chief doctor",Zhejiang Cancer Hospital,,NCT03876587,jian huang,jian,male,0.9,1562,387,Pyrotinib Combined With Docetaxel in the First-line Treatment of HER2-positive MBC,Not yet recruiting,No Results Available,Metastatic Breast Cancer,Drug: Pyrotinib Maleate combine with Docetaxel,"Zhejiang Cancer Hospital|Jiangsu HengRui Medicine Co., Ltd.",HR-BLTN-001,"March 15, 2019","Zhejiang Cancer Hospital, Hangzhou, Zhejiang, China",https://ClinicalTrials.gov/show/NCT03876587
Study Director,"Fan zhimin, Doctor",First Affiliated Hospital of Jilin University,,NCT03959397,fan zhimin,fan,male,0.56,2373,13,Paclitaxel Injection (Albumin-bound) for Neoadjuvant Treatment of Breast Cancer,Not yet recruiting,No Results Available,Breast Cancer Stage,Drug: nab-paclitaxel,Jilin University,CSPC-KAL-BC-12,"May 22, 2019","the first hospital of Jilin University, Jilin, Changchun, China",https://ClinicalTrials.gov/show/NCT03959397
Principal Investigator,"Patrick Dillon, MD",University of Virginia,,NCT04038489,patrick dillon,patrick,male,0.99,153288,14,"COX Inhibition and Biomarkers During Neoadjuvant Chemoendocrine Therapy for ER+, HER2- Stage I-III Breast Cancer","Active, not recruiting",No Results Available,Breast Cancer|Estrogen Receptor-positive Breast Cancer,Drug: Aspirin|Drug: Tamoxifen Pill|Drug: Doxorubicin|Drug: Cyclophosphamide|Drug: Paclitaxel,University of Virginia,21822,"July 30, 2019","University of Virginia, Charlottesville, Virginia, United States",https://ClinicalTrials.gov/show/NCT04038489
Principal Investigator,Dr Patrick Morris,Beaumont Hospital,,NCT03843346,patrick morris,patrick,male,0.99,153288,250,"The Impact of the Gene Recurrence Score on Chemotherapy Prescribing in ER Positive, Lymph Node Positive Early Stage Breast Cancer",Recruiting,No Results Available,Breast Cancer,,Cancer Trials Ireland,CTRIAL-IE 15-34,"February 18, 2019","Letterkenny University Hospital, Letterkenny, Co. Donegal, Ireland|St Vincent's University Hospital, Dublin, Dublin 4, Ireland|Mater Misericordiae University Hospital & Mater Private Hospital, Dublin, Dublin 7, Ireland|Beaumont Hospital, Dublin, Dublin 9, Ireland|Bon Secour Cork, Cork, Ireland|Cork University Hospital, Cork, Ireland|St James' Hospital, Dublin, Ireland|University Hospital Galway, Galway, Ireland|University Hospital Limerick, Limerick, Ireland|University Hospital Waterford, Waterford, Ireland",https://ClinicalTrials.gov/show/NCT03843346
Study Director,Matthew Dronsfield,Hospital Director- Mediclinic City Hospital,,NCT03879174,matthew dronsfield,matthew,male,1.0,35521,15,Pembrolizumab And Tamoxifen Among Women With Advanced Hormone Receptor Positive Breast Cancer And Esr1 Mutation,Not yet recruiting,No Results Available,Breast Cancer Female,Drug: Pembrolizumab + Tamoxifen,Mediclinic Middle East,AN.MCME.CR.12|MISP # 55574,"March 18, 2019","Mediclinic City Hospital, Dubai, United Arab Emirates",https://ClinicalTrials.gov/show/NCT03879174
Principal Investigator,Shaheenah Dawood,Consultant Oncologist,,NCT03879174,shaheenah dawood,shaheenah,female,1.0,2,15,Pembrolizumab And Tamoxifen Among Women With Advanced Hormone Receptor Positive Breast Cancer And Esr1 Mutation,Not yet recruiting,No Results Available,Breast Cancer Female,Drug: Pembrolizumab + Tamoxifen,Mediclinic Middle East,AN.MCME.CR.12|MISP # 55574,"March 18, 2019","Mediclinic City Hospital, Dubai, United Arab Emirates",https://ClinicalTrials.gov/show/NCT03879174
Principal Investigator,Matthew P Goetz,Mayo Clinic,,NCT03941730,matthew p goetz,matthew,male,1.0,35521,533,"Estradiol in Treating Patients With ER Beta Positive, Triple Negative Locally Advanced or Metastatic Breast Cancer",Recruiting,No Results Available,Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Anatomic Stage IIIB Breast Cancer AJCC v8|Anatomic Stage IIIC Breast Cancer AJCC v8|Anatomic Stage IV Breast Cancer AJCC v8|Metastatic Triple-Negative Breast Carcinoma|Prognostic Stage III Breast Cancer AJCC v8|Prognostic Stage IIIA Breast Cancer AJCC v8|Prognostic Stage IIIB Breast Cancer AJCC v8|Prognostic Stage IIIC Breast Cancer AJCC v8|Prognostic Stage IV Breast Cancer AJCC v8|Recurrent Breast Carcinoma,Biological: Therapeutic Estradiol,Mayo Clinic|National Cancer Institute (NCI),MC1831|NCI-2019-02285|P30CA015083,"May 8, 2019","Mayo Clinic in Florida, Jacksonville, Florida, United States|Mayo Clinic, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT03941730
Principal Investigator,"Matthew P Goetz, M.D.",Mayo Clinic,,NCT03979508,matthew p goetz,matthew,male,1.0,35521,569,A Breast Cancer Genome Guided Therapy Study,Recruiting,No Results Available,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage IA Breast Cancer AJCC v8|Anatomic Stage IB Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIA Breast Cancer AJCC v8|Anatomic Stage IIB Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Anatomic Stage IIIB Breast Cancer AJCC v8|Anatomic Stage IIIC Breast Cancer AJCC v8|Breast Fibrocystic Change|Ductal Breast Carcinoma In Situ|Estrogen Receptor Negative|HER2/Neu Negative|Invasive Breast Carcinoma|Lobular Breast Carcinoma In Situ|Progesterone Receptor Negative|Prognostic Stage I Breast Cancer AJCC v8|Prognostic Stage IA Breast Cancer AJCC v8|Prognostic Stage IB Breast Cancer AJCC v8|Prognostic Stage II Breast Cancer AJCC v8|Prognostic Stage IIA Breast Cancer AJCC v8|Prognostic Stage IIB Breast Cancer AJCC v8|Prognostic Stage III Breast Cancer AJCC v8|Prognostic Stage IIIA Breast Cancer AJCC v8|Prognostic Stage IIIB Breast Cancer AJCC v8|Prognostic Stage IIIC Breast Cancer AJCC v8|Triple-Negative Breast Carcinoma,Drug: Abemaciclib|Procedure: Therapeutic Conventional Surgery,Mayo Clinic|National Cancer Institute (NCI),MC1734|NCI-2019-03567|P30CA015083,"June 7, 2019","Mayo Clinic Arizona, Phoenix, Arizona, United States|Mayo Clinic Florida, Jacksonville, Florida, United States|Mayo Clinic, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT03979508
Principal Investigator,"Judy C. Boughey, M.D.",Mayo Clinic,,NCT03979508,judy c. boughey,judy,female,0.95,6014,569,A Breast Cancer Genome Guided Therapy Study,Recruiting,No Results Available,Anatomic Stage I Breast Cancer AJCC v8|Anatomic Stage IA Breast Cancer AJCC v8|Anatomic Stage IB Breast Cancer AJCC v8|Anatomic Stage II Breast Cancer AJCC v8|Anatomic Stage IIA Breast Cancer AJCC v8|Anatomic Stage IIB Breast Cancer AJCC v8|Anatomic Stage III Breast Cancer AJCC v8|Anatomic Stage IIIA Breast Cancer AJCC v8|Anatomic Stage IIIB Breast Cancer AJCC v8|Anatomic Stage IIIC Breast Cancer AJCC v8|Breast Fibrocystic Change|Ductal Breast Carcinoma In Situ|Estrogen Receptor Negative|HER2/Neu Negative|Invasive Breast Carcinoma|Lobular Breast Carcinoma In Situ|Progesterone Receptor Negative|Prognostic Stage I Breast Cancer AJCC v8|Prognostic Stage IA Breast Cancer AJCC v8|Prognostic Stage IB Breast Cancer AJCC v8|Prognostic Stage II Breast Cancer AJCC v8|Prognostic Stage IIA Breast Cancer AJCC v8|Prognostic Stage IIB Breast Cancer AJCC v8|Prognostic Stage III Breast Cancer AJCC v8|Prognostic Stage IIIA Breast Cancer AJCC v8|Prognostic Stage IIIB Breast Cancer AJCC v8|Prognostic Stage IIIC Breast Cancer AJCC v8|Triple-Negative Breast Carcinoma,Drug: Abemaciclib|Procedure: Therapeutic Conventional Surgery,Mayo Clinic|National Cancer Institute (NCI),MC1734|NCI-2019-03567|P30CA015083,"June 7, 2019","Mayo Clinic Arizona, Phoenix, Arizona, United States|Mayo Clinic Florida, Jacksonville, Florida, United States|Mayo Clinic, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT03979508
Principal Investigator,"Vladimir I Chernov, MD, Prof.",TomskNMRC,,NCT03991260,vladimir i chernov,vladimir,male,0.99,24429,16,99mTc-ADAPT6-based HER2 Imaging in Breast Cancer,Enrolling by invitation,No Results Available,Breast Cancer,Diagnostic Test: SPECT,Tomsk National Research Medical Center of the Russian Academy of Sciences|KTH Royal Institute of Technology|Uppsala University,99mTc-ADAPT6|99mTc-ADAPT6 [TomskNRMC],"June 19, 2019","TomskNRMC, Tomsk, Russian Federation",https://ClinicalTrials.gov/show/NCT03991260
Principal Investigator,"Budhi S Yadav, MD","PGIMER, Chandigarh, India",,NCT04075058,budhi s yadav,budhi,male,0.97,146,17,Hypofractionated Radiation Therapy in Patients With Breast Cancer,Enrolling by invitation,No Results Available,Breast Cancer,Radiation: Hypofractionated Radiation therapy,Postgraduate Institute of Medical Education and Research,HRBC,"August 30, 2019","Dr Budhi Singh Yadav, Chandigarh, N/A = Not Applicable, India",https://ClinicalTrials.gov/show/NCT04075058
Principal Investigator,"Budhi S Yadav, MD",Postgraduate Institute of Medical Education & Research,,NCT04072718,budhi s yadav,budhi,male,0.97,146,134,Simultaneous Integrated Boost With Volumetric Arc Radiotherapy in Patients With Breast Cancer,Recruiting,No Results Available,Breast Cancer,Radiation: Radiotherapy,Postgraduate Institute of Medical Education and Research,INT/IEC/2017/127,"August 28, 2019","Dr Budhi Singh Yadav, Chandigarh, India",https://ClinicalTrials.gov/show/NCT04072718
Principal Investigator,"Mehran Habibi, MD",Johns Hopkins Bayview,,NCT04129216,mehran habibi,mehran,male,0.98,2033,18,The Effects of Short-term Preoperative Treatment With Hormonal Therapy on Gene Profiles in Breast Cancer,Recruiting,No Results Available,Breast Cancer,Drug: Tamoxifen Citrate|Drug: Letrozole|Drug: Exemestane|Diagnostic Test: Blueprint|Diagnostic Test: Mammaprint,Johns Hopkins University|Agendia,IRB00130428,"October 16, 2019","Johns Hopkins Bayview Hospital, Baltimore, Maryland, United States",https://ClinicalTrials.gov/show/NCT04129216
Principal Investigator,"Luis Fontana, Ph.D.",Universidad de Granada,,NCT03885648,luis fontana,luis,male,0.99,176693,20,Breast Cancer and Its Relationship With the Microbiota,Recruiting,No Results Available,Breast Cancer,,Universidad de Granada,PI-0538-2017,"March 21, 2019","Unit of Mammary Pathology, General Surgery Service, University Hospital Campus de la Salud, Granada, Spain",https://ClinicalTrials.gov/show/NCT03885648
Principal Investigator,"Jinsong Lu, MD","Renji Hospital, School of Medicine, Shanghai Jiao Tong University",,NCT03982485,jinsong lu,jinsong,male,0.91,22,22,Combination Neoadjuvant Chemotherapy With or Without Apatinib for HER2 Negative Breast Cancer,Recruiting,No Results Available,Breast Cancer,Drug: Apatinib|Drug: Paclitaxel|Drug: Cisplatin|Procedure: Surgery,RenJi Hospital,SHPD005,"June 11, 2019","Renji Hospital, School of Medicine, Shanghai Jiao Tong University, Shanghai, Shanghai, China",https://ClinicalTrials.gov/show/NCT03982485
Principal Investigator,"Xuefei Wang, M.D.",PUMCH,,NCT03971019,xuefei wang,xuefei,female,0.61,28,23,Survival Benefits of Statins in Breast Cancer Patients,Recruiting,No Results Available,Breast Cancer Female,Drug: statins|Behavioral: Dietary intervention group (control group),Peking Union Medical College Hospital,PUMCH-SBSBC,"June 3, 2019","PUMCH, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT03971019
Principal Investigator,Jenny Chang,Houston Methodist Cancer Center,,NCT04095689,jenny chang,jenny,female,0.98,74278,26,TAC Chemotherapy and Pembrolizumab Plus Interleukin-12 Gene Therapy and L-NMMA in Triple Negative Breast Cancer,Not yet recruiting,No Results Available,Triple Negative Breast Cancer,Drug: Docetaxel|Drug: Doxorubicin|Drug: Cyclophosphamide|Drug: Pembrolizumab|Drug: IL-12 gene therapy|Drug: L-NMMA,The Methodist Hospital System|Merck Sharp & Dohme Corp.,Merck IIS,"September 19, 2019","Houston Methodist Cancer Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT04095689
Principal Investigator,"Jenny Chang, M.D.",Houston Methodist Cancer Center,,NCT03820141,jenny chang,jenny,female,0.98,74278,142,Durvalumab With Trastuzumab and Pertuzumab in HER2-Enriched Breast Cancer,Recruiting,No Results Available,Breast Cancer,Drug: Durvalumab|Drug: Trastuzumab|Drug: Pertuzumab,"Jenny C. Chang, MD|AstraZeneca|The Methodist Hospital System",Pro00020917,"January 29, 2019","Houston Methodist Cancer Center, Houston, Texas, United States",https://ClinicalTrials.gov/show/NCT03820141
Principal Investigator,Daniel Rea,University of Birmingham,,NCT04118192,daniel rea,daniel,male,0.99,317409,28,NOSTRA-Feasibility Study: A Study Looking at Ultrasound Guided Biopsies for Breast Cancer,Recruiting,No Results Available,Breast Cancer,Procedure: Tumour bed core biopsy,University of Birmingham|Roche Pharma AG|Cancer Research UK,RG_16-108,"October 8, 2019","Bailsdon Hospital, Basildon, Essex, United Kingdom|Blackpool Teaching Hospitals NHS Trust, Blackpool, United Kingdom|University Hospital of Llandough, Cardiff, United Kingdom|Cheltenham General hospital, Cheltenham, United Kingdom|Borders General Hospital, Melrose, United Kingdom|Royal Victoria Infirmary, Newcastle Upon Tyne, United Kingdom|Nottingham City Hospital, Nottingham, United Kingdom|Peterborough City Hospital, Peterborough, United Kingdom|Poole Hospital, Poole, United Kingdom|Southampton General Hospital, Southampton, United Kingdom|Arrowe Park Hospital, Upton, United Kingdom",https://ClinicalTrials.gov/show/NCT04118192
Principal Investigator,"Daniel J Lenihan, M.D., FACC",Washington University School of Medicine,,NCT03862131,daniel j lenihan,daniel,male,0.99,317409,806,PROactive Evaluation of Function to Avoid CardioToxicity,Recruiting,No Results Available,Cardiotoxicity|Breast Cancer|Lymphoma|Sarcoma|Leukemia|Myeloma|Lung Cancer,Device: MyoStrain®,Washington University School of Medicine|Myocardial Solutions,201809177,"March 5, 2019","Yale, New Haven, Connecticut, United States|Franciscan St. Francis Health, Indianapolis, Indiana, United States|Washington University School of Medicine, Saint Louis, Missouri, United States|University of Texas Southwestern, Dallas, Texas, United States",https://ClinicalTrials.gov/show/NCT03862131
Study Director,"Dr. Mikhail Khazan, MD",Ichnos Sciences,,NCT03983395,mikhail khazan,mikhail,male,0.99,3514,30,Study of ISB 1302 (CD3 Bispecific Ab) in HER2-positive Metastatic Breast Cancer,Recruiting,No Results Available,Breast Cancer,"Biological: ISB 1302 250 ng/kg|Biological: ISB 1302 325 ng/kg|Biological: ISB 1302 325 ng/kg-D1;425 ng/kg -D8,D15,D22|Biological: ISB 1302 325 ng/kg-D1;550 ng/kg -D8,D15,D22|Biological: ISB 1302 325ng/kgD1;550 ng/kg D8;700 ng/kgD15,22|Biological: ISB 1302 325ng/kg D1;550 ng/kg D8;900 ng/kg D15,22|Biological: ISB 1302 escalating doses,1200 ng/kg D15,22|Biological: ISB 1302 at the MTD and/or RP2D dose",Ichnos Sciences SA|Glenmark Pharmaceuticals S.A.,ISB 1302-103|IND Number 131316,"June 12, 2019","Glenmark Investigational Site 1, Gilbert, Arizona, United States|Glenmark Investigational Site 5, Los Angeles, California, United States|Glenmark Investigational Site 4, Louisville, Kentucky, United States|Glenmark Investigational Site 2, Detroit, Michigan, United States|Glenmark Investigational Site 3, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT03983395
Principal Investigator,"Michael R Speicher, MD",Medical University of Graz,,NCT03992521,michael r speicher,michael,male,0.99,245870,31,Breast Cancer Liquid Biopsy Stratification,"Active, not recruiting",No Results Available,Breast Cancer,Genetic: Nucleosome positioning,Medical University of Graz,BreastctDNA01,"June 20, 2019","Medical University of Graz, Graz, Austria",https://ClinicalTrials.gov/show/NCT03992521
Principal Investigator,"Michael Douek, MD",Guy's and St Thomas' NHS Foundation Trust,,NCT03880097,michael douek,michael,male,0.99,245870,125,Enabling the Study of Metabolism in Breast Cancer Through Collection of Fresh-tissue Biopsies,Not yet recruiting,No Results Available,Breast Cancer,Procedure: Research Biopsy,"University College, London",17/0765,"March 19, 2019",,https://ClinicalTrials.gov/show/NCT03880097
Principal Investigator,"Neill Patani, MD",University College London Hospitals,,NCT03880097,neill patani,neill,male,0.97,262,125,Enabling the Study of Metabolism in Breast Cancer Through Collection of Fresh-tissue Biopsies,Not yet recruiting,No Results Available,Breast Cancer,Procedure: Research Biopsy,"University College, London",17/0765,"March 19, 2019",,https://ClinicalTrials.gov/show/NCT03880097
Principal Investigator,"Jayant Vaidya, MD",The Whittington Hospital,,NCT03880097,jayant vaidya,jayant,male,0.99,320,125,Enabling the Study of Metabolism in Breast Cancer Through Collection of Fresh-tissue Biopsies,Not yet recruiting,No Results Available,Breast Cancer,Procedure: Research Biopsy,"University College, London",17/0765,"March 19, 2019",,https://ClinicalTrials.gov/show/NCT03880097
Principal Investigator,"Amna Sherri, MD",Royal Free London NHS Foundation Trust,,NCT03880097,amna sherri,amna,female,0.97,1115,125,Enabling the Study of Metabolism in Breast Cancer Through Collection of Fresh-tissue Biopsies,Not yet recruiting,No Results Available,Breast Cancer,Procedure: Research Biopsy,"University College, London",17/0765,"March 19, 2019",,https://ClinicalTrials.gov/show/NCT03880097
Principal Investigator,"Laura Johnson, MD",Barts & The London NHS Trust,,NCT03880097,laura johnson,laura,female,0.98,288403,125,Enabling the Study of Metabolism in Breast Cancer Through Collection of Fresh-tissue Biopsies,Not yet recruiting,No Results Available,Breast Cancer,Procedure: Research Biopsy,"University College, London",17/0765,"March 19, 2019",,https://ClinicalTrials.gov/show/NCT03880097
Principal Investigator,"Robert Price, MD",King's College Hospital NHS Trust,,NCT03880097,robert price,robert,male,0.99,177418,125,Enabling the Study of Metabolism in Breast Cancer Through Collection of Fresh-tissue Biopsies,Not yet recruiting,No Results Available,Breast Cancer,Procedure: Research Biopsy,"University College, London",17/0765,"March 19, 2019",,https://ClinicalTrials.gov/show/NCT03880097
Principal Investigator,"Michael Hurwitz, MD",Yale University,,NCT04111510,michael hurwitz,michael,male,0.99,245870,276,Autologous Tumor Infiltrating Lymphocytes in Patients With Pretreated Metastatic Triple Negative Breast Cancer,Recruiting,No Results Available,Metastatic Triple Negative Breast Cancer,Drug: Tumor infiltrating lymphocytes (TIL) LN-145,"Yale University|Iovance Biotherapeutics, Inc.",2000025837,"October 1, 2019","Yale School of Medicine, New Haven, Connecticut, United States",https://ClinicalTrials.gov/show/NCT04111510
Principal Investigator,"Michael H Antoni, Ph.D",University of Miami,,NCT03955991,michael h antoni,michael,male,0.99,245870,513,VSMART (Video-Conference Stress Management and Relaxation Training for Older Women With Breast Cancer),Recruiting,No Results Available,Stress,Behavioral: R-CBSM|Biological: Influenza vaccine,University of Miami|Florida Department of Health,20160525,"May 20, 2019","Flipse Building, Coral Gables, Florida, United States",https://ClinicalTrials.gov/show/NCT03955991
