role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,NCT Number,Title,Status,Study Results,Conditions,Interventions,First Posted,Locations,URL
Study Director,"Michael Roden, Prof. Dr.",German Diabetes Center,,NCT04222231,michael roden,michael,male,0.99,245870,25,NCT04222231,RESIST! Blood-flow Restriction Resistance Training for Improving Insulin Sensitivity in Type 2 Diabetes,Enrolling by invitation,No Results Available,Type 2 Diabetes,Other: Blood-flow restriction resistance training|Other: Classical resistance training,"January 9, 2020","German Diabetes Center, Düsseldorf, NRW, Germany",https://ClinicalTrials.gov/show/NCT04222231
Principal Investigator,"wang congrong, doctor",Shanghai East Hospital. China.,,NCT04441658,wang congrong,wang,male,0.64,3532,28,NCT04441658,Efficacy and Safety of Umbilical Cord Mesenchymal Stem Cells Transplantation in Patients With Type 2 Diabetes Mellitus,Recruiting,No Results Available,Type 2 Diabetes|Mesenchymal Stem Cells,Biological: Umbilical Cord Mesenchymal Stem Cells|Biological: saline,"June 22, 2020","Shanghai East Hospital, Shanghai Tongji University, Shanghai, Shanghai, China",https://ClinicalTrials.gov/show/NCT04441658
Principal Investigator,Mu,Chinese PLA General Hospital,,NCT04217291,mu,mu,male,0.66,824,31,NCT04217291,The Efficacy and Safety of Different Doses of SY-004 in Patients With Type 2 Diabetes Mellitus,Recruiting,No Results Available,Type 2 Diabetes Mellitus,Drug: SY-004|Other: SY-004 matching placebo,"January 3, 2020","PLA General Hospital, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT04217291
Principal Investigator,"Fajriansyah Fajriansyah, Master",Faculty of Pharmacy Universitas Padjadjaran Bandung,,NCT04313829,fajriansyah fajriansyah,fajriansyah,male,1.0,2,32,NCT04313829,Pharmacist Counseling on the Health-related Quality of Life of Patients With Type 2 Diabetes Mellitus,Completed,No Results Available,Type 2 Diabetes Mellitus,Behavioral: Pharmacist Counseling Intervention,"March 18, 2020","Puskesmas Antang, Makassar, South Sulawesi, Indonesia|Puskesmas Batua, Makassar, South Sulawesi, Indonesia|Puskesmas Jongaya, Makassar, South Sulawesi, Indonesia|Puskesmas Tamalanrea, Makassar, South Sulawesi, Indonesia",https://ClinicalTrials.gov/show/NCT04313829
Principal Investigator,"Catherine Anastasopoulou, MD, PhD",Albert Einstein Healthcare Network,,NCT04277780,catherine anastasopoulou,catherine,female,0.98,50312,35,NCT04277780,Reducing Emergency Department Visits and Improving Glucose Control in Uncontrolled Type 2 Diabetes Using CGM Sensors at Hospital Discharge,Recruiting,No Results Available,Type 2 Diabetes Mellitus,Device: Continuous Glucose Monitoring Sensor|Other: Diabetes Management Instructions,"February 20, 2020","Albert Einstein Medical Center, Philadelphia, Pennsylvania, United States",https://ClinicalTrials.gov/show/NCT04277780
Study Director,Kun Lou,"Department of medicine, CSPC clinical development division",,NCT04218734,kun lou,kun,male,0.78,1297,36,NCT04218734,A Study to Evaluate the Efficacy and Safety of DBPR108 and Metformin Hydrochloride Combination Therapy in Patients With Type 2 Diabetes Mellitus,Not yet recruiting,No Results Available,Type 2 Diabetes Mellitus,Drug: DBPR108|Drug: metformin hydrochloride|Drug: placepo,"January 6, 2020",,https://ClinicalTrials.gov/show/NCT04218734
Study Director,"Victor Kravchenko, PhD, Prof",V.P.Komisarenko Institute of Endocrinology and Metabolism,,NCT04283201,victor kravchenko,victor,male,0.99,94927,38,NCT04283201,Type 2 Diabetes Mellitus Prevention Ukraine,"Active, not recruiting",No Results Available,Evaluation of Lifestyle Modification for the Prevention of Type 2 Diabetes,Other: Lifestyle modification,"February 25, 2020","V.P.Komisarenko Institute of Endocrinology and Metabolism, Kyiv, Ukraine",https://ClinicalTrials.gov/show/NCT04283201
Study Director,John Chen,"Neurotronic, Inc.",,NCT04232774,john chen,john,male,0.99,218952,39,NCT04232774,Neurotronic Ablation of Arteries for the Treatment of Type 2 Diabetes Mellitus and Its Comorbidities,Recruiting,No Results Available,Type 2 Diabetes Mellitus With Circulatory Complciation,Device: The Neurotronic arterial ablation catheter,"January 18, 2020","Sanatorio Italiano - Centro de Intervenciones Endovasculares, Asunción, Paraguay",https://ClinicalTrials.gov/show/NCT04232774
Principal Investigator,"John L Sievenpiper, MD,PhD,FRCPC",University of Toronto,,NCT04245826,john l sievenpiper,john,male,0.99,218952,219,NCT04245826,Meta-analysis of Low-calorie Sweetened Beverages and Cardiometabolic Outcomes,"Active, not recruiting",No Results Available,Adiposity|Metabolic Syndrome|Type 2 Diabetes|Cardiovascular Diseases|Mortality,Other: Change in LCSBs Intake|Other: Substitute LCSBs for SSBs or Water,"January 29, 2020","Clinical Nutrition and Risk Factor Modification Centre, St. Michael's Hospital, Toronto, Ontario, Canada",https://ClinicalTrials.gov/show/NCT04245826
Principal Investigator,"John L Sievenpiper, MD,PhD,FRCPC",University of Toronto,,NCT04327713,john l sievenpiper,john,male,0.99,218952,224,NCT04327713,Meta-analysis of Fish Oil Supplementation and Cardiovascular Outcomes in Diabetes,"Active, not recruiting",No Results Available,Type2 Diabetes|Heart Failure|Myocardial Infarction|Stroke|Arrhythmia|Cardiovascular Diseases,Dietary Supplement: fish oil supplement,"March 31, 2020","Clinical Nutrition and Risk Factor Modification Centre, St. Michael's Hospital, Toronto, Ontario, Canada",https://ClinicalTrials.gov/show/NCT04327713
Principal Investigator,"Nadine Mansour, MD","Al-Agouza Family Medicine Center & Faculty of Medicine, Cairo University",,NCT04214600,nadine mansour,nadine,female,0.98,55786,41,NCT04214600,Cognitive Behavioral Therapy for Adherence in Patients With Type 2 Diabetes,"Active, not recruiting",No Results Available,Type 2 Diabetes|Depression,Behavioral: Cognitive Behavioral Therapy (CBT),"January 2, 2020","Al-Agouza Family Medicine Center (AFMC)., Agouza, Giza, Egypt",https://ClinicalTrials.gov/show/NCT04214600
Principal Investigator,"Anne L Peters, MD",University of Southern California,,NCT04228003,anne l peters,anne,female,0.97,78727,42,NCT04228003,Pendulum D2D Glucose Control for Adults With Type 2 Diabetes,Not yet recruiting,No Results Available,Type2 Diabetes|Gastrointestinal Symptoms,Dietary Supplement: Pendulum Glucose Control formulation for T2D,"January 14, 2020","USC Westside Center for Diabetes, Los Angeles, California, United States",https://ClinicalTrials.gov/show/NCT04228003
Principal Investigator,"Alma Au, PhD","Applied Social Sciences, Hong Kong Polytechnic University",,NCT04261361,alma au,alma,female,0.95,9312,43,NCT04261361,Cognitive Behavioural Therapy for Adherence and Sub-clinical Depression for Type 2 Diabetes,Recruiting,No Results Available,Type 2 Diabetes|Depression,Behavioral: CBT-AD intervention|Behavioral: Adherence counseling|Behavioral: Psycho-education package,"February 7, 2020","Applied Social Sciences, Hong Kong Polytechnic University, Hong Kong, Hong Kong|Institute of Active Ageing, Kowloon, Hong Kong",https://ClinicalTrials.gov/show/NCT04261361
Principal Investigator,"Ian Wilkinson, MD",University of Cambridge,,NCT04307797,ian wilkinson,ian,male,0.99,27117,44,NCT04307797,Effect of Glucagon and Glucagon-like Peptide-1 Co-agonism on Cardiac Function and Metabolism in Overweight Participants With Type 2 Diabetes,Not yet recruiting,No Results Available,Type2 Diabetes|Obesity,Drug: 0.9% Sodium-chloride|Drug: Exenatide (50ng/min for 30 minutes loading followed by 25ng/min maintenance) and glucagon 12.5ng/kg/min,"March 13, 2020",,https://ClinicalTrials.gov/show/NCT04307797
Principal Investigator,"Usune Etxeberria, PhD",Basque Culinary Center Fundazioa,,NCT04449120,usune etxeberria,usune,female,1.0,2,46,NCT04449120,HOME COOKING: Health Empowerment Strategy in People With Type II Diabetes Mellitus,Recruiting,No Results Available,Type 2 Diabetes Mellitus,Behavioral: Mediterranean diet-based culinary intervention|Behavioral: Mediterranean diet-based nutritional education intervention,"June 26, 2020","Basque Culinary Center, Donostia-San Sebastian, Guipuzcoa, Spain",https://ClinicalTrials.gov/show/NCT04449120
Principal Investigator,"Ville Wallenius, Ass. Prof.","Sahlgrenska University Hospital, Sweden",,NCT04314427,ville wallenius,ville,male,0.98,3245,49,NCT04314427,Early Glycaemic Control in Type 2 Diabetes Patients After Bariatric Surgery; ECODABS,Completed,No Results Available,Diabetes Mellitus Type 2 in Obese,Procedure: Roux-en-Y gastric bypass|Procedure: Sleeve gastrectomy,"March 19, 2020","Antwerp University Hospital, Antwerp, Edegem, Belgium|Universitair Ziekenhuis, Brussel, Jette, Belgium|Gent University Hospital, Gent, Belgium|Hospital Clinico San Carlos, Madrid, Spain|Sahlgrenska University Hospital, Gothenburg, Sweden|Sahlgrenska University Hospital, Gothenburg, Sweden|Karolinska Institutet, Stockholm, Sweden|South kensington campus, London, United Kingdom",https://ClinicalTrials.gov/show/NCT04314427
Principal Investigator,"Chris Nadege NGANOU-GNINDJIO, MD, MAS",Yaounde Central Hospital,,NCT04222738,chris nadege nganou-gnindjio,chris,male,0.9,156083,50,NCT04222738,The Cardiovascular Effects of Ginger (Zingiber Officinale) in Patients With Type II Diabetes Mellitus,Completed,No Results Available,Cardiovascular Benefits of Zingiber Officinale Roscoe in Patients With Type 2 Diabetes Mellitus Before and After 6 Weeks of add-on Therapy,Dietary Supplement: GINOFF1,"January 10, 2020","Yaounde Central Hospital, NAtional Obesity Center, Yaounde, Cameroon",https://ClinicalTrials.gov/show/NCT04222738
Study Director,"Eugene SOBNGWI, Professor",Yaounde Central Hospital,,NCT04222738,eugene sobngwi,eugene,male,0.95,8915,50,NCT04222738,The Cardiovascular Effects of Ginger (Zingiber Officinale) in Patients With Type II Diabetes Mellitus,Completed,No Results Available,Cardiovascular Benefits of Zingiber Officinale Roscoe in Patients With Type 2 Diabetes Mellitus Before and After 6 Weeks of add-on Therapy,Dietary Supplement: GINOFF1,"January 10, 2020","Yaounde Central Hospital, NAtional Obesity Center, Yaounde, Cameroon",https://ClinicalTrials.gov/show/NCT04222738
Study Chair,"Jean Claude MBANYA, Professor",Yaounde Central Hospital,,NCT04222738,jean claude mbanya,jean,male,0.95,196185,50,NCT04222738,The Cardiovascular Effects of Ginger (Zingiber Officinale) in Patients With Type II Diabetes Mellitus,Completed,No Results Available,Cardiovascular Benefits of Zingiber Officinale Roscoe in Patients With Type 2 Diabetes Mellitus Before and After 6 Weeks of add-on Therapy,Dietary Supplement: GINOFF1,"January 10, 2020","Yaounde Central Hospital, NAtional Obesity Center, Yaounde, Cameroon",https://ClinicalTrials.gov/show/NCT04222738
Principal Investigator,"Chris Nadege NGANOU-GNINDJIO, MD, MAS",Yaounde Central Hospital,,NCT04222686,chris nadege nganou-gnindjio,chris,male,0.9,156083,81,NCT04222686,Evaluation of Losartan and Perindopril in Blacks Type 2 Diabetics Patients,Completed,No Results Available,Type 2 Diabetes Mellitus,Drug: Perindopril Arginine|Drug: Losartan Potassium,"January 10, 2020","Yaounde Central Hospital, NAtional Obesity Center, Yaounde, Cameroon",https://ClinicalTrials.gov/show/NCT04222686
Principal Investigator,"Chong Lee, Ph.D.",Arizona State University,,NCT04268212,chong lee,chong,male,0.71,2092,51,NCT04268212,An Alternative Approach to Improve Hyperglycemia Among Type 2 Diabetes Patients,Completed,No Results Available,Type2 Diabetes,Dietary Supplement: Bitter melon juice (100 ml)|Behavioral: Exercise,"February 13, 2020",,https://ClinicalTrials.gov/show/NCT04268212
Principal Investigator,"Daniela Jakubowicz, MD",Wolfson Medical Center,,NCT04405895,daniela jakubowicz,daniela,female,0.98,109997,53,NCT04405895,Effect of Meal Timing in T2D on Hepatocytes SRIT1 and Clock Genes,Not yet recruiting,No Results Available,Type 2 Diabetes|Obesity,Other: Breakfast Diet|Other: Allday Diet,"May 28, 2020","Wolfson Medical Center, Holon, Please Select, Israel",https://ClinicalTrials.gov/show/NCT04405895
Principal Investigator,"Shani Tsameret, RD",E. Wolfson Medical Center.,,NCT04405895,shani tsameret,shani,male,0.63,1254,53,NCT04405895,Effect of Meal Timing in T2D on Hepatocytes SRIT1 and Clock Genes,Not yet recruiting,No Results Available,Type 2 Diabetes|Obesity,Other: Breakfast Diet|Other: Allday Diet,"May 28, 2020","Wolfson Medical Center, Holon, Please Select, Israel",https://ClinicalTrials.gov/show/NCT04405895
Principal Investigator,"Riccardo Bonadonna, MD",Azienda Ospedaliero-Universitaria di Parma,,NCT04271189,riccardo bonadonna,riccardo,male,0.99,36394,54,NCT04271189,Managing DIabetes Remission After Combined Therapy in EarLy Stage of DiabetEs,Not yet recruiting,No Results Available,Newly Diagnosed Type 2 Diabetes,Drug: Metformin-Sitagliptin-Empaglifozin-Pioglitazone|Drug: Standard of care,"February 17, 2020","Azienda Ospedaliero Universitaria, Parma, Italy",https://ClinicalTrials.gov/show/NCT04271189
Principal Investigator,"Mirac Vural Keskinler, MD",IMU Doctoral program,,NCT04392570,mirac vural keskinler,mirac,male,0.9,514,57,NCT04392570,The Effect of Fasting on Serum Osmolarity in Diabetic Patients,Completed,No Results Available,Type2 Diabetes,Diagnostic Test: Fasting,"May 19, 2020","IMU Goztepe Education and Research Hospital, Istanbul, Kadikoy, Turkey",https://ClinicalTrials.gov/show/NCT04392570
Principal Investigator,"Mary A. Steinhardt, EdD",University of Texas at Austin,,NCT04282395,mary a. steinhardt,mary,female,0.99,142684,59,NCT04282395,Resilience-Based Diabetes Self-Management Education (RB-DSME) for African Americans,Recruiting,No Results Available,Type 2 Diabetes,Behavioral: Resilience-Based Diabetes Self-Management Education|Behavioral: Standard Diabetes Self-Management Education,"February 24, 2020","University of Texas at Austin, Austin, Texas, United States",https://ClinicalTrials.gov/show/NCT04282395
Principal Investigator,"Sharon A. Brown, PhD",University of Texas at Austin,,NCT04282395,sharon a. brown,sharon,female,0.98,33532,59,NCT04282395,Resilience-Based Diabetes Self-Management Education (RB-DSME) for African Americans,Recruiting,No Results Available,Type 2 Diabetes,Behavioral: Resilience-Based Diabetes Self-Management Education|Behavioral: Standard Diabetes Self-Management Education,"February 24, 2020","University of Texas at Austin, Austin, Texas, United States",https://ClinicalTrials.gov/show/NCT04282395
Principal Investigator,"Mary O Whipple, PhD","University of Colorado, Denver",,NCT04262128,mary o whipple,mary,female,0.99,142684,125,NCT04262128,Sedentary Behavior in Older Women With and Without Type 2 Diabetes,Recruiting,No Results Available,"Diabetes Mellitus, Type 2|Healthy",,"February 10, 2020","University of Colorado Anschutz Medical Campus, Aurora, Colorado, United States",https://ClinicalTrials.gov/show/NCT04262128
Principal Investigator,"Eleni Hatzidimitriadou, PhD",Canterbury Christ Church University,,NCT04274660,eleni hatzidimitriadou,eleni,female,0.98,7342,62,NCT04274660,Evaluation of Diabetes and WELLbeing Programme,Recruiting,No Results Available,Type 2 Diabetes|Type 2 Diabetes Treated With Insulin,Behavioral: DWELL (Diabetes and WELLbeing) Programme,"February 18, 2020","Arteveldehogeschool, Ghent, Belgium|Centre Hosptalier Douai, Douai, France|Kinetic Analysis, Breda, 's-Hertogenbosch, Netherlands|Medway Community Healthcare, Gillingham, Kent, United Kingdom|Blackthorn Trust, Maidstone, Kent, United Kingdom",https://ClinicalTrials.gov/show/NCT04274660
Principal Investigator,"Linda Snetselaar, PhD, RD, LD",University of Iowa,,NCT04311853,linda snetselaar,linda,female,0.98,99198,63,NCT04311853,Evidence-Based Nutrition Practice Guidelines of Toolkit and Preliminary Outcomes,Completed,No Results Available,Type 2 Diabetes Mellitus,,"March 17, 2020",,https://ClinicalTrials.gov/show/NCT04311853
Principal Investigator,"Esther F Myers, PhD, RD",Academy of Nutrition and Dietetics,,NCT04311853,esther f myers,esther,female,0.99,43885,63,NCT04311853,Evidence-Based Nutrition Practice Guidelines of Toolkit and Preliminary Outcomes,Completed,No Results Available,Type 2 Diabetes Mellitus,,"March 17, 2020",,https://ClinicalTrials.gov/show/NCT04311853
Principal Investigator,"Smita Rao, PhD",NYU Langone Health,,NCT04383314,smita rao,smita,female,0.98,347,65,NCT04383314,Targeting Hyaluronan Accumulation Through Exercise in T2DM,Not yet recruiting,No Results Available,Type 2 Diabetes Mellitus,Behavioral: 10-week exercise program on HA accumulation,"May 12, 2020",,https://ClinicalTrials.gov/show/NCT04383314
Study Director,"Kadir Kayataş, associate professor",Haydarpaşa Numune Education and Research Hospital,,NCT04298515,kadir kayataş,kadir,male,0.97,47087,66,NCT04298515,"Nesfatin-1 Level in Patients With Type 2 Diabetes, Insulin Resistance and Obesity",Recruiting,No Results Available,Type 2 Diabetes|Insulin Resistance|Obesity|Nesfatin-1,Diagnostic Test: Nesfatin-1,"March 6, 2020","Haydarpaşa Numune Education and Research Hospital, İstanbul, Turkey",https://ClinicalTrials.gov/show/NCT04298515
Principal Investigator,"Boyu Li, PHD",Beijing Chao Yang Hospital,,NCT04303819,boyu li,boyu,male,0.81,26,67,NCT04303819,The Effect of Exenatide on Fasting Bile Acids,Completed,No Results Available,Type 2 Diabetes Mellitus in Obese,Drug: Exenatide treatment,"March 11, 2020","Beijing Chao-yang hospital, Beijing, China",https://ClinicalTrials.gov/show/NCT04303819
Principal Investigator,ICE Y PURI,Andalas University,,NCT04440319,ice y puri,ice,male,0.67,4443,68,NCT04440319,Diabetes Nutrition Education With Glycemic Control,Enrolling by invitation,No Results Available,Type2 Diabetes Mellitus,Behavioral: Intervention group,"June 19, 2020","Ice Yolanda Puri, Padang, WEST Sumatera, Indonesia",https://ClinicalTrials.gov/show/NCT04440319
Principal Investigator,"Gianluca Iacobellis, MD PhD",University of Miami,,NCT04341935,gianluca iacobellis,gianluca,male,0.99,41833,69,NCT04341935,Effects of DPP4 Inhibition on COVID-19,Not yet recruiting,No Results Available,Coronavirus Infection|Type 2 Diabetes,Drug: Linagliptin|Drug: Insulin regimen,"April 10, 2020","University of Miami, Miami, Florida, United States",https://ClinicalTrials.gov/show/NCT04341935
Study Director,"Song Ding, MD","Department of Cardiology, Ren Ji Hospital",,NCT04390711,song ding,song,male,0.69,2068,70,NCT04390711,Association of Carbamylated HDL and CAD in T2DM Patients,Completed,No Results Available,Type 2 Diabetes Mellitus With Circulatory Complciation,"Other: High density lipoprotein isolation, detection and in-vitro study.","May 15, 2020","Rui Jin Hospital, Shanghai, China",https://ClinicalTrials.gov/show/NCT04390711
Principal Investigator,"Harald Sourij, MD","Medical University of Graz, Auenbruggerplatz 15",,NCT04283318,harald sourij,harald,male,0.99,6762,71,NCT04283318,"Prolonged Fasting on Glucose Metabolism and Hormonal Regulation in Healthy, Obese and Subjects With Type 2 Diabetes",Recruiting,No Results Available,Healthy|Obesity|Type 2 Diabetes Mellitus|Type 1 Diabetes,Behavioral: 12h fasting|Behavioral: 36h fasting,"February 25, 2020","Medical University of Graz, Graz, Austria",https://ClinicalTrials.gov/show/NCT04283318
Principal Investigator,"Dr.Holly Blake, PhD",University of Nottingham,,NCT04243174,holly blake,holly,female,0.87,4247,72,NCT04243174,The Use of Short SMS Messaging With Type 2 Diabetes (T2DM),Completed,No Results Available,Type 2 Diabetes|Physical Exercise,Behavioral: SMS Messaging,"January 28, 2020","King Fahd Medical City, Riyadh, Saudi Arabia",https://ClinicalTrials.gov/show/NCT04243174
Principal Investigator,"Valentine Yanchou Njike, MD, MPH",Yale-Griffin Prevention Reserach Center,,NCT04316429,valentine yanchou njike,valentine,female,0.72,6456,74,NCT04316429,"The Impact of Consumption of Eggs in the Context of Plant-Based Diets on Endothelial Function, Diet Quality, and Cardio-Metabolic Risk Factors in Adults at Risk for Type 2 Diabetes",Recruiting,No Results Available,Type 2 Diabetes|Cardiovascular Diseases,Other: Egg included vegan phase|Other: Vegan Phase,"March 20, 2020","Yale-Griffin Prevention Research Center, Derby, Connecticut, United States",https://ClinicalTrials.gov/show/NCT04316429
Principal Investigator,"Pradana Soewondo, Prof",Fakultas Kedokteran Universitas Indonesia,,NCT04289818,pradana soewondo,pradana,male,1.0,25,75,NCT04289818,"The Effectiveness of ""CARE Coaching Model"" as an Effort to Empower Type 2 Diabetes Mellitus Patients","Active, not recruiting",No Results Available,Diabetes Type 2,Other: Health Coaching,"February 28, 2020","Faculty of Medicine, Universitas Indonesia, Jakarta Pusat, DKI Jakarta, Indonesia",https://ClinicalTrials.gov/show/NCT04289818
Principal Investigator,"Pradana Soewondo, Prof",Fakultas Kedokteran Universitas Indonesia,,NCT04271631,pradana soewondo,pradana,male,1.0,25,168,NCT04271631,"Integration of Education Based-Application and ""CARE Coaching Model"" in Management of Type 2 Diabetes Mellitus Patients Using Insulin","Active, not recruiting",No Results Available,"Diabetes Mellitus, Type 2",Other: Mobile Application-Based Diabetes Education|Other: Health Coaching,"February 17, 2020","Faculty of Medicine, Universitas Indonesia, Jakarta Pusat, DKI Jakarta, Indonesia",https://ClinicalTrials.gov/show/NCT04271631
Principal Investigator,"Paolo Fiorina, MD, PhD",University of Milan,,NCT04272359,paolo fiorina,paolo,male,0.99,102713,77,NCT04272359,Substitution of Sulfonylureas With New Generation of Hypoglycemic Drugs for the Treatment of Type 2 Diabetes Mellitus,Recruiting,No Results Available,"T2DM (Type 2 Diabetes Mellitus)|Diet, Healthy|Renal Function Disorder|Albuminuria",Drug: Sulfa-zero: possible benefits of the treatment of new generation hypoglycaemic drugs compared to sulphonylureas,"February 17, 2020","ASST FBF-Sacco P.O. Sacco/Fatebenefratelli e Oftalmico, Milano, Italy",https://ClinicalTrials.gov/show/NCT04272359
Principal Investigator,"Paolo Fiorina, MD, PhD",University of Milan,,NCT04365517,paolo fiorina,paolo,male,0.99,102713,266,NCT04365517,The Effect of Sitagliptin Treatment in COVID-19 Positive Diabetic Patients,Not yet recruiting,No Results Available,"Covid19|Diabetes Mellitus, Type 2|CKD",Drug: Sitagliptin,"April 28, 2020","ASST FBF Sacco, Milan, Italy",https://ClinicalTrials.gov/show/NCT04365517
Principal Investigator,"Yi-Hsiang Huang, Ph.D","Taipei Veterans General Hospital, Taiwan",,NCT04349696,yi-hsiang huang,yi-hsiang,male,0.75,4,80,NCT04349696,Pharmacokinetic and Pharmacodynamic Study of Glufast Tablets 10mg(Mitiglinide),Completed,No Results Available,Type 2 Diabetes Mellitus|Liver Dysfunction,Drug: Mitiglinide,"April 16, 2020","Chiayi Chang Gung Memorial Hospital, Chiayi City, Taiwan|Taipei Veterans General Hospital, Taipei, Taiwan",https://ClinicalTrials.gov/show/NCT04349696
Principal Investigator,"Wei-Ming Chen, MD",Chang Gung Memorial Hospital,,NCT04349696,wei-ming chen,wei-ming,male,1.0,5,80,NCT04349696,Pharmacokinetic and Pharmacodynamic Study of Glufast Tablets 10mg(Mitiglinide),Completed,No Results Available,Type 2 Diabetes Mellitus|Liver Dysfunction,Drug: Mitiglinide,"April 16, 2020","Chiayi Chang Gung Memorial Hospital, Chiayi City, Taiwan|Taipei Veterans General Hospital, Taipei, Taiwan",https://ClinicalTrials.gov/show/NCT04349696
Principal Investigator,"Marc Y Donath, Prof. Dr. MD","University Hospital, Basel, Switzerland",,NCT04227769,marc y donath,marc,male,0.99,116213,82,NCT04227769,IL-1-receptor Antagonist During Cephalic Phase of Insulin Secretion in Health and Type 2 Diabetes,Recruiting,No Results Available,Diabetes Mellitus Type 2 in Obese|Inflammation|Metabolic Disease|Glucose Metabolism Disorders (Including Diabetes Mellitus),Drug: Anakinra Prefilled Syringe,"January 14, 2020","University Hospital Basel, Basel, Basel BS, Switzerland",https://ClinicalTrials.gov/show/NCT04227769
