role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,NCT Number,Title,Status,Study Results,Conditions,Interventions,First Posted,Locations,URL
Principal Investigator,Nuriye Kupeli,"Marie Curie Palliative Care Research Department, UCL",,NCT04386668,nuriye kupeli,nuriye,female,0.97,1069,4,NCT04386668,Let It Out (LIO) and COVID19: Testing an Online Emotional Disclosure-based Intervention During the COVID19 Pandemic,Not yet recruiting,No Results Available,COVID19,Other: Let It Out (LIO)-C|Other: Neutral writing control,"May 13, 2020",,https://ClinicalTrials.gov/show/NCT04386668
Principal Investigator,"M.Sc. Mahmoud Elkazzaz, M.Sc.in Biochemistry",Damitta University,,NCT04396067,mahmoud elkazzaz,mahmoud,male,0.98,21229,5,NCT04396067,Combination With Inhibitor of Neutrophil Elastase (All-trans Retinoic Acid ) and Isotretinoin May Enhances Neutralizing Antibodies in COVID -19 Infected Patients Better Than COVID-19 Inactivated Vaccines,Not yet recruiting,No Results Available,COVID -19,Drug: Aerosolized 13 cis retinoic acid|Drug: Aerosolized All trans retinoic acid|Other: Placebo,"May 20, 2020",,https://ClinicalTrials.gov/show/NCT04396067
Principal Investigator,"M.Sc. Mahmoud Elkazzaz, M.Sc.Biochemistry","Faculty of Science, Damietta University",,NCT04353180,mahmoud elkazzaz,mahmoud,male,0.98,21229,94,NCT04353180,Assessment the Activity Value of 13- Cis-Retinoic Acid (Isotretinoin) in the Treatment of COVID-19 (Randomized),Not yet recruiting,No Results Available,COVID19,Drug: Drug Isotretinoin (13 cis retinoic acid ) capsules+standard treatment|Drug: Isotretinoin(Aerosolized 13 cis retinoic acid) +standard treatment|Drug: Standard treatment,"April 20, 2020","Faculty of Medicine, Kafr El-sheikh University, Cairo, Kafr El-sheikh, Egypt|Faculty of Medicine, Kafr El-sheikh University, Cairo, Egypt",https://ClinicalTrials.gov/show/NCT04353180
Study Chair,"Dr.Tamer Hydara, Lecturer of Internal Medicine","Faculty of Medicine, Kafr Elshiekh University",,NCT04353180,tamer hydara,tamer,male,0.97,15379,94,NCT04353180,Assessment the Activity Value of 13- Cis-Retinoic Acid (Isotretinoin) in the Treatment of COVID-19 (Randomized),Not yet recruiting,No Results Available,COVID19,Drug: Drug Isotretinoin (13 cis retinoic acid ) capsules+standard treatment|Drug: Isotretinoin(Aerosolized 13 cis retinoic acid) +standard treatment|Drug: Standard treatment,"April 20, 2020","Faculty of Medicine, Kafr El-sheikh University, Cairo, Kafr El-sheikh, Egypt|Faculty of Medicine, Kafr El-sheikh University, Cairo, Egypt",https://ClinicalTrials.gov/show/NCT04353180
Principal Investigator,"M.Sc. Mahmoud Elkazzaz, M.Sc.Biochemistry",General Organization of Export and Import control system,,NCT04382950,mahmoud elkazzaz,mahmoud,male,0.98,21229,112,NCT04382950,Combination of Recombinant Bacterial ACE2 Receptors -Like Enzyme of B38-CAP and Isotretinoin Could be Promising COVID-19 Infection- and Lung Injury Preventing Drug Better Than Recombinant Human ACE2,Not yet recruiting,No Results Available,COVID,Combination Product: Recombinant Bacterial ACE2 receptors -like enzyme of B38-CAP (rbACE2) plus Aerosolized 13 cis retinoic acid,"May 11, 2020",,https://ClinicalTrials.gov/show/NCT04382950
Principal Investigator,"M.Sc. Mahmoud Elkazzaz, M.Sc.Biochemistry",General Organization of Export and Import control system,,NCT04375046,mahmoud elkazzaz,mahmoud,male,0.98,21229,188,NCT04375046,Recombinant Bacterial ACE2 Receptors -Like Enzyme of B38-CAP Could be Promising COVID-19 Infection- and Lung Injury Preventing Drug Better Than Recombinant Human ACE2,Not yet recruiting,No Results Available,COVID-19,Drug: Recombinant Bacterial ACE2 receptors -like enzyme of B38-CAP (rbACE2),"May 5, 2020",,https://ClinicalTrials.gov/show/NCT04375046
Study Chair,"M.Sc. Mahmoud Elkazzaz, M.Sc.in Biochemistry",Damitta University,,NCT04371822,mahmoud elkazzaz,mahmoud,male,0.98,21229,615,NCT04371822,Efficacy of Sunlight Activated Synthetic Porphyrin in COVID-19 Infected Patients,Not yet recruiting,No Results Available,COVID-19,Drug: SnPP Protoporphyrin plus Sunlight exposure|Drug: Sulfonatoporphyrin(TPPS) plus Sunlight exposure.|Other: placebo,"May 1, 2020","Kafr El-sheikh University, Cairo, Kafr El-sheikh, Egypt",https://ClinicalTrials.gov/show/NCT04371822
Study Chair,"Mahmoud Tantawy, MD",Misr University for Science and Technology,,NCT04323345,mahmoud tantawy,mahmoud,male,0.98,21229,1388,NCT04323345,Efficacy of Natural Honey Treatment in Patients With Novel Coronavirus,Recruiting,No Results Available,COVID-19,Dietary Supplement: Natural Honey|Other: Standard Care,"March 26, 2020","Mahmoud Tantawy, Cairo, Egypt",https://ClinicalTrials.gov/show/NCT04323345
Principal Investigator,"Mahmoud El-Bendary, M.D",Mansoura University,,NCT04390269,mahmoud el-bendary,mahmoud,male,0.98,21229,1882,NCT04390269,Immunogenetics Predictors With COVID-19,Not yet recruiting,No Results Available,Genetic Predisposition to Disease,,"May 15, 2020","Mansoura Faculty of Medicine, Mansoura, Dakahlyia, Egypt",https://ClinicalTrials.gov/show/NCT04390269
Principal Investigator,"Mahmoud Alalfy, PhD","Algezeera hospitaland National Research Centre ,Egypt",,NCT04393415,mahmoud alalfy,mahmoud,male,0.98,21229,2026,NCT04393415,Using PRP and Cord Blood in Treatment of Covid -19,Not yet recruiting,No Results Available,Virus,Combination Product: stem cells,"May 19, 2020","Aljazeera( Al Gazeera) hospital, Giza, Egypt",https://ClinicalTrials.gov/show/NCT04393415
Principal Investigator,"Mahmoud Alalfy, PhD","Algezeera hospitaland National Research Centre ,Egypt",,NCT04427813,mahmoud alalfy,mahmoud,male,0.98,21229,2040,NCT04427813,Sexual Health and Problems During the Covid -19 Infection,Not yet recruiting,No Results Available,Sexual Behavior,Behavioral: questionaire to husband and wife,"June 11, 2020","Algazeerah, Giza, Egypt",https://ClinicalTrials.gov/show/NCT04427813
Principal Investigator,"Regan N Theiler, MD, PhD",Mayo Clinic,,NCT04379284,regan n theiler,regan,male,0.76,443,6,NCT04379284,Risks of COVID19 in the Pregnant Population,Not yet recruiting,No Results Available,COVID19,Other: Biospecimen collection,"May 7, 2020","Mayo Clinic in Rochester, Rochester, Minnesota, United States",https://ClinicalTrials.gov/show/NCT04379284
Principal Investigator,"Anca Askanase, MD, MPH",Columbia University,,NCT04349371,anca askanase,anca,female,0.96,9304,7,NCT04349371,Saved From COVID-19,Recruiting,No Results Available,COVID,Drug: Chloroquine|Drug: Placebo oral tablet,"April 16, 2020","Columbia University Irving Medical Center/NYP, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04349371
Principal Investigator,"Tamer A Elhadidy, MD",assistant professor,,NCT04388436,tamer a elhadidy,tamer,male,0.97,15379,10,NCT04388436,Post Covid-19 Cardiopulmonary and Immunological Changes,"Active, not recruiting",No Results Available,COVID,,"May 14, 2020","Mansoura faculty of medicine, Mansoura, Dakahlia, Egypt",https://ClinicalTrials.gov/show/NCT04388436
Principal Investigator,"Sherief Abd-Elsalam, ass. prof.",Tanta University Faculty of medicine,,NCT04345419,sherief abd-elsalam,sherief,male,0.98,150,12,NCT04345419,A Real-life Experience on Treatment of Patients With COVID 19,Recruiting,No Results Available,COVID,Drug: Chloroquine|Drug: Favipiravir|Drug: Nitazoxanide|Drug: Ivermectin|Drug: Niclosamide|Drug: Other drugs,"April 14, 2020","Tanta university hospital, Tanta, Egypt",https://ClinicalTrials.gov/show/NCT04345419
Study Director,"Eslam Saber, ass. lect",Tanta University Faculty of medicine,,NCT04345419,eslam saber,eslam,male,0.97,2682,12,NCT04345419,A Real-life Experience on Treatment of Patients With COVID 19,Recruiting,No Results Available,COVID,Drug: Chloroquine|Drug: Favipiravir|Drug: Nitazoxanide|Drug: Ivermectin|Drug: Niclosamide|Drug: Other drugs,"April 14, 2020","Tanta university hospital, Tanta, Egypt",https://ClinicalTrials.gov/show/NCT04345419
Study Chair,"Mai Khalaf, ass. lect.",Tanta University Faculty of medicine,,NCT04345419,mai khalaf,mai,female,0.84,7369,12,NCT04345419,A Real-life Experience on Treatment of Patients With COVID 19,Recruiting,No Results Available,COVID,Drug: Chloroquine|Drug: Favipiravir|Drug: Nitazoxanide|Drug: Ivermectin|Drug: Niclosamide|Drug: Other drugs,"April 14, 2020","Tanta university hospital, Tanta, Egypt",https://ClinicalTrials.gov/show/NCT04345419
Principal Investigator,"sherief Abd-Elsalam, Ass. Prof.",ass. Prof. Tropical Medicine,,NCT04403555,sherief abd-elsalam,sherief,male,0.98,150,65,NCT04403555,Ivermectin and Doxycycine in COVID-19 Treatment,Not yet recruiting,No Results Available,COVID,Drug: Ivermectin|Drug: Doxycycline|Drug: Chloroquine,"May 27, 2020","Sherief Abd-Elsalam, Tanta, Egypt",https://ClinicalTrials.gov/show/NCT04403555
Principal Investigator,"sherief Abd-Elsalam, Ass. Prof.",Tanta University - Faculty of Medicine,,NCT04351295,sherief abd-elsalam,sherief,male,0.98,150,71,NCT04351295,Efficacy of Faviprevir in COVID-19 Treatment,Not yet recruiting,No Results Available,COVID,Drug: Favipiravir|Drug: Placebos,"April 17, 2020","Tanta University, Tanta, Egypt",https://ClinicalTrials.gov/show/NCT04351295
Principal Investigator,"Sherief Abd-Elsalam, ass. prof.",Tanta University Faculty of medicine,,NCT04345406,sherief abd-elsalam,sherief,male,0.98,150,74,NCT04345406,Angiotensin Converting Enzyme Inhibitors in Treatment of Covid 19,Not yet recruiting,No Results Available,COVID,Drug: ACEIs|Drug: Conventional treatment,"April 14, 2020","Tanta University, Tanta, Egypt",https://ClinicalTrials.gov/show/NCT04345406
Principal Investigator,"sherief Abd-Elsalam, Ass. Prof.",Tanta University - Faculty of Medicine,,NCT04351347,sherief abd-elsalam,sherief,male,0.98,150,83,NCT04351347,The Efficacy of Ivermectin and Nitazoxanide in COVID-19 Treatment,Recruiting,No Results Available,COVID,Drug: Ivermectin|Drug: Nitazoxanide with ivermectin|Drug: Ivermectin wth chloroquine,"April 17, 2020","Tanta University, Tanta, Egypt",https://ClinicalTrials.gov/show/NCT04351347
Principal Investigator,"sherief Abd-Elsalam, Ass. Prof.",ass. Prof. Tropical Medicine,,NCT04447534,sherief abd-elsalam,sherief,male,0.98,150,86,NCT04447534,Zinc With Chloroquine/Hydroxychloroquine in Treatment of COVID-19,Recruiting,No Results Available,COVID,Drug: Chloroquine|Drug: zinc,"June 25, 2020","Tanta university hospital, Tanta, Egypt",https://ClinicalTrials.gov/show/NCT04447534
Principal Investigator,"sherief Abd-Elsalam, Ass. Prof.",ass. Prof. Tropical Medicine,,NCT04382846,sherief abd-elsalam,sherief,male,0.98,150,439,NCT04382846,Novel Regimens in COVID-19 Treatment,Not yet recruiting,No Results Available,COVID|Corona Virus Infection,Drug: Nitazoxanide|Drug: Ivermectin|Drug: Chloroquine|Drug: Azithromycin,"May 11, 2020",,https://ClinicalTrials.gov/show/NCT04382846
Principal Investigator,"sherief Abd-Elsalam, Ass. Prof.",Tanta University - Faculty of Medicine,,NCT04353336,sherief abd-elsalam,sherief,male,0.98,150,1128,NCT04353336,Efficacay of Chloroquine in COVID-19 Treatment,Recruiting,No Results Available,COVID-19|Coronavirus Infection,Drug: Chloroquine,"April 20, 2020","Tanta University, Tanta, Egypt",https://ClinicalTrials.gov/show/NCT04353336
Principal Investigator,Vishwesh Kulkarni,University of Warwick,,NCT04354753,vishwesh kulkarni,vishwesh,male,1.0,24,14,NCT04354753,AiM COVID for Covid 19 Tracking and Prediction,Completed,No Results Available,COVID 19,Other: No Intervention,"April 21, 2020","Aarogyam (UK), Leicester, United Kingdom",https://ClinicalTrials.gov/show/NCT04354753
Principal Investigator,"Federica Picariello, PhD",King's College London,,NCT04408157,federica picariello,federica,female,0.99,56361,15,NCT04408157,A Research Study to Evaluate the Benefits of a Self-management Booklet to Promote Wellbeing During the COVID-19 Pandemic,Not yet recruiting,No Results Available,COVID,Behavioral: Self-management booklet (SWitCh: Stay well during COVID-19),"May 29, 2020",,https://ClinicalTrials.gov/show/NCT04408157
Study Chair,"Federica Marelli-Berg, PhD",Queen Mary University of London,,NCT04340921,federica marelli-berg,federica,female,0.99,56361,1255,NCT04340921,The Role of Adaptive Immunity in COVID-19 Associated Myocardial Injury,Recruiting,No Results Available,Cardiovascular Disease Acute|Cardiomyopathies|COVID,Biological: COVID-19 exposure,"April 10, 2020","Barts Health Nhs Trust, London, United Kingdom",https://ClinicalTrials.gov/show/NCT04340921
Principal Investigator,"Sam (Saidi) Mohiddin, MD",Barts & The London NHS Trust,,NCT04340921,sam (saidi) mohiddin,sam,male,0.81,96261,1255,NCT04340921,The Role of Adaptive Immunity in COVID-19 Associated Myocardial Injury,Recruiting,No Results Available,Cardiovascular Disease Acute|Cardiomyopathies|COVID,Biological: COVID-19 exposure,"April 10, 2020","Barts Health Nhs Trust, London, United Kingdom",https://ClinicalTrials.gov/show/NCT04340921
Principal Investigator,"Michael Farkouh, MD, MSc",Peter Munk Cardiac Centre; University Health Network; University of Toronto,,NCT04404218,michael farkouh,michael,male,0.99,245870,16,NCT04404218,The Açaí Berry COVID-19 Anti-Inflammation Trial,Not yet recruiting,No Results Available,COVID,Dietary Supplement: Açaí palm berry extract - natural product|Other: Placebo,"May 27, 2020",,https://ClinicalTrials.gov/show/NCT04404218
Principal Investigator,"Ana Andreazza, PhD",Department of Pharmacology & Toxicology; University of Toronto,,NCT04404218,ana andreazza,ana,female,0.98,273767,16,NCT04404218,The Açaí Berry COVID-19 Anti-Inflammation Trial,Not yet recruiting,No Results Available,COVID,Dietary Supplement: Açaí palm berry extract - natural product|Other: Placebo,"May 27, 2020",,https://ClinicalTrials.gov/show/NCT04404218
Principal Investigator,"Michael F Holick, PhD,MD",Boston University,,NCT04386850,michael f holick,michael,male,0.99,245870,87,NCT04386850,Oral 25-hydroxyvitamin D3 and COVID-19,Recruiting,No Results Available,COVID 19,Drug: Oral 25-Hydroxyvitamin D3,"May 13, 2020","Tehran University of Medical Sciences, Tehran, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04386850
Study Chair,"Mohamadali Sahraian, MD",Tehran University of Medical Sciences,,NCT04386850,mohamadali sahraian,mohamadali,male,0.93,28,87,NCT04386850,Oral 25-hydroxyvitamin D3 and COVID-19,Recruiting,No Results Available,COVID 19,Drug: Oral 25-Hydroxyvitamin D3,"May 13, 2020","Tehran University of Medical Sciences, Tehran, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04386850
Principal Investigator,"zhila Maghbooli, PhD",Tehran University of Medical Sciences,,NCT04386850,zhila maghbooli,zhila,female,0.92,49,87,NCT04386850,Oral 25-hydroxyvitamin D3 and COVID-19,Recruiting,No Results Available,COVID 19,Drug: Oral 25-Hydroxyvitamin D3,"May 13, 2020","Tehran University of Medical Sciences, Tehran, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04386850
Principal Investigator,"Arash Shirvani, MD, PhD",Boston University,,NCT04386850,arash shirvani,arash,male,0.98,6033,87,NCT04386850,Oral 25-hydroxyvitamin D3 and COVID-19,Recruiting,No Results Available,COVID 19,Drug: Oral 25-Hydroxyvitamin D3,"May 13, 2020","Tehran University of Medical Sciences, Tehran, Iran, Islamic Republic of",https://ClinicalTrials.gov/show/NCT04386850
Principal Investigator,"Michael Joyner, MD",Mayo Clinic,,NCT04338360,michael joyner,michael,male,0.99,245870,124,NCT04338360,Expanded Access to Convalescent Plasma for the Treatment of Patients With COVID-19,Available,No Results Available,COVID19,Biological: COVID-19 convalescent plasma,"April 8, 2020","Mayo Clinic in Arizona, Scottsdale, Arizona, United States|Mayo Clinic in Florida, Jacksonville, Florida, United States|Mayo Clinic Health System in Albert Lea, Albert Lea, Minnesota, United States|Mayo Clinic Health System in Austin, Austin, Minnesota, United States|Mayo Clinic Health System in Cannon Falls, Cannon Falls, Minnesota, United States|Mayo Clinic Health System in Lake City, Lake City, Minnesota, United States|Mayo Clinic Health System in Mankato, Mankato, Minnesota, United States|Mayo Clinic Health System in Owatonna, Owatonna, Minnesota, United States|Mayo Clinic Health System in Red Wing, Red Wing, Minnesota, United States|Mayo Clinic in Rochester, Rochester, Minnesota, United States|Mayo Clinic Health System - Eau Claire, Eau Claire, Wisconsin, United States|Mayo Clinic Health System - Franciscan Healthcare, La Crosse, Wisconsin, United States",https://ClinicalTrials.gov/show/NCT04338360
Study Director,"Michael D Hill, MD",University of Calgary,,NCT04329611,michael d hill,michael,male,0.99,245870,181,NCT04329611,ALBERTA HOPE COVID-19 for the Prevention of Severe COVID19 Disease,Suspended,No Results Available,COVID-19,Drug: Hydroxychloroquine,"April 1, 2020","University of Calgary/Foothills Medical Centre, Calgary, Alberta, Canada|University of Alberta, Edmonton, Alberta, Canada",https://ClinicalTrials.gov/show/NCT04329611
Principal Investigator,"Luanne Metz, MD",University of Calgary,,NCT04329611,luanne metz,luanne,female,0.97,101,181,NCT04329611,ALBERTA HOPE COVID-19 for the Prevention of Severe COVID19 Disease,Suspended,No Results Available,COVID-19,Drug: Hydroxychloroquine,"April 1, 2020","University of Calgary/Foothills Medical Centre, Calgary, Alberta, Canada|University of Alberta, Edmonton, Alberta, Canada",https://ClinicalTrials.gov/show/NCT04329611
Principal Investigator,"Michael S. Avidan, MBBCh",Washington Univeristy School of Medicine,,NCT04333732,michael s. avidan,michael,male,0.99,245870,277,NCT04333732,CROWN CORONATION: Chloroquine RepurpOsing to healthWorkers for Novel CORONAvirus mitigaTION,Not yet recruiting,No Results Available,COVID 19,Drug: Low-dose chloroquine|Drug: Mid-dose chloroquine|Drug: High-dose chloroquine|Drug: Placebo,"April 3, 2020","Washington University School of Medicine, Saint Louis, Missouri, United States|Population Health Resarch Institute, Hamilton, Ontario, Canada|University of Toronto, Toronto, Ontario, Canada|St James's Hospital, Dublin, Leinster, Ireland|Universitas Academic Hospital, Bloemfontein, Free State, South Africa|Wits RHI, University of the Witwatersrand, Johannesburg, Gauteng, South Africa|Steve Biko Academic Hospital, Pretoria, Gauteng, South Africa|Tygerberg Hospital, Cape Town, Western Cape, South Africa|Groote Schuur Hospital, Cape Town, Western Cape, South Africa|University College London, London, United Kingdom|Levy Mwanawasa University Teaching Hospital, Lusaka, Zambia|Centre for Infectious Disease Research in Zambia [CIDRZ], Lusaka, Zambia",https://ClinicalTrials.gov/show/NCT04333732
Principal Investigator,"Ramani Moonesinghe, MD","University College, London",,NCT04333732,ramani moonesinghe,ramani,female,0.5,96,277,NCT04333732,CROWN CORONATION: Chloroquine RepurpOsing to healthWorkers for Novel CORONAvirus mitigaTION,Not yet recruiting,No Results Available,COVID 19,Drug: Low-dose chloroquine|Drug: Mid-dose chloroquine|Drug: High-dose chloroquine|Drug: Placebo,"April 3, 2020","Washington University School of Medicine, Saint Louis, Missouri, United States|Population Health Resarch Institute, Hamilton, Ontario, Canada|University of Toronto, Toronto, Ontario, Canada|St James's Hospital, Dublin, Leinster, Ireland|Universitas Academic Hospital, Bloemfontein, Free State, South Africa|Wits RHI, University of the Witwatersrand, Johannesburg, Gauteng, South Africa|Steve Biko Academic Hospital, Pretoria, Gauteng, South Africa|Tygerberg Hospital, Cape Town, Western Cape, South Africa|Groote Schuur Hospital, Cape Town, Western Cape, South Africa|University College London, London, United Kingdom|Levy Mwanawasa University Teaching Hospital, Lusaka, Zambia|Centre for Infectious Disease Research in Zambia [CIDRZ], Lusaka, Zambia",https://ClinicalTrials.gov/show/NCT04333732
Principal Investigator,"Helen Rees, MD",Wits University,,NCT04333732,helen rees,helen,female,0.98,32058,277,NCT04333732,CROWN CORONATION: Chloroquine RepurpOsing to healthWorkers for Novel CORONAvirus mitigaTION,Not yet recruiting,No Results Available,COVID 19,Drug: Low-dose chloroquine|Drug: Mid-dose chloroquine|Drug: High-dose chloroquine|Drug: Placebo,"April 3, 2020","Washington University School of Medicine, Saint Louis, Missouri, United States|Population Health Resarch Institute, Hamilton, Ontario, Canada|University of Toronto, Toronto, Ontario, Canada|St James's Hospital, Dublin, Leinster, Ireland|Universitas Academic Hospital, Bloemfontein, Free State, South Africa|Wits RHI, University of the Witwatersrand, Johannesburg, Gauteng, South Africa|Steve Biko Academic Hospital, Pretoria, Gauteng, South Africa|Tygerberg Hospital, Cape Town, Western Cape, South Africa|Groote Schuur Hospital, Cape Town, Western Cape, South Africa|University College London, London, United Kingdom|Levy Mwanawasa University Teaching Hospital, Lusaka, Zambia|Centre for Infectious Disease Research in Zambia [CIDRZ], Lusaka, Zambia",https://ClinicalTrials.gov/show/NCT04333732
Principal Investigator,"Michael C Sneller, M.D.",National Institute of Allergy and Infectious Diseases (NIAID),,NCT04411147,michael c sneller,michael,male,0.99,245870,429,NCT04411147,A Longitudinal Study of COVID-19 Sequelae and Immunity,Recruiting,No Results Available,COVID-19,,"June 2, 2020","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",https://ClinicalTrials.gov/show/NCT04411147
Principal Investigator,"Michael J Borrie, MB ChB",Lawson Health Research Institute,,NCT04397328,michael j borrie,michael,male,0.99,245870,457,NCT04397328,COVID-19 PEP- High-risk Individuals in Long-term and Specialized Care - Canada,Not yet recruiting,No Results Available,COVID-19,Drug: Hydroxychloroquine|Drug: Placebo,"May 21, 2020",,https://ClinicalTrials.gov/show/NCT04397328
Principal Investigator,"Michael Runyon, MD, MPH",Atrium Health,,NCT04361123,michael runyon,michael,male,0.99,245870,514,NCT04361123,Atrium COVID-19 Syndromic and Serologic Surveillance,Enrolling by invitation,No Results Available,Coronavirus|COVID,Other: daily syndromic surveillance|Diagnostic Test: monthly serologic IgM/G test,"April 24, 2020","Atrium Health, Charlotte, North Carolina, United States",https://ClinicalTrials.gov/show/NCT04361123
Principal Investigator,"Michael Millis, MD",University of Chicago,,NCT04361214,michael millis,michael,male,0.99,245870,552,NCT04361214,Leflunomide in Mild COVID-19 Patients,Recruiting,No Results Available,COVID-19,Drug: Leflunomide,"April 24, 2020","University of Chicago, Chicago, Illinois, United States",https://ClinicalTrials.gov/show/NCT04361214
Principal Investigator,"Michael Gordon, MD",HonorHealth Research Institute,,NCT04339426,michael gordon,michael,male,0.99,245870,678,NCT04339426,Atovaquone and Azithromycin Combination for Confirmed COVID-19 Infection,Recruiting,No Results Available,Covid19,Drug: Atovaquone/Azithromycin,"April 9, 2020","HonorHealth, Scottsdale, Arizona, United States",https://ClinicalTrials.gov/show/NCT04339426
Principal Investigator,"Michael Fralick, MD, PhD",Sinai Health System,,NCT04383613,michael fralick,michael,male,0.99,245870,794,NCT04383613,Prone Positioning for Patients on General Medical Wards With COVID19,Recruiting,No Results Available,Covid-19|ARDS,Other: Prone positioning,"May 12, 2020","William Osler Health System, Brampton, Ontario, Canada|William Osler Health System, Etobicoke, Ontario, Canada|Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada|Sinai Health System, Toronto, Ontario, Canada|Toronto General Hospital, Toronto, Ontario, Canada|Toronto Western Hospital, Toronto, Ontario, Canada",https://ClinicalTrials.gov/show/NCT04383613
