role,name,affiliation,address,trial_id,processed_name,first_name
Principal Investigator,"Leonard E Egede, MD",Medical College of Wisconsin,,NCT04181424,leonard e egede,leonard
Principal Investigator,"Rebekah J Walker, PhD",Medical College of Wisconsin,,NCT04181424,rebekah j walker,rebekah
Principal Investigator,"Sathyapalan Thozhukat, MBBS MD","University of Hull, UK",,NCT04031417,sathyapalan thozhukat,sathyapalan
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT03861052,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Principal Investigator,"Siu Wai Maggie LAU, MPhil",Chinese Univeristy of Hong Kong,,NCT04092569,siu wai maggie lau,siu
Principal Investigator,"Zhenqi Liu, MD","University of Virginia, Department of Endocrinoolgy",,NCT03883412,zhenqi liu,zhenqi
Principal Investigator,"Paul Coen, PhD",Principal Investigator,,NCT04057677,paul coen,paul
Principal Investigator,"Jan Eriksson, MD",Uppsala University,,NCT03982381,jan eriksson,jan
Principal Investigator,Quanying Zhang,Second Affiliated Hospital of Suzhou University,,NCT04001231,quanying zhang,quanying
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT03987919,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT04093752,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Principal Investigator,"Xiaoying Li, MD",Fudan University,,NCT04053959,xiaoying li,xiaoying
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT04039503,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Principal Investigator,"Miguel Angel Gomez Samano, MD",Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,,NCT04090580,miguel angel gomez samano,miguel
Principal Investigator,Jonathan Chemouny,Rennes University Hospital,,NCT04006028,jonathan chemouny,jonathan
Study Director,"Fernando Grover Paez, PhD","Institute of Experimental and Clinical Therapeutics (INTEC), CUCS",,NCT04195243,fernando grover paez,fernando
Principal Investigator,Katherine Esposito,"University of Campania ""Luigi Vanvitelli""",,NCT03918148,katherine esposito,katherine
Study Director,Dario Giugliano,"University of Campania ""Luigi Vanvitelli""",,NCT03918148,dario giugliano,dario
Study Chair,"Dr.Ramachandran Ambady, MD,PhD,DSc","President, India Diabetes Research Foundation",,NCT03901248,ramachandran ambady,ramachandran
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT04153981,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Principal Investigator,Oliver Klein,Profil Institut fur Stoffwechselforschung GmbH,,NCT04100473,oliver klein,oliver
Principal Investigator,"Zubin Punthakee, MD",McMaster University,,NCT03862716,zubin punthakee,zubin
Study Chair,"Hertzel Gerstein, MD",McMaster University,,NCT03862716,hertzel gerstein,hertzel
Study Director,Jianhua Ma,"Nanjing First Hospital, Affiliated to Nanjing Medical University",,NCT04120623,jianhua ma,jianhua
Principal Investigator,"Phuong Thi-Bich Le, MSc-MD","Stem Cell Unit, Van Hanh General Hospital",,NCT03943940,phuong thi-bich le,phuong
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT03952143,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Principal Investigator,"Peter J Huckfeldt, PhD",University of Minnesota,,NCT03952728,peter j huckfeldt,peter
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT03882970,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT03861039,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Principal Investigator,HaiYan Li,Peking University Third Hospital,,NCT03973515,haiyan li,haiyan
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT03954834,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Study Director,"Orville Kolterman, MD",Whole Biome,,NCT04047537,orville kolterman,orville
Principal Investigator,"Orville G Kolterman, MD",Pendulum Therapeutics,,NCT03893422,orville g kolterman,orville
Principal Investigator,"Bimal Shah, MD, MBA",Livongo Health,,NCT03980236,bimal shah,bimal
Principal Investigator,"Ronald M. Goldenberg, MD",LMC Clinical Research Inc.,,NCT03813316,ronald m. goldenberg,ronald
Principal Investigator,"Frankie B Stentz, PhD",University of Tennessee Health Science Center,,NCT03832725,frankie b stentz,frankie
Study Director,"Yi-lin Zhao, principal",Zhongshan Hospital Xiamen University,,NCT04127084,yi-lin zhao,yi-lin
Principal Investigator,"Nazire Nur Yıldız, PT",AYBU Institute of Health Sciences Department of Physiotherapy and Rehabilitation Master Program/Master Degree Student,,NCT03885869,nazire nur yıldız,nazire
Study Director,Dan Lee,"Neuraly, Inc.",,NCT04159766,dan lee,dan
Principal Investigator,"Barakatun Nisak Mohd. Yusof, PhD",Universiti Putra Malaysia,,NCT04190199,barakatun nisak mohd. yusof,barakatun
Principal Investigator,"Farah Yasmin Hasbullah, MSc",Universiti Putra Malaysia,,NCT04190199,farah yasmin hasbullah,farah
Principal Investigator,"Geeta Appannah, PhD",Universiti Putra Malaysia,,NCT04190199,geeta appannah,geeta
Principal Investigator,"Rohana Abdul Ghani, PhD",Universiti Teknologi Mara (UiTM),,NCT04190199,rohana abdul ghani,rohana
Principal Investigator,"Zulfitri 'Azuan Mat Daud, PhD",Universiti Putra Malaysia,,NCT04190199,zulfitri 'azuan mat daud,zulfitri
Principal Investigator,"Winnie Chee, PhD",International Medical University (IMU),,NCT04190199,winnie chee,winnie
Study Director,Nai-Jen Chang,Kaohsiung Medical University Department of Sports Medicine professor,,NCT04026139,nai-jen chang,nai-jen
Principal Investigator,"Carel Le Roux, MD PhD",UCD,,NCT04149951,carel le roux,carel
Principal Investigator,"Eugene J Barrett, MD PhD",University of Virginia,,NCT04203927,eugene j barrett,eugene
Principal Investigator,"Stuart C Chipkin, MD","University of Massachusetts Amherst, Department of Kinesiology",,NCT03940937,stuart c chipkin,stuart
Principal Investigator,"Chao Zheng, MD,PhD",the Second Affiliated Hospital Zhejiang University Schoolof Medicine,,NCT04146155,chao zheng,chao
Principal Investigator,"Youjin Pan, MD.",Second Affiliated Hospital of Wenzhou Medical University,,NCT04146155,youjin pan,youjin
Principal Investigator,"Xia Li, MD,PhD",Central South University,,NCT04146155,xia li,xia
Principal Investigator,"Li Li, MD.",Ningbo Hospital of Zhejiang University,,NCT04146155,li li,li
Principal Investigator,"Anna Solini, MD, PhD",University of Pisa,,NCT04176276,anna solini,anna
Principal Investigator,Byung Wan Lee,Severance Hospital,,NCT03910361,byung wan lee,byung
Principal Investigator,"Jiten Chhabra, MD, MS",Georgia Institute of Technology,,NCT03926598,jiten chhabra,jiten
Principal Investigator,Michael D Jensen,Mayo Clinic,,NCT03867500,michael d jensen,michael
Principal Investigator,"Olov Rolandsson, Professor",Umeå University,,NCT03877783,olov rolandsson,olov
Principal Investigator,"Jamie Creason, RD",Sansum Diabetes Research Institute,,NCT04016584,jamie creason,jamie
Principal Investigator,Jingya Yan,The University of Hong Kong-Shenzhen Hospital,,NCT04120844,jingya yan,jingya
Principal Investigator,Wei Liang,"The University of Hong Kong - Shenzhen Hospital, Shenzhen, China.",,NCT04120844,wei liang,wei
Principal Investigator,Chen Qingqi,The University of Hong Kong-Shenzhen Hospital,,NCT04120844,chen qingqi,chen
Principal Investigator,Wong Chi Wai William,The University of Hong Kong-Shenzhen Hospital,,NCT04120844,wong chi wai william,wong
Principal Investigator,Jennifer Li,The University of Hong Kong-Shenzhen Hospital,,NCT04120844,jennifer li,jennifer
Principal Investigator,"Qiuhe Ph.D Ji, M.D.","Department of Endocrinology,Xi jing Hospital,Fourth Military Medical University",,NCT03796975,qiuhe ph.d ji,qiuhe
Principal Investigator,"Grégory BAUD, MD","University Hospital, Lille",,NCT03821636,grégory baud,grégory
Principal Investigator,"Karen E Atler, PhD",Colorado State University,,NCT04164030,karen e atler,karen
Principal Investigator,"Jae Hyeon Kim, MD PhD",Samsung Medical Center,,NCT04161170,jae hyeon kim,jae
Study Director,"Keivan Ahmadi, PhD","Associate Professor in Pharmacology & Therapeutics, Lincoln Medical School",,NCT04081766,keivan ahmadi,keivan
Study Director,"Roman Hovorka, PhD",University of Cambridge,,NCT04025775,roman hovorka,roman
Principal Investigator,"Penny M Kris-Etherton, PhD, RDN",Penn State,,NCT03826472,penny m kris-etherton,penny
Principal Investigator,"Ronnie Aronson, MD",LMC Diabetes & Endocrinology,,NCT04175665,ronnie aronson,ronnie
Principal Investigator,"Monica C Skarulis, MD",Hamad Medical Corporation,,NCT04081064,monica c skarulis,monica
Study Chair,"Massimo Federici, Professor",Department of Systems Medicine,,NCT04190160,massimo federici,massimo
Principal Investigator,Gary Frost,Imperial College London,,NCT03949582,gary frost,gary
Study Director,"Paul F Crawford, MD",US Air Force,,NCT03938441,paul f crawford,paul
Principal Investigator,"Saleem A. Banihani, PHD",Jordan University of Science and Technology,,NCT03902288,saleem a. banihani,saleem
Principal Investigator,"John H Kelly, M.D.",Loma Linda University; Black Hills Lifestyle Medicine Center,,NCT03862963,john h kelly,john
Principal Investigator,"Rick Hecht, MD","University of California, San Francisco",,NCT03837405,rick hecht,rick
Principal Investigator,"Elissa Epel, PhD","University of California, San Francisco",,NCT03837405,elissa epel,elissa
Principal Investigator,"Barakatun-Nisak Mohd Yusof, PhD",Universiti Putra Malaysia,,NCT03817099,barakatun-nisak mohd yusof,barakatun-nisak
Principal Investigator,"Wan Zul Haikal Hafiz Wan Zukiman, Mmed",Universiti Putra Malaysia,,NCT03817099,wan zul haikal hafiz wan zukiman,wan
Principal Investigator,"Noraida Omar, PhD",Universiti Putra Malaysia,,NCT03817099,noraida omar,noraida
Principal Investigator,"Zalina Abu Zaid, PhD",Universiti Putra Malaysia,,NCT03817099,zalina abu zaid,zalina
Principal Investigator,"Azrina Azlan, PhD",Universiti Putra Malaysia,,NCT03817099,azrina azlan,azrina
Principal Investigator,"Firdaus Mamat @ Mukhtar, PhD",Universiti Putra Malaysia,,NCT03817099,firdaus mamat @ mukhtar,firdaus
Principal Investigator,"Norhasmah Sulaiman, PhD",Universiti Putra Malaysia,,NCT03817099,norhasmah sulaiman,norhasmah
Principal Investigator,"Siti NurA'syura Adznam, PhD",Universiti Putra Malaysia,,NCT03817099,siti nura'syura adznam,siti
Principal Investigator,"Nur Maziah Hanum Osman, Master",Universiti Putra Malaysia,,NCT03817099,nur maziah hanum osman,nur
Principal Investigator,"Nor Farahain Yahya, Degree",Universiti Putra Malaysia,,NCT03817099,nor farahain yahya,nor
Principal Investigator,"Osama Hamdy, MD, PhD",Joslin Diabetes Centre,,NCT03817099,osama hamdy,osama
Principal Investigator,"Phil Schauer, MD",The Cleveland Clinic,,NCT03955952,phil schauer,phil
Principal Investigator,"Olivier MD, PHD Bourron",Hopital Universitaire La Pitié-Salpêtrière,,NCT03968354,olivier md,olivier
Principal Investigator,"Bo Feldt-Rasmussen, Professor","Department of Nephrology, Rishospitalet, University of Copenhagen",,NCT03826381,bo feldt-rasmussen,bo
Principal Investigator,"Juliana Chan, MD",Chinese University of Hong Kong,,NCT04049149,juliana chan,juliana
Principal Investigator,"Kathryn Tan, MD",The University of Hong Kong,,NCT03959501,kathryn tan,kathryn
Principal Investigator,"Mark Kipnes, M.D.","Diabetes and Glandular Disease Clinic, P.A.",,NCT04125082,mark kipnes,mark
Study Director,"Giorgio Sesti, MD",University Sapienza of Rome,,NCT04183868,giorgio sesti,giorgio
Principal Investigator,Julio Nuñez Villota,Fundación para la Investigación del Hospital Clínico de Valencia,,NCT04197635,julio nuñez villota,julio
Study Director,"Shih Te Tu, MD",Changhua Christian Hospital,,NCT03983551,shih te tu,shih
Principal Investigator,"James Hill, PhD",University of Alabama at Birmingham,,NCT03832933,james hill,james
Principal Investigator,"Isela Juarez Rojop, Ph.D",Universidad Juárez Autonoma de Tabasco,,NCT03978286,isela juarez rojop,isela
Principal Investigator,"Ali K M.Sami, Ph.D.","College of Medicine, University of Sulaimani",,NCT04082351,ali k m.sami,ali
Principal Investigator,"Ji-Young Park, M.D, Ph.D","Korea University Anam Hospital / Seoul, Seongbuk-Gu, South Korea",,NCT04156685,ji-young park,ji-young
Principal Investigator,"Miguel Angel Gómez Sámano, MD",Instituto Nacional de Ciencias Medicas y Nutricion Salvador Zubiran,,NCT04127994,miguel angel gómez sámano,miguel
Principal Investigator,"Giuditta Benincasa, MSc",Clinical Department of Internal Medicine and Specialistics,,NCT03792607,giuditta benincasa,giuditta
Principal Investigator,"Echo Ting Ting Go, Nursing",The University of Hong Kong,,NCT04207541,echo ting ting go,echo
Principal Investigator,"John W Winkelman, MD/PhD",Massachusetts General Hospital,,NCT03818581,john w winkelman,john
Principal Investigator,"Guang Ning, MD, PhD",Shanghai Jiao Tong University School of Medicine,,NCT03839667,guang ning,guang
Principal Investigator,"Christopher C Thompson, MD",Brigham and Women's Hospital,,NCT04101669,christopher c thompson,christopher
Principal Investigator,"Irum Yaqoob, MSNMPT",Riphah International University,,NCT04127448,irum yaqoob,irum
Principal Investigator,"Jessica R Wilson, MD, MS",University of Pennsylvania,,NCT04024631,jessica r wilson,jessica
Principal Investigator,"Lorraine Levitt Katz, MD",Childrens Hospital of Philadelphia,,NCT04024631,lorraine levitt katz,lorraine
Principal Investigator,"Lin Liao, MD",Shandong Provincial Qianfoshan Hospital,,NCT03805191,lin liao,lin
Principal Investigator,"Yuping Zhou, MD",Weihai Municipal Hospital,,NCT03805191,yuping zhou,yuping
Principal Investigator,"Shuguang Pang, MD",Jinan Central Hospital,,NCT03805191,shuguang pang,shuguang
Principal Investigator,"Fei Wang, MD","Huangdao Branch of Affiliated Hospital of Medical College,Qingdao University",,NCT03805191,fei wang,fei
Principal Investigator,"Yongjun Jin, MD",Yantai Branch of Affiliated Binzhou Medical College,,NCT03805191,yongjun jin,yongjun
Principal Investigator,"Tianying Xu, MD",People's hospital of Qihe county,,NCT03805191,tianying xu,tianying
Principal Investigator,"Guangzhen Zhang, MD",Liaocheng People's Hospital,,NCT03805191,guangzhen zhang,guangzhen
Principal Investigator,"Yunfeng Zhang, MD",Linyi lanshan district diabetes hospital,,NCT03805191,yunfeng zhang,yunfeng
Principal Investigator,"Lin Sun, MD",Affiliated hospital of jining medical college,,NCT03805191,lin sun,lin
Principal Investigator,"Dadong Fei, MD",Zaozhuang municipal hospital,,NCT03805191,dadong fei,dadong
Principal Investigator,"Guangling Xu, MD",Guanxian people's hospital of liaocheng city,,NCT03805191,guangling xu,guangling
Principal Investigator,"Emmanuel DISSE, MD, PhD",Centre de Recherche en Nutrition Humaine Rhône-Alpes,,NCT03847701,emmanuel disse,emmanuel
Study Chair,"Martine LAVILLE, MD, PhD",Centre de Recherche en Nutrition Humaine Rhône-Alpes,,NCT03847701,martine laville,martine
Principal Investigator,"Ewan Pearson, FRCP",University of Dundee,,NCT03814915,ewan pearson,ewan
Principal Investigator,"Paul W Franks, PhD",Lund University,,NCT03814915,paul w franks,paul
Study Director,"Mette Rosenkilde, MD",University of Copenhagen,,NCT03867656,mette rosenkilde,mette
Principal Investigator,"Leonard E Egede, MD, MS",Medical College of Wisconsin,,NCT04203173,leonard e egede,leonard
Principal Investigator,"Leonard E Egede, MD, MS",Medical College of Wisconsin,,NCT04203147,leonard e egede,leonard
Principal Investigator,"Vallo Volke, MD, PhD","University of Tartu, Institute of Biomedicine and Translational Medicine",,NCT04151849,vallo volke,vallo
Study Chair,yueying peng,Clinical Medicine Department CSPC R&D Business Division,,NCT03940183,yueying peng,yueying
Principal Investigator,Ching Y Chan,Chinese University of Hong Kong,,NCT04092023,ching y chan,ching
Principal Investigator,"Brittany Smalls, PhD",University of Kentucky,,NCT04210024,brittany smalls,brittany
Principal Investigator,Uthai Suvanakoot,"International Bio Service Co., Ltd.",,NCT04070794,uthai suvanakoot,uthai
Principal Investigator,Uthai Suvanakoot,"International Bio Service Co., Ltd.",,NCT04050098,uthai suvanakoot,uthai
Principal Investigator,"Sung Dae Kwon, M.D., Ph.D.",Metro Hospital,,NCT03944200,sung dae kwon,sung
Principal Investigator,"Sung Dae Kwon, M.D., Ph.D.",Metro Hospital,,NCT03939143,sung dae kwon,sung
Principal Investigator,"Galateia Kazakia, PhD","University of California, San Francisco",,NCT04208230,galateia kazakia,galateia
Study Director,"Ching-Ju Chiu, Ph.D.","Institute of Gerontology, NCKU",,NCT03792399,ching-ju chiu,ching-ju
Principal Investigator,"Ye-Fong Du, M.D.",NCKUH,,NCT03792399,ye-fong du,ye-fong
Study Director,"Filip K Knop, MD, PhD","University Hospital, Gentofte, Copenhagen",,NCT04043065,filip k knop,filip
Study Chair,"Gian Paolo Fadini, MD PhD",University of Padova,,NCT03959865,gian paolo fadini,gian
Principal Investigator,"Renee Pekmezaris, PhD",Feinstein Institute for Medical Research,,NCT03960424,renee pekmezaris,renee
Principal Investigator,"Jill K Hamilton, MD",The Hospital for Sick Children,,NCT04126291,jill k hamilton,jill
Principal Investigator,"Noor N Suleiman, MD",Hamad Medical Corporation,,NCT03998267,noor n suleiman,noor
Principal Investigator,"Kwan Woo Lee, MD, Ph.D",Ajou University School of Medicine,,NCT03793023,kwan woo lee,kwan
Principal Investigator,"Meizi He, PhD",The University of Texas at San Antonio,,NCT03934593,meizi he,meizi
Principal Investigator,"Min Soo Park, Ph.D. M.D.",Severance Hospital,,NCT03849261,min soo park,min
Principal Investigator,"Maria Jocelyn Capuli-Isidro, MD",Makati Medical Center,,NCT04077216,maria jocelyn capuli-isidro,maria
Principal Investigator,"Ma. Cecilia Gonzales, MD",Makati Medical Center,,NCT04077216,ma. cecilia gonzales,ma
Principal Investigator,"Andrea Marie Macabuag-Oliva, MD",Makati Medical Center,,NCT04077216,andrea marie macabuag-oliva,andrea
Principal Investigator,"Jose Carlos Fernandez-Garcia, MD, PhD",Virgen de la Victoria Hospital,,NCT03919656,jose carlos fernandez-garcia,jose
Principal Investigator,"Martin Haluzik, Prof. DSc.",Institute for Clinical and Experimental Medicine,,NCT03864705,martin haluzik,martin
Principal Investigator,Yan-Mei Liu,Shanghai Xuhui District Central Hospital,,NCT03864432,yan-mei liu,yan-mei
Principal Investigator,"Kyung Sang Yu, Ph.D. M.D.",Seoul National University Hospital,,NCT03849495,kyung sang yu,kyung
Principal Investigator,"Min Soo Park, Ph.D. M.D.",Severance Hospital,,NCT03849339,min soo park,min
Principal Investigator,"Kyung-Sang Yu, M.D., Ph.D",Seoul National University Hospital,,NCT03848637,kyung-sang yu,kyung-sang
Principal Investigator,Amalia Yanni,Harokopio University,,NCT03926806,amalia yanni,amalia
Study Chair,Nikolaos Tentolouris,National and Kapodistrian University of Athens,,NCT03926806,nikolaos tentolouris,nikolaos
Study Director,Vaios Karathanos,Harokopio University,,NCT03926806,vaios karathanos,vaios
Principal Investigator,Katarzyna Nabrdalik,Medical University of Silesia,,NCT04089280,katarzyna nabrdalik,katarzyna
Principal Investigator,"Tim Heise, MD",Profil Institut für Stoffwechselforschung GmbH,,NCT03907202,tim heise,tim
Principal Investigator,"Luiz FM Kruel, phd",Federal University of Rio Grande do Sul,,NCT03967561,luiz fm kruel,luiz
Principal Investigator,"Stephanie T Chung, M.D.",National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,NCT04209075,stephanie t chung,stephanie
Principal Investigator,"Romeu Mendes, MD, PhD","EPIUnit - Instituto de Saúde Pública, Universidade do Porto",,NCT03810846,romeu mendes,romeu
Principal Investigator,"Nazia Raja-Khan, MD",Milton S. Hershey Medical Center,,NCT04016415,nazia raja-khan,nazia
Principal Investigator,"Zoltán J Taybani, MD",Bekes County Central Hospital,,NCT04020445,zoltán j taybani,zoltán
Principal Investigator,"Ralph DeFronzo, MD",University of Texas,,NCT03953963,ralph defronzo,ralph
Study Director,"Mark Andrew, MD",Medality Medical,,NCT03953963,mark andrew,mark
Principal Investigator,"Timothy Frayling, PhD",University of Exeter,,NCT04040595,timothy frayling,timothy
Principal Investigator,"María-Luisa Lozano-del-Hoyo, MSc",Universidad de Zaragoza,,NCT04097483,maría-luisa lozano-del-hoyo,maría-luisa
Principal Investigator,"María-Teresa Fernández-Rodrigo, PhD",Universidad de Zaragoza,,NCT04097483,maría-teresa fernández-rodrigo,maría-teresa
Principal Investigator,"Juan F Roy, PhD",Camilo Jose Cela University,,NCT04097483,juan f roy,juan
Principal Investigator,"Gulin Findikoglu, Assoc Prof","Pamukkale University,Medical Faculty, PMR Department",,NCT04068285,gulin findikoglu,gulin
Principal Investigator,"Normand Boulé, PhD",University of Alberta,,NCT03908281,normand boulé,normand
Principal Investigator,"Earle Chambers, PhD",Albert Einstein College of Medicine,,NCT04104243,earle chambers,earle
Principal Investigator,"Lisse Angarita, PhD","Universidad Andrés Bello, Facultad de Medicina - Sede Concepción",,NCT03829800,lisse angarita,lisse
Principal Investigator,"Dawn K Coletta, PhD",University of Arizona,,NCT04126551,dawn k coletta,dawn
Principal Investigator,"Per M Humpert, M. D.",Director of Stoffwechselzentrum Rhein-Pfalz,,NCT03805802,per m humpert,per
Study Director,Clinical Reporting Anchor and Disclosure (1452),Novo Nordisk A/S,,NCT03914326,clinical reporting anchor and disclosure (1452),clinical
Principal Investigator,"Joel Neutel, MD",Orange County Research Center,,NCT04168541,joel neutel,joel
Principal Investigator,"Ines Banjari, PhD","Department of Food and Nutrition Research, Faculty of Food Technology",,NCT04054284,ines banjari,ines
Principal Investigator,"Michelle L Redmond, PhD","University of Kansas Medican Center Research Institute, Inc",,NCT03855449,michelle l redmond,michelle
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT03951753,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Study Director,"Michael Horowitz, MD PhD",University of Adelaide,,NCT03864562,michael horowitz,michael
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT03928379,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Principal Investigator,Evrim Koçarslan,researcher,,NCT04064996,evrim koçarslan,evrim
Principal Investigator,"Jing Ma, professor",RenJi Hospital,,NCT04185662,jing ma,jing
Study Director,Clinical Reporting Anchor and Disclosure (1452),Novo Nordisk A/S,,NCT04136067,clinical reporting anchor and disclosure (1452),clinical
Study Director,"Call 1-877-CTLILLY (1-877-285-4559) or 1-317-615-4559 Mon - Fri 9 AM - 5 PM Eastern time (UTC/GMT - 5 hours, EST)",Eli Lilly and Company,,NCT04143802,call 1-877-ctlilly (1-877-285-4559) or 1-317-615-4559 mon - fri 9 am - 5 pm eastern time (utc/gmt - 5 hours,call
Principal Investigator,"Wei Chen, M.D.",Peking Union Medical College Hospital,,NCT03972904,wei chen,wei
Study Director,Clinical Reporting Anchor and Disclosure (1452),Novo Nordisk A/S,,NCT03811561,clinical reporting anchor and disclosure (1452),clinical
Principal Investigator,"Alan Schorr, Dr.","Diabetes and Endocrinology Consultants of Pennsylvania, LLC (Decpa LLC)",,NCT04057248,alan schorr,alan
Principal Investigator,"Aline Marcadenti, PhD",Hospital do Coracao,,NCT03793855,aline marcadenti,aline
Principal Investigator,"Hanno Pijl, MD, PhD",Leiden Univerity Medical Centre,,NCT03811587,hanno pijl,hanno
